YAL007C	YAR002C-A	YGL200C
YDR381W	YHR066W	YMR239C	
YAL027W	YDR388W	YER049W	YLR429W	
YBL003C	YCR087C-A	YBR010W	
YCR087C-A	YLL004W	YML065W	
YDL014W	YDR060W	YMR229C	YOR206W	
YDL014W	YDR060W	YHR066W	YOR206W	
YDL014W	YDR060W	YJL033W	
YDR060W	YMR229C	YMR290C	
YDR060W	YJL050W	YMR290C	
YDR060W	YMR290C	YJL033W	
YAR044W	YBR079C	YOR361C	
YAR073W	YLR432W	YER147C	
YAR073W	YLR432W	YLR320W	
YBL003C	YBL002W	YNL201C	YDR075W	
YDR075W	YML010W	YGR063C	
YBL003C	YBR009C	YDR174W	YOR217W	
YEL056W	YPL001W	YHR118C	YLL004W	YML065W	YPR162C	YNL261W	
YPL001W	YBR060C	YHR118C	YLL004W	YML065W	YPR162C	YNL261W	
YIL103W	YMR083W	YJL138C	
YLR150W	YER151C	YNR051C	
YLR150W	YER151C	YMR173W	
YGL106W	YER151C	YMR173W	
YER151C	YDL147W	YDR363W-A	
YER151C	YDR363W-A	YMR173W	
YBL003C	YBR009C	YBR010W	YJL047C	
YBR095C	YMR263W	YNL330C	YOL004W	YPL139C	YPL181W	
YNL330C	YOL004W	YPL139C	YPR023C	YMR075W	
YBR107C	YBR211C	YDR254W	YJR135C	
YBR107C	YBR211C	YDR254W	YLR315W	
YGL106W	YAL029C	YDR457W	
YDL140C	YBR154C	YGL070C	YGR005C	YIL021W	YOL005C	YOR210W	
YDL140C	YBR154C	YGL070C	YGR005C	YIL021W	YPL129W	
YIL070C	YDR337W	YJR113C	YNL306W	
YIL070C	YJR113C	YNL306W	YOR158W	
YBR251W	YDR337W	YJR113C	YNL306W	
YBR251W	YJR113C	YNL306W	YOR158W	
YDR337W	YJR113C	YNL306W	YJL063C	
YDR322W	YCR071C	YDR405W	
YDR175C	YDR337W	YGR165W	YJR113C	YJL063C	
YCR077C	YER112W	YJL124C	YNL147W	YGL173C	YLR438C-A	
YCR077C	YER112W	YJL124C	YGL173C	YDR378C	YLR438C-A	
YDR473C	YER112W	YDR378C	YGR091W	
YDR473C	YER112W	YDR378C	YLR438C-A	
YER112W	YNL147W	YGR091W	
YDL014W	YDL060W	YER131W	YPR161C	
YNL248C	YER131W	YPR161C	
YDL060W	YER131W	YLR435W	
YBR119W	YGR074W	YGR013W	YKL012W	YDL087C	
YBR119W	YGR074W	YKL012W	YLR147C	YDL087C	
YBR119W	YGR013W	YIL061C	YKL012W	YDL087C	YLR298C	
YBR119W	YKL012W	YLR147C	YDL087C	YLR298C	
YDL014W	YMR229C	YDL168W	YOR206W	
YMR229C	YMR290C	YDL168W	
YMR229C	YDL168W	YNL061W	YOR206W	
YDL168W	YLR002C	YNL061W	YOR206W	
YDR381W	YLR002C	YNL061W	YOR206W	
YLR150W	YLR002C	YOR206W	
YOR294W	YLR002C	YNL061W	YOR206W	
YDR156W	YPR110C	YPR049C	
YNL113W	YPR110C	YPR049C	
YBL003C	YML069W	YGL207W	YKR048C	YDR225W	
YDR324C	YDR398W	YGR128C	YHR196W	YJL109C	YMR093W	YPL126W	
YCR009C	YDR388W	YLR429W	YEL037C	YML011C	
YDR388W	YGL106W	YLR429W	YEL037C	YML011C	
YEL037C	YER162C	YML011C	
YDR190C	YJL081C	YPL235W	YER092W	YLR052W	YOR141C	YEL044W	
YDR190C	YJL081C	YPL235W	YOR141C	YEL044W	YNL059C	
YJL081C	YPL235W	YER092W	YGL150C	YLR052W	YOR141C	YEL044W	
YNL189W	YMR125W	YLR298C	
YKL172W	YLR455W	YLR196W	
YKL172W	YLR196W	YPR161C	
YLR455W	YOR206W	YLR196W	
YBR198C	YDR167W	YGL112C	YGR274C	YMR005W	YML098W	
YBR198C	YDR167W	YGL112C	YGR274C	YMR227C	YML098W	
YBR198C	YGL112C	YGR274C	YMR005W	YMR236W	YML098W	
YBR198C	YGL112C	YGR274C	YMR227C	YMR236W	YML098W	
YDR381W	YDR174W	YHR039C	
YDR381W	YNR051C	YHR039C	
YLR150W	YNR051C	YHR039C	
YDL014W	YER162C	YHR039C	
YBL002W	YPL001W	YBR060C	YHR118C	YML065W	YPR162C	YNL261W	
YDR381W	YKR048C	YJL128C	
YDR381W	YMR229C	YNL061W	YOR206W	YKR024C	
YDL014W	YMR229C	YOR206W	YKR024C	
YOR294W	YKR081C	YMR229C	YOR206W	YKR024C	
YOR294W	YMR229C	YNL061W	YOR206W	YKR024C	
YDR174W	YLR429W	YLR203C	
YGL106W	YLR429W	YPL004C	YLR203C	
YLR429W	YJR065C	YLR203C	
YNL209W	YHR013C	YMR108W	
YDL147W	YDR363W-A	YFR004W	YOR261C	YDR427W	YOR209C	
YGR275W	YMR033W	YPR034W	YJL176C	YOR290C	YPL016W	
YDR381W	YAL007C	YDR174W	YGL200C	YML012W	
YAL007C	YGL200C	YLR150W	
YAL011W	YBR231C	YDR190C	YDR334W	YDR485C	YJL081C	YML041C	YPL235W	YLR385C	
YAL011W	YDR190C	YDR334W	YDR485C	YPL235W	YGR086C	
YIL105C	YGR135W	YOL038W	
YDR381W	YAL027W	YMR128W	
YDR381W	YMR128W	YOR206W	
YAL027W	YMR128W	YOR294W	
YMR128W	YOR294W	YKR081C	YOR206W	
YEL030W	YJL138C	YNL250W	
YLR429W	YKR048C	YOL012C	
YLR429W	YOL012C	YKR092C	
YBR009C	YBL002W	YGL207W	YOL054W	YNL030W	
YBR009C	YGL207W	YOL054W	YNL030W	YNL031C	
YIL035C	YGL207W	YOL054W	YNL030W	YNL031C	
YBL026W	YCR077C	YJL124C	YGL173C	YLR438C-A	
YCR077C	YER146W	YJL124C	YGL173C	YDR378C	YLR438C-A	
YCR009C	YDR388W	YLR429W	YBL071W-A	YEL037C	
YLR429W	YBL071W-A	YIL103W	
YBL071W-A	YDR385W	YIL103W	YKL191W	
YBR189W	YDL060W	YPR161C	
YLR429W	YEL037C	YJR065C	YBR234C	
YIL070C	YDR337W	YGL129C	YGR165W	YJR113C	YER050C	
YIL070C	YDR337W	YGL129C	YGR165W	YNL137C	YER050C	
YIL070C	YDR347W	YGL129C	YGR165W	YNL137C	YER050C	
YIL070C	YDR347W	YGL129C	YHL004W	YNL137C	YER050C	
YBR251W	YDR337W	YGL129C	YGR165W	YJR113C	YER050C	
YBR251W	YDR337W	YGL129C	YGR165W	YNL137C	YER050C	
YBR251W	YDR347W	YGL129C	YGR165W	YNL137C	YER050C	
YBR251W	YDR347W	YGL129C	YHL004W	YNL137C	YER050C	
YIL148W	YFR053C	YOR081C	
YCL014W	YFR053C	YEL023C	
YBL003C	YDL002C	YER092W	YFL013C	
YDR190C	YJL081C	YPL235W	YDL002C	YER092W	YFL013C	YLR052W	YOR141C	
YJL081C	YPL235W	YDL002C	YER092W	YFL013C	YGL150C	YLR052W	YOR141C	
YJL081C	YPL235W	YER092W	YFL013C	YGL150C	YLR052W	YOR141C	YOR189W	
YDL147W	YDR363W-A	YFR010W	YHR027C	YHR200W	YIL075C	YOR261C	YDL097C	YDR427W	YLR421C	
YLR429W	YDL148C	YPR161C	
YML069W	YGL207W	YDR108W	
YDL147W	YDR363W-A	YFR010W	YDR108W	
YDR381W	YMR229C	YHR052W	
YDL014W	YMR229C	YHR052W	
YOR294W	YMR229C	YHR052W	
YOR294W	YHR052W	YNL110C	
YMR229C	YMR290C	YHR052W	
YHR064C	YMR186W	YGL066W	
YMR223W	YDR145W	YDR167W	YGL112C	YGL066W	YPL047W	
YOL148C	YDR145W	YDR167W	YGL112C	YGL066W	YPL047W	
YDR280W	YOR001W	YOL142W	YGR095C	YHR069C	YOL021C	
YDR280W	YOR001W	YOL142W	YHR069C	YOL021C	YGR158C	
YDR280W	YOL142W	YOR076C	YGR095C	YHR069C	YOL021C	
YDR280W	YOL142W	YOR076C	YHR069C	YOL021C	YGR158C	
YGR156W	YJR093C	YLR115W	YLR277C	YKL018W	YDR301W	YKR002W	YNL317W	YPR107C	
YJR093C	YKL059C	YLR115W	YLR277C	YKL018W	YDR301W	YKR002W	YNL317W	YPR107C	
YBL003C	YEL018W	YFL024C	YHR090C	YOR244W	
YBL003C	YEL018W	YFL024C	YOR244W	YJR082C	
YJL081C	YNL107W	YEL018W	YFL024C	YHR090C	YNL136W	YOR244W	
YJL081C	YNL107W	YEL018W	YFL024C	YNL136W	YOR244W	YJR082C	
YJL081C	YEL018W	YHR090C	YNL136W	YOR244W	YPR023C	
YJL081C	YEL018W	YNL136W	YOR244W	YPR023C	YJR082C	
YBL003C	YFL013C	YNL059C	
YDR190C	YJL081C	YPL235W	YFL013C	YOR141C	YNL059C	
YFL013C	YLR249W	YNL059C	
YDR308C	YER022W	YGL127C	YOL051W	YOR174W	YPR070W	YPR168W	YOL135C	
YDR308C	YER022W	YOL051W	YOR174W	YPR070W	YPR168W	YGL151W	YOL135C	
YER022W	YGL127C	YOL051W	YPR070W	YPR168W	YGR104C	YOL135C	
YER022W	YOL051W	YPR070W	YPR168W	YGL151W	YGR104C	YOL135C	
YMR186W	YLR249W	YNL041C	
YOR294W	YKR081C	YMR229C	YNL175C	
YDL111C	YDR280W	YNL232W	YOR001W	YGR095C	YNR024W	YOL021C	
YDL111C	YDR280W	YOR001W	YGR095C	YHR069C	YNR024W	YOL021C	
YDR381W	YMR229C	YIR001C	
YDL014W	YMR229C	YIR001C	YPR161C	
YHR121W	YIR001C	YPR161C	
YGR090W	YMR229C	YIR001C	
YPL129W	YGR275W	YJL176C	
YJL050W	YMR290C	YPL220W	
YOR294W	YKR081C	YPR045C	
YDR388W	YGL106W	YLR429W	YLR144C	
YGL106W	YLR429W	YGR086C	YLR144C	
YJR009C	YJL052W	YLR144C	
YGL207W	YKR048C	YNL162W	
YPR178W	YPR182W	YBR055C	YGR091W	YNR011C	
YPR178W	YDR378C	YGR091W	YNR011C	
YHR165C	YPR182W	YDR473C	YGR091W	YNR011C	
YHR165C	YPR182W	YOR159C	YGR091W	YNR011C	
YPR182W	YBR055C	YDR473C	YGR091W	YNR011C	
YDR473C	YDR378C	YGR091W	YNR011C	
YAL007C	YBR009C	YDR174W	YML012W	
YDR381W	YLR085C	YGL252C	
YAL011W	YDR334W	YLR085C	YML041C	YLR385C	
YLR085C	YML041C	YGL252C	
YDL134C	YLR429W	YPL004C	
YAL027W	YGL106W	YPR171W	
YGL106W	YPR171W	YCR008W	
YGL106W	YPR171W	YOL139C	
YDR381W	YDR195W	YKL018W	YNL317W	YPR107C	
YAL043C	YDR195W	YGR156W	YJR093C	YLR115W	YKL018W	YNL317W	YPR107C	
YAL043C	YDR195W	YJR093C	YKL059C	YLR115W	YKL018W	YNL317W	YPR107C	
YAL043C	YJR093C	YKL059C	YLR115W	YLR277C	YKL018W	YNL317W	YPR107C	
YPL146C	YAL051W	YKL172W	
YAL051W	YLR197W	YOR310C	
YBL026W	YJR022W	YGR074W	YLR275W	
YBL026W	YJR022W	YGL173C	
YBL026W	YKL173W	YGR074W	YLR275W	
YBL026W	YKL173W	YLR438C-A	
YBL026W	YPR178W	YLR275W	
YKL173W	YBR055C	YER029C	YLR147C	
YKL173W	YBR055C	YLR147C	YER172C	YGR091W	
YPR178W	YPR182W	YBR055C	YER029C	
YPR178W	YPR182W	YBR055C	YER172C	YGR091W	
YPR182W	YBR055C	YDR473C	YER172C	YGR091W	
YPR182W	YBR055C	YER029C	YLR147C	
YPR182W	YBR055C	YLR147C	YER172C	YGR091W	
YDR381W	YPL001W	YHR118C	YML065W	YPR162C	
YML065W	YPR162C	YPR175W	
YBR079C	YJR007W	YLR199C	
YBR119W	YGR013W	YIL061C	YKL012W	YML046W	YDR240C	YLR298C	
YBR119W	YKL012W	YLR147C	YML046W	YDR240C	YLR298C	
YPR182W	YGR013W	YIL061C	YKL012W	YML046W	YDR240C	
YPR182W	YKL012W	YLR147C	YML046W	YDR240C	
YDL140C	YBR154C	YDL115C	YGL070C	YIL021W	YJL140W	YOL005C	YOR210W	
YDL140C	YBR154C	YDL115C	YGL070C	YIL021W	YOL005C	YOR151C	YOR210W	
YJL148W	YBR154C	YDR156W	YNL248C	YOR210W	YOR340C	YOR341W	YPR110C	YPR010C	YJR063W	
YDL140C	YBR154C	YGL070C	YGR063C	YIL021W	YJL140W	
YDL140C	YBR154C	YGL070C	YIL021W	YJL140W	YPL129W	
YBR154C	YGL070C	YIL021W	YJL140W	YOR210W	YOR224C	
YFR050C	YGL011C	YGR135W	YML092C	YOL038W	YPR103W	YER012W	YER094C	YOR157C	
YGL011C	YGR135W	YML092C	YOL038W	YBR173C	YER012W	YER094C	YOR157C	
YBR198C	YDR145W	YDR167W	YGL112C	YGR274C	YMR227C	YPL011C	
YBR198C	YDR145W	YGL112C	YGR274C	YMR227C	YMR236W	YPL011C	
YDR145W	YMR227C	YPL011C	YER148W	
YBR198C	YDR145W	YDR167W	YGL112C	YGR274C	YMR005W	YPL011C	
YBR198C	YDR145W	YGL112C	YGR274C	YMR005W	YMR236W	YPL011C	
YDR145W	YMR005W	YPL011C	YER148W	
YDR381W	YIL070C	YKL155C	YER050C	
YIL070C	YDR175C	YDR337W	YJR113C	YKL155C	YER050C	
YBR251W	YDR175C	YDR337W	YJR113C	YKL155C	YER050C	
YDL014W	YDR507C	YLR175W	YDR365C	
YJR022W	YLR275W	YER146W	
YJR022W	YER146W	YGL173C	YDR378C	
YHR165C	YLR275W	YER146W	YFL018W-A	
YJR022W	YLR275W	YNL147W	
YJR022W	YNL147W	YGL173C	
YKL173W	YLR275W	YNL147W	
YKL173W	YNL147W	YGR091W	
YKL173W	YNL147W	YLR438C-A	
YBL003C	YBR009C	YDR174W	YER116C	
YBL003C	YER116C	YNL088W	
YCR009C	YDR388W	YER116C	
YDL014W	YPR178W	YHR089C	
YDL014W	YLR175W	YHR089C	YNL308C	YDL208W	YGL078C	
YDL014W	YLR175W	YHR089C	YDR365C	
YDL014W	YDL060W	YHR089C	YNL308C	
YDR381W	YDL060W	YLR435W	
YLR150W	YPL146C	YDL060W	YLR435W	
YPL004C	YGR086C	YDL143W	YKL142W	
YBL003C	YBR009C	YML069W	YBL002W	YGL207W	YDR224C	
YBL003C	YML069W	YBL002W	YGL207W	YKR048C	YDR224C	
YDR381W	YNR051C	YDR398W	
YDR381W	YDR398W	YGR128C	YJL109C	
YDR381W	YDR398W	YKR092C	
YDR398W	YMR093W	YKR092C	
YPR178W	YGR128C	YPL126W	
YBR081C	YMR223W	YGL112C	YDR176W	YDR448W	YDR392W	
YBR081C	YOL148C	YGL112C	YMR236W	YDR392W	
YBR081C	YOL148C	YGL112C	YDR176W	YDR448W	YDR392W	
YMR223W	YGL112C	YPL254W	YDR176W	YDR448W	YDR392W	
YOL148C	YGL112C	YPL254W	YDR176W	YDR448W	YDR392W	
YDR381W	YLR429W	YKR092C	
YDR381W	YGL120C	YKR092C	
YDL014W	YLR197W	YOR310C	YKR092C	
YDL014W	YOR310C	YGL120C	YKR092C	
YDR190C	YJL081C	YPL235W	YER092W	YFL013C	YLR052W	YOR141C	YOR189W	
YJL081C	YPL235W	YPL129W	YOR189W	
YIL035C	YGL207W	YOR061W	YGL019W	YNL031C	
YIL035C	YGR063C	YGL019W	
YIL035C	YGR090W	YGL019W	
YFR037C	YGR275W	YIL126W	YKR008W	YLR033W	YLR321C	YMR033W	YMR091C	YPR034W	YGR056W	
YDL014W	YLR197W	YLR175W	YNL308C	YGL078C	
YLR197W	YEL026W	YGL078C	
YJL138C	YLR249W	YNL250W	
YBL003C	YAL011W	YLR385C	
YDR381W	YAL027W	YLR429W	YPL022W	
YAL027W	YDR388W	YLR429W	YPL022W	
YAL027W	YPL022W	YPL146C	
YLR429W	YPL022W	YJR065C	
YPL146C	YKL172W	YGR090W	
YPL146C	YKL172W	YPR161C	
YPL146C	YKL172W	YNL110C	
YDR388W	YLR429W	YLR015W	
YDR388W	YLR015W	YKL018W	
YDR381W	YHL034C	YGL173C	
YDR381W	YHL034C	YHR193C	
YBL003C	YHL034C	YHR193C	
YBL003C	YHL034C	YPR161C	
YHL034C	YLR175W	YGL173C	YPR161C	
YJR022W	YGR074W	YLR147C	YLR275W	
YJR022W	YDR473C	YER172C	
YJR022W	YDR473C	YDR378C	
YJR022W	YLR147C	YLR275W	YER172C	
YBL041W	YFR050C	YGL011C	YGR135W	YGR253C	YJL001W	YML092C	YOL038W	YOR362C	YPR103W	YER012W	YOR157C	
YBL058W	YDL126C	YPR168W	
YDR388W	YGL106W	YBR058C	
YDR388W	YIL148W	YBR058C	
YGL106W	YBR058C	YMR304W	
YBL003C	YBR009C	YDR174W	YBR060C	YHR118C	
YBL003C	YBR009C	YBL002W	YPL001W	YBR060C	YHR118C	
YBR009C	YBL002W	YPL001W	YBR060C	YHR118C	YML065W	
YOR294W	YBR060C	YHR118C	
YPL004C	YBR065C	YMR309C	
YBR065C	YMR186W	YPL240C	
YDL140C	YML010W	YGL070C	YGR063C	YIL021W	YOR151C	
YDL140C	YBR154C	YGL070C	YGR063C	YIL021W	YOR151C	YPR187W	
YBR154C	YDL150W	YOR210W	YOR224C	YOR207C	
YBR154C	YGL070C	YIL021W	YOR151C	YOR210W	YOR224C	
YBR154C	YNL248C	YOR210W	YOR224C	YOR341W	
YBR079C	YMR186W	YLR199C	
YML092C	YBR173C	YLR199C	
YMR186W	YLR199C	YLR249W	
YHR121W	YPR175W	YDL053C	
YBR154C	YDL150W	YNL113W	YPR110C	YOR207C	YJL011C	
YDL150W	YNL113W	YPR110C	YOR116C	YOR207C	YJL011C	YPR190C	
YDL150W	YNL113W	YPR110C	YOR207C	YJL011C	YNL151C	YPR190C	
YDL150W	YPR110C	YOR116C	YKR025W	YOR207C	YJL011C	YPR190C	
YDL150W	YPR110C	YOR116C	YKR025W	YJL011C	YPR190C	YOL021C	
YDL150W	YPR110C	YKR025W	YOR207C	YJL011C	YNL151C	YPR190C	
YDL150W	YPR110C	YKR025W	YJL011C	YNL151C	YPR190C	YOL021C	
YBR154C	YDL150W	YNL113W	YPR110C	YPR187W	YOR207C	YNR003C	
YBR154C	YNL113W	YNL248C	YPR110C	YPR187W	YNR003C	YPR010C	
YDL150W	YNL113W	YPR110C	YPR187W	YOR116C	YOR207C	YNR003C	
YDL150W	YNL113W	YPR110C	YPR187W	YOR207C	YNL151C	YNR003C	
YDL150W	YNL113W	YPR110C	YOR116C	YOR207C	YNR003C	YPR190C	
YDL150W	YNL113W	YPR110C	YOR207C	YNL151C	YNR003C	YPR190C	
YDR381W	YMR229C	YNL061W	YNR051C	
YOR294W	YGR090W	YMR229C	YNL061W	YOR206W	
YDL014W	YHR013C	YMR049C	
YDL014W	YDL208W	YGR103W	YMR049C	
YNL209W	YHR064C	YGR285C	YOR081C	
YHR064C	YFL013C	YGR285C	
YHR064C	YGR285C	YDR457W	
YBR251W	YDR175C	YDR347W	YGR165W	YDR124W	
YBR251W	YDR175C	YDR347W	YDR124W	YOR158W	
YBR251W	YDR175C	YGR165W	YIL093C	YDR124W	
YBR251W	YDR175C	YIL093C	YDR124W	YOR158W	
YCR035C	YDL111C	YDR280W	YNL232W	YOR076C	YGR095C	YOL021C	
YCR035C	YDL111C	YDR280W	YNL232W	YOR076C	YOL021C	YGR158C	
YCR035C	YDL111C	YDR280W	YOR076C	YGR095C	YHR069C	YOL021C	
YCR035C	YDL111C	YDR280W	YOR076C	YHR069C	YOL021C	YGR158C	
YGL106W	YOR326W	YDR457W	
YIL148W	YMR186W	YDR457W	
YHR064C	YMR186W	YDR457W	
YMR186W	YLR249W	YDR457W	
YCR035C	YDL111C	YDR280W	YNL232W	YOR001W	YGR095C	YOL021C	
YCR035C	YDL111C	YDR280W	YOR001W	YGR095C	YHR069C	YOL021C	
YCR035C	YDL111C	YDR280W	YNL232W	YOR001W	YOL021C	YGR158C	
YCR035C	YDL111C	YDR280W	YOR001W	YHR069C	YOL021C	YGR158C	
YJL148W	YBR154C	YNL113W	YNL248C	YOR210W	YOR340C	YOR341W	YPR110C	YPR187W	YPR010C	YJR063W	
YDR381W	YCR009C	YJR032W	
YDR381W	YML062C	YJR032W	
YLR150W	YPL146C	YNL110C	
YLR150W	YOR206W	YNL110C	
YOR294W	YKR081C	YOR206W	YNL110C	
YBR251W	YDR175C	YGR165W	YIL093C	YJR113C	YNR036C	
YBR251W	YDR175C	YHL004W	YNR036C	
YBR231C	YDR190C	YDR334W	YJL081C	YPL235W	YGR002C	YLR385C	
YBR231C	YDR334W	YJL081C	YML041C	YLR385C	YNL107W	
YBR231C	YDR334W	YJL081C	YGR002C	YLR385C	YNL107W	
YAL043C	YER133W	YGR156W	YJR093C	YKL018W	YNL317W	
YAL043C	YGR156W	YJR093C	YLR115W	YLR277C	YKL018W	YNL317W	YPR107C	
YBR175W	YMR186W	YJR009C	
YDR129C	YJL138C	YOL013C	
YDR381W	YDL040C	YMR229C	
YDR381W	YDL040C	YHR013C	
YDL014W	YLR197W	YDL040C	YLR175W	
YDL014W	YDL040C	YMR229C	
YDL014W	YDL040C	YHR013C	
YDL040C	YLR175W	YMR290C	
YDL040C	YMR229C	YMR290C	
YBL041W	YFR050C	YGL011C	YGR135W	YGR253C	YML092C	YMR314W	YOL038W	YOR362C	YPR103W	YER012W	YOR157C	
YDR381W	YML010W	YDR283C	
YDL140C	YML010W	YGL070C	YIL021W	YOL005C	YOR151C	
YBL093C	YBR193C	YBR253W	YDR308C	YER022W	YGL127C	YOR174W	YPR070W	YPR168W	
YBL093C	YBR193C	YBR253W	YER022W	YGL127C	YHR058C	YOR174W	YPR070W	YPR168W	
YBL093C	YBR193C	YBR253W	YER022W	YGL127C	YHR058C	YPR070W	YPR168W	YGR104C	
YBL093C	YBR253W	YDR308C	YER022W	YGL025C	YGL127C	YOR174W	YPR070W	YPR168W	
YBL093C	YBR253W	YER022W	YGL025C	YGL127C	YHR058C	YOR174W	YPR070W	YPR168W	
YBL093C	YBR253W	YER022W	YGL025C	YGL127C	YHR058C	YPR070W	YPR168W	YGR104C	
YBR193C	YBR253W	YER022W	YGL127C	YOR174W	YPR168W	YHR041C	
YBR193C	YBR253W	YER022W	YGL127C	YPR168W	YHR041C	YGR104C	
YBR009C	YEL056W	YPL001W	YHR118C	YML065W	
YBR119W	YGR013W	YIL061C	YKL012W	YLR275W	YFL018W-A	
YBR119W	YGR013W	YIL061C	YKL012W	YLR275W	YLR298C	
YPR182W	YOR159C	YIL061C	YKL012W	YLR275W	
YPR182W	YGR013W	YIL061C	YKL012W	YLR275W	
YOR159C	YIL061C	YKL012W	YLR275W	YFL018W-A	
YOR159C	YIL061C	YKL012W	YLR275W	YLR298C	
YLR429W	YBR159W	YJR065C	
YBR198C	YMR223W	YDR167W	YGL112C	YPL254W	YPL047W	
YBR198C	YOL148C	YDR167W	YGL112C	YPL254W	YPL047W	
YMR223W	YDR167W	YGL112C	YPL254W	YDR176W	YDR448W	YPL047W	
YOL148C	YDR167W	YGL112C	YPL254W	YDR176W	YDR448W	YPL047W	
YIL070C	YDR175C	YDR337W	YGR165W	YJR113C	YER050C	
YIL070C	YDR175C	YDR337W	YGR165W	YNL137C	YER050C	
YBR251W	YDR175C	YDR337W	YGR165W	YJR113C	YER050C	
YBR251W	YDR175C	YDR337W	YGR165W	YNL137C	YER050C	
YLR347C	YNL189W	YNL139C	
YNL189W	YCR035C	YDL111C	YOR001W	YOL021C	
YDL150W	YPR110C	YPR187W	YNL151C	YOL021C	
YDL150W	YNL113W	YOR210W	YPR110C	YOR116C	YOR207C	YPR190C	
YDR280W	YPR190C	YOL021C	
YAL001C	YDR381W	YDR449C	
YJL081C	YGR002C	YNL107W	YEL018W	YFL024C	YHR090C	YNL136W	
YJL081C	YGR002C	YNL107W	YEL018W	YFL024C	YNL136W	YJR082C	
YBL003C	YDR174W	YFL024C	
YDL014W	YLR175W	YER164W	
YDL014W	YMR229C	YER164W	
YKR081C	YMR229C	YER164W	
YNL189W	YOL004W	YMR075W	
YDR381W	YDR174W	YMR229C	YLR022C	
YBL003C	YDR174W	YLR022C	
YBL003C	YNL209W	YLR022C	
YEL056W	YPL001W	YML131W	
YAL001C	YDL147W	YFR052W	YDL097C	
YDR334W	YGR086C	YNL107W	
YBL003C	YCR028C-A	YGL207W	YNL031C	
YBL003C	YCR028C-A	YJR010C-A	
YBL003C	YCR028C-A	YPR161C	
YAL027W	YCR028C-A	YPL004C	
YCR028C-A	YPL004C	YPR161C	
YCR028C-A	YNR051C	YPR161C	
YDR174W	YLR429W	YAR007C	YPR161C	
YDR174W	YLR429W	YAR007C	YNL031C	
YAR007C	YBL002W	YPR161C	
YAR007C	YJL115W	YNL031C	
YBL093C	YDL005C	YDR308C	YER022W	YGL025C	YGL127C	YOL051W	YOR174W	YPR070W	YPR168W	
YBL093C	YDL005C	YDR308C	YER022W	YGL025C	YGL127C	YOL051W	YOR174W	YPR168W	YNL236W	
YBL093C	YDL005C	YER022W	YGL025C	YGL127C	YOL051W	YPR070W	YPR168W	YGR104C	
YBL093C	YDL005C	YER022W	YGL025C	YGL127C	YOL051W	YPR168W	YNL236W	YGR104C	
YDL005C	YDR308C	YER022W	YGL025C	YOL051W	YOR174W	YPR070W	YPR168W	YGL151W	
YDL005C	YDR308C	YER022W	YGL025C	YOL051W	YOR174W	YPR168W	YGL151W	YNL236W	
YDL005C	YER022W	YGL025C	YOL051W	YPR070W	YPR168W	YGL151W	YGR104C	
YDL005C	YER022W	YGL025C	YOL051W	YPR168W	YGL151W	YNL236W	YGR104C	
YDL005C	YER022W	YGL127C	YOL051W	YOR174W	YPR168W	YHR041C	
YDL005C	YER022W	YGL127C	YOL051W	YPR168W	YHR041C	YGR104C	
YBL093C	YBR193C	YER022W	YGL127C	YHR058C	YOL051W	YOR174W	YPR070W	YPR168W	
YBL093C	YBR193C	YER022W	YGL127C	YHR058C	YOL051W	YPR070W	YPR168W	YGR104C	
YBL093C	YER022W	YGL025C	YGL127C	YHR058C	YOL051W	YOR174W	YPR070W	YPR168W	
YBL093C	YER022W	YGL025C	YGL127C	YHR058C	YOL051W	YPR070W	YPR168W	YGR104C	
YBR193C	YER022W	YGL127C	YHR058C	YOL051W	YOR174W	YPR070W	YLR071C	
YBR193C	YER022W	YGL127C	YHR058C	YOL051W	YPR070W	YGR104C	YLR071C	
YBR081C	YBR198C	YMR223W	YDR145W	YDR167W	YGL112C	YPL047W	
YBR081C	YBR198C	YMR223W	YGL112C	YGR252W	YPL047W	
YBR081C	YBR198C	YOL148C	YDR145W	YDR167W	YGL112C	YPL047W	
YBR081C	YBR198C	YOL148C	YDR145W	YGL112C	YMR236W	
YBR081C	YBR198C	YOL148C	YGL112C	YGR252W	YMR236W	
YBR081C	YBR198C	YOL148C	YGL112C	YGR252W	YPL047W	
YBR081C	YMR223W	YDR145W	YDR167W	YGL112C	YDR176W	YDR448W	YPL047W	
YBR081C	YMR223W	YGL112C	YGR252W	YDR176W	YDR448W	YPL047W	
YBR081C	YOL148C	YDR145W	YDR167W	YGL112C	YDR176W	YDR448W	YPL047W	
YBR081C	YOL148C	YGL112C	YGR252W	YDR176W	YDR448W	YPL047W	
YBR010W	YBR087W	YMR031C	
YBR087W	YEL026W	YMR031C	
YBR119W	YGR074W	YGR013W	YKL012W	YLR275W	YFL018W-A	
YBR119W	YGR074W	YGR013W	YKL012W	YDR240C	
YGR074W	YPR182W	YGR013W	YKL012W	YLR275W	
YGR074W	YPR182W	YGR013W	YKL012W	YDR240C	
YBR193C	YDR308C	YER022W	YOL051W	YOR174W	YPR070W	YPR168W	YGL151W	
YBR193C	YDR308C	YER022W	YOL051W	YOR174W	YPR168W	YGL151W	YNL236W	
YBR193C	YER022W	YNR010W	YOL051W	YOR174W	YPR070W	YPR168W	YGL151W	
YBR193C	YER022W	YNR010W	YOL051W	YOR174W	YPR168W	YGL151W	YNL236W	
