YAL007C	YAR002C-A	YGL200C
YLR129W	YDR365C	YNR054C	
YDR308C	YER022W	YOL051W	YDR443C	YLR071C	
YIL091C	YDL153C	YJR119C	
YNL113W	YOR207C	YDL078C	
YKR025W	YOR207C	YDL078C	
YPR056W	YLR005W	YDR460W	YDR311W	YPR025C	
YGR086C	YPL004C	YFR019W	
YDL014W	YLR175W	YDL112W	
YDL014W	YDL112W	YDR496C	
YDL014W	YDL112W	YGR103W	
YDL014W	YDL112W	YPL220W	
YLR175W	YCL059C	YDL112W	
YDL126C	YGR048W	YDL190C	
YER110C	YKL028W	YKR062W	
YDL182W	YKL028W	YKR062W	
YER025W	YHR047C	YKR026C	
YDR016C	YDR201W	YGL061C	YKR037C	YDR320C-A	
YBR198C	YPL137C	YML098W	
YDR054C	YDR099W	YER053C	
YLR150W	YML100W	YNL317W	
YDR280W	YLR398C	YPR189W	
YLR398C	YDR153C	YGL213C	YPR189W	
YDR295C	YOR138C	YNL021W	
YDR201W	YGL061C	YKR037C	YKL052C	YDR320C-A	
YNL330C	YPL139C	YPR023C	YNL071W	
YER162C	YDR477W	YER027C	
YDR477W	YER129W	YER027C	YGL115W	
YDR477W	YDR028C	YER027C	
YDR477W	YER129W	YDR422C	YGL115W	
YGR086C	YPL004C	YDR490C	
YKL155C	YIL070C	YOR158W	YER050C	YGR215W	
YIL070C	YMR188C	YGR215W	
YMR188C	YGR215W	YNR036C	
YOR158W	YGR215W	YJR060W	
YDR099W	YER177W	YIR003W	
YPL240C	YMR186W	YJR121W	
YMR186W	YER155C	YJR121W	
YHR064C	YMR186W	YFL007W	
YHR064C	YGR285C	YFL007W	
YMR186W	YLL026W	YFL007W	
YDR381W	YML010W	YIL026C	
YDR381W	YDL003W	YIL026C	
YFL008W	YDL003W	YJL074C	YIL026C	
YHR193C	YPL037C	YMR140W	YNL112W	
YGL120C	YKR022C	YML106W	
YDR337W	YDR347W	YJR060W	
YDR347W	YHL004W	YOR158W	YJR060W	
YPL001W	YJL109C	YPL249C-A	
YBR109C	YGL106W	YOR326W	YNL023C	
YKL135C	YPR029C	YPL259C	YLR170C	
YDL140C	YIL021W	YOR151C	YOR210W	YOR224C	YJR017C	
YDR388W	YGL106W	YGR086C	YLR429W	YKR086W	
YGR086C	YLR175W	YKR086W	
YDR381W	YDR138W	YML062C	YNL139C	YNL140C	
YDL084W	YDR138W	YML062C	YNL139C	YNL140C	
YDR138W	YHR167W	YML062C	YNL139C	YNL140C	
YDL014W	YNL308C	YNR038W	
YDL014W	YGR271C-A	YNR038W	
YBL084C	YHR166C	YLR127C	YOR249C	
YOR257W	YDR099W	YPL032C	
YLR275W	YPL064C	YPR101W	
YBL003C	YML109W	YER095W	
YAL016W	YDL134C	YGL190C	YML109W	
YAL016W	YDL134C	YGL190C	YMR273C	
YAR003W	YBR175W	YER062C	
YAR073W	YHR216W	YLR432W	YML056C	
YHR216W	YLR432W	YML056C	YOR128C	
YHR216W	YLR432W	YER050C	
YHR216W	YML056C	YLR398C	
YBL002W	YDR320C	YNL031C	
YDR320C	YEL037C	YIL075C	
YDR320C	YDL147W	YIL075C	YPR108W	
YOR355W	YDR054C	YBL035C	
YHR193C	YNL247W	YGL097W	YPL037C	
YCR009C	YDR388W	YHR042W	
YDR381W	YER007W	YFR010W	
YBL003C	YBR049C	YER007W	
YBR079C	YOR361C	YMR146C	YMR309C	YPR041W	
YBR079C	YOR361C	YMR309C	YER025W	YPR041W	
YBR079C	YOR361C	YER025W	YJR007W	YPR041W	
YOR361C	YJR007W	YPR041W	YOR091W	
YBR081C	YMR223W	YBR198C	YLR055C	YOL148C	YGL112C	
YBR081C	YBR198C	YLR055C	YOL148C	YGL112C	YMR236W	
YBR119W	YPR182W	YGR013W	YHR086W	YIL061C	YKL012W	YLR275W	
YBR119W	YPR182W	YGR013W	YHR086W	YIL061C	YKL012W	YML046W	
YBR119W	YGR013W	YHR086W	YIL061C	YKL012W	YLR275W	YLR298C	
YBR119W	YGR013W	YHR086W	YIL061C	YKL012W	YML046W	YLR298C	
YBR127C	YDR328C	YJR033C	
YDR328C	YIL071C	YDL216C	YDR179C	YOL117W	
YBR127C	YDL185W	YGR020C	YHR039C-B	YPR036W	
YIL035C	YLR109W	YDR172W	
YDR087C	YBR139W	YCR079W	
YDL140C	YBR154C	YDL115C	YGL070C	YGR186W	YIL021W	YOL005C	YOR210W	
YDL140C	YBR154C	YGL070C	YGR186W	YIL021W	YPL129W	
YBR154C	YIL021W	YOL005C	YPR133C	
YBL060W	YGL244W	YOR123C	
YLR079W	YBR160W	YDL155W	
YDR381W	YKR048C	YBR172C	
YKR048C	YBR172C	YNL288W	
YBR188C	YLL036C	YLR117C	YMR213W	YDR416W	
YBR188C	YMR213W	YKL104C	
YBR193C	YER022W	YGL025C	YPR168W	YGL151W	YMR112C	YGR104C	
YBR193C	YER022W	YHR041C	YPR168W	YMR112C	YGR104C	
YER022W	YHR041C	YOL135C	YPR168W	YMR112C	YGR104C	
YER022W	YOL135C	YPR168W	YGL151W	YMR112C	YGR104C	
YBL003C	YDR174W	YBR195C	
YDR381W	YPR018W	YGL120C	
YBR198C	YDR145W	YGL112C	YGR274C	YML015C	YMR005W	YMR236W	YPL011C	
YBR198C	YGL112C	YGR274C	YML015C	YMR005W	YMR236W	YML098W	
YIL035C	YGL207W	YOL088C	
YCR009C	YOL088C	YGL252C	
YGL207W	YOL088C	YGL252C	
YLR424W	YGL120C	YKR022C	
YIL070C	YBR251W	YGR165W	YMR188C	
YBR251W	YGR165W	YMR188C	YDR124W	
YBR251W	YGR165W	YMR188C	YNR036C	
YGR165W	YMR188C	YGR084C	YNR036C	
YCL011C	YDR138W	YHR167W	YML062C	YNL139C	YJR032W	
YDR138W	YHR167W	YML062C	YNL139C	YNL004W	
YDR054C	YOL097C	YGL173C	
YDR507C	YLR314C	YCR002C	YDL225W	
YML025C	YCR003W	YNL005C	
YCR003W	YDR322W	YNL005C	
YCR003W	YNL005C	YNL284C	
YNL005C	YNL284C	YDR405W	
YNL284C	YCR071C	YDR405W	
YCR009C	YCR008W	YLR305C	
YDR381W	YGL120C	YJL050W	YOL115W	
YCR035C	YGL120C	YJL050W	YOL115W	
YDL040C	YJL033W	YNL132W	
YJL033W	YNL132W	YDR299W	
YJL033W	YNL132W	YER035W	
YDR174W	YDL043C	YML049C	YMR240C	
YLR147C	YMR288W	YDL043C	YJL203W	YML049C	YMR240C	
YDR190C	YPL235W	YFL013C	YOR141C	YLR052W	YNL215W	
YDR190C	YPL235W	YFL013C	YOR141C	YNL215W	YNL059C	
YGR086C	YLR079W	YDL155W	
YDL140C	YML010W	YDL115C	YGL070C	YIL021W	YOL005C	YOR210W	YDR404C	
YDL140C	YGL070C	YIL021W	YPL129W	YDR404C	
YDL147W	YFR052W	YHR102W	
YDL014W	YOR206W	YMR229C	YDL168W	
YOR206W	YMR229C	YNL061W	YDL168W	
YOR206W	YNL061W	YDL168W	YLR002C	
YMR229C	YBR142W	YNL061W	YDL168W	
YMR229C	YMR290C	YDL168W	
YDL147W	YIL071C	YDL216C	YDR179C	YOL117W	
YHR193C	YPL037C	YDR141C	
YGR135W	YOL038W	YDR150W	
YJL138C	YDR150W	YGR162W	
YDR201W	YGL061C	YKR037C	YKL052C	YKR083C	
YKL191W	YIL103W	YLR043C	
YEL026W	YJL033W	YDR299W	
YBL003C	YJL033W	YDR299W	
YBL003C	YDR299W	YOL068C	
YJL033W	YDR365C	YDR299W	
YLR347C	YNL189W	YPR180W	
YLR347C	YPR180W	YDR510W	
YNL189W	YOR355W	YPR180W	
YOR355W	YPR180W	YDR510W	
YGR002C	YNL097C	YFL024C	YDR359C	
YGR002C	YPR023C	YEL018W	YDR359C	YHR090C	YNL136W	YJR082C	
YGR002C	YFL024C	YEL018W	YDR359C	YHR090C	YNL136W	YJR082C	
YDR190C	YJL081C	YPL235W	YOR141C	YER092W	YGL150C	YLR052W	YEL044W	
YDR190C	YJL081C	YPL235W	YOR141C	YEL044W	YNL059C	
YLR347C	YDL097C	YEL052W	
YGL120C	YPR161C	YDL153C	
YDL014W	YDR385W	YGR271C-A	
YDL014W	YPR161C	YGR271C-A	
YDL014W	YGR271C-A	YMR014W	
YOR294W	YDR385W	YGR271C-A	
YOR294W	YPR161C	YGR271C-A	
YDR385W	YMR186W	YGR271C-A	
YGL173C	YPR161C	YGR271C-A	
YDL053C	YHR121W	YGR071C	
YDR385W	YOR133W	YHL014C	
YPL240C	YIL043C	YHL014C	
YDL014W	YER162C	YHR039C	
YDR381W	YDR174W	YHR039C	
YDR381W	YNR051C	YHR039C	
YDR174W	YER162C	YHR039C	
YLR150W	YNR051C	YHR039C	
YLR175W	YHR089C	YDL208W	YMR310C	
YLR175W	YNL308C	YGR090W	YKL078W	
YLR175W	YGR090W	YKL078W	YNL186W	
YLR175W	YHR196W	YKL078W	
YDL014W	YLR197W	YOR310C	YOL144W	
YDL014W	YLR197W	YPR161C	YOL144W	
YDL014W	YLR197W	YJL095W	YOL144W	
YLR197W	YNL061W	YPR161C	YOL144W	
YKR081C	YPR161C	YOL144W	
YDR381W	YFR024C	YJR041C	
YLR347C	YNL189W	YMR125W	YPL178W	YJR041C	
YNL248C	YPR110C	YML070W	
YBR109C	YLR429W	YLR218C	
YCR009C	YDR388W	YLR429W	YLR218C	
YOR294W	YDR365C	YNL099C	
YOR361C	YNR054C	YNL099C	
YDR365C	YNR054C	YNL099C	
YNL209W	YDR099W	YNR034W	
YER133W	YDR099W	YNR034W	
YER133W	YDR028C	YNR034W	
YEL026W	YGR086C	YOR035C	
YBR109C	YGL106W	YOR326W	YOR035C	
YGL106W	YGR086C	YPL004C	YOR035C	
YDR381W	YLR175W	YPL209C	
YBR154C	YOR151C	YPR086W	
YDR381W	YAL007C	YDR174W	YGL200C	YML012W	
YAL007C	YGL200C	YLR150W	
YAL007C	YBL075C	YKR072C	
YAL007C	YIL035C	YKR072C	
YIL035C	YKR072C	YDR334W	
YIL035C	YKR072C	YOR061W	YKL088W	
YBL002W	YBL003C	YGL241W	YKR048C	YDR224C	
YBL002W	YBL003C	YGL241W	YKR048C	YDR225W	
YBL002W	YOL012C	YGL241W	YKR048C	YDR224C	
YOL012C	YGL241W	YKR048C	YKR092C	
YBL003C	YBL046W	YNL201C	YDR075W	YDR225W	
YBL003C	YBL046W	YIL103W	
YML010W	YBL046W	YNL201C	YDR075W	YGR063C	
YBL046W	YNL201C	YDR075W	YDR293C	
YBL003C	YBR010W	YLR006C	
YBR079C	YMR205C	YLR127C	
YBL003C	YBR010W	YBL052C	
YBL003C	YBL052C	YNL088W	
YBL003C	YBL052C	YJR082C	
YBR010W	YBL052C	YFR037C	
YBL052C	YLR455W	YNL088W	
YNL209W	YKR048C	YBR155W	YCL014W	
YKR048C	YBR155W	YNL288W	
YBR155W	YMR186W	YCL014W	
YDR388W	YOL077C	YCR030C	
YBL002W	YBR010W	YDR174W	YBL103C	
YBL002W	YBR010W	YKR048C	YBL103C	
YBR010W	YDR174W	YBL103C	YDR176W	
YBR010W	YBL103C	YDR176W	YMR223W	
YBL103C	YBR081C	YDR176W	YMR223W	
YEL026W	YOR172W	YFR010W	
YBL003C	YBR010W	YDR174W	YOR172W	
YBL003C	YOR172W	YDL019C	
YDR174W	YIL036W	YOR172W	
YDR388W	YOR172W	YFR010W	
YOR172W	YJR009C	YDL019C	
YBR112C	YDR172W	YER155C	
YDL076C	YBR095C	YIL084C	YOL004W	
YBR095C	YIL084C	YMR263W	YNL097C	YNL330C	YOL004W	YPL181W	
YIL084C	YMR263W	YDR207C	
YIL084C	YNL330C	YJL123C	
YBR107C	YBR211C	YDR318W	YGR179C	YJR135C	YLR315W	YPL018W	YPR046W	
YDL140C	YBR154C	YGL043W	YGL070C	YIL021W	YOL005C	
YGL011C	YGR135W	YGR253C	YMR314W	YOL038W	YBR173C	YER012W	YKL206C	
YBR173C	YKL206C	YLR199C	
YLR150W	YNL209W	YOR038C	
YPL022W	YJR065C	YDL029W	
YMR229C	YDL029W	YJL033W	
YEL037C	YBR234C	YJR065C	YDL029W	
YJR065C	YDL029W	YBR251W	
YJR065C	YDL029W	YLR203C	
YIL148W	YMR276W	YFR053C	
YIL070C	YBR251W	YDR337W	YGR165W	YJR113C	YNL306W	
YIL070C	YBR251W	YGR165W	YJR113C	YNL306W	YOR158W	
YDR337W	YGR165W	YJR113C	YNL306W	YJL063C	
YGL106W	YLR429W	YGR261C	
YDL147W	YIL075C	YDL013W	YDL097C	YPR108W	
YDR381W	YDL040C	YMR229C	YOR253W	
YDR381W	YDL040C	YHR013C	YOR253W	
YDL040C	YHR013C	YOR253W	YDR303C	
YOR261C	YDR363W-A	YDL147W	YFR010W	YHR027C	YHR200W	YDL097C	YCR014C	YDR427W	
YDL053C	YPR052C	YKL114C	
YLL004W	YML065W	YPR162C	YKL157W	
YML065W	YER064C	YKL157W	
YDR381W	YDR099W	YDR001C	
YDR381W	YGL173C	YDR001C	
YMR186W	YDR099W	YDR001C	
YDR099W	YDR001C	YER177W	
YDR381W	YDR201W	YKR037C	
YLR429W	YMR229C	YDR212W	
YDR381W	YKR048C	YJL128C	
YKR048C	YLR058C	YJL128C	
YIL148W	YEL037C	YER048C	
YLR429W	YPL022W	YER048C	
YLR429W	YIR010W	YER048C	
YLR429W	YEL037C	YER048C	
YDR156W	YNL113W	YPR110C	YPR049C	
YLR347C	YLL022C	YNL134C	
YDR171W	YMR104C	YNL134C	
YIL035C	YDR172W	YMR230W	
YIL148W	YNL250W	YMR230W	
YER022W	YMR230W	YGR104C	
YEL056W	YMR230W	YGR104C	
YIL071C	YER105C	YOL117W	
YBR119W	YGR013W	YIL061C	YKL012W	YML046W	YDR235W	YDR240C	YLR298C	
YGR013W	YKL012W	YML046W	YDR235W	YDR240C	YDR515W	
YER162C	YDR477W	YDR422C	
YDR385W	YJL138C	YDR166C	YLR027C	
YER030W	YIL017C	YIL097W	
YEL012W	YIL017C	YIL097W	
YEL015W	YJL124C	YNL118C	YLR438C-A	
YLR429W	YBR218C	YJL092W	
YDR171W	YBR218C	YJL092W	
YGR074W	YPR182W	YER029C	YLR275W	YPL213W	
YGR074W	YER029C	YLR275W	YMR240C	YPL213W	
YMR288W	YMR240C	YPL213W	
YLR244C	YLR275W	YPL213W	
YHR165C	YFL018W-A	YKR022C	
YML069W	YGL207W	YNL273W	
YPL240C	YMR186W	YGR123C	
YMR186W	YLR069C	YGR123C	
YKL191W	YIL103W	YGR209C	
YKL173W	YLR147C	YGR278W	
YLR147C	YMR240C	YGR278W	
YLL036C	YLR117C	YGR278W	
YDL014W	YLR429W	YKR082W	
YEL026W	YLR429W	YKR082W	
YDL014W	YJR084W	YPR045C	
YDR381W	YJR084W	YPR045C	
YDR363W-A	YJR084W	YPR045C	
YGL106W	YMR304W	YMR180C	
YGL207W	YKR048C	YNL162W	
YAL011W	YDR227W	YML041C	
YIL095W	YLR015W	YJL109C	
YIL095W	YDR099W	YJL033W	
YIL095W	YJL033W	YPR161C	
YIL095W	YDL060W	YPR161C	
YAL043C	YDR301W	YGR156W	YJR093C	YKL059C	YKR002W	YLR115W	YLR277C	YKL018W	YNL317W	YPR107C	
YCR009C	YDR388W	YLR335W	
YLR335W	YNL189W	YDR385W	
YLR150W	YFL014W	YJL173C	
YNL312W	YAR007C	YFL014W	YJL173C	
YFL014W	YNL201C	YDR225W	
YLR347C	YML014W	YGL234W	
YBL002W	YBL003C	YBR009C	YBR010W	YDR174W	YMR044W	
YBL002W	YBL003C	YBR009C	YBR010W	YMR072W	YMR044W	
YBR009C	YBR010W	YMR044W	YBR245C	
YDR174W	YMR044W	YDL182W	
YNL209W	YBL071W-A	YLR384C	
YLR347C	YNL189W	YDR289C	
YDL140C	YDR289C	YOR151C	
YBR009C	YLR175W	YOR191W	
YBR009C	YOR191W	YDR224C	
YLR347C	YOR191W	YNL139C	
YOR191W	YDR138W	YML062C	YNL139C	
YBL003C	YBR010W	YGL097W	
YBL003C	YHR193C	YGL097W	
YDR381W	YDR174W	YHR193C	YLR244C	
YDR381W	YHR193C	YHL034C	YLR244C	
YLR147C	YLR244C	YLR275W	
YBR058C	YDL131W	YDL182W	YNL317W	
YBR109C	YBR058C	YER098W	
YLR429W	YGR116W	YJL138C	
YER030W	YGR116W	YDL190C	
YBL003C	YBR060C	YDR310C	
YBL003C	YDR310C	YDR225W	
YBL003C	YDR310C	YOL068C	
YBL003C	YBR060C	YJL087C	
YJL087C	YLR418C	YBR279W	
YPR056W	YKL028W	YIL144W	
YBR095C	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	
YDR318W	YLR315W	YPR046W	YGL137W	
YBR127C	YHR039C-B	YJR033C	
YDL140C	YBR154C	YDL115C	YGL070C	YGR005C	YIL021W	YOL005C	YOR210W	YOR224C	
YDL140C	YBR154C	YGL070C	YGR005C	YIL021W	YPL129W	
YBR159W	YJL123C	YCR043C	
YFR050C	YGL011C	YGR135W	YML092C	YOL038W	YPR103W	YER012W	YER094C	YOR157C	
YGL011C	YGR135W	YML092C	YOL038W	YBR173C	YER012W	YER094C	YOR157C	
YML105C	YFR009W	YIL033C	
YOR159C	YLR147C	YMR213W	YPR101W	
YLR147C	YMR213W	YMR240C	
YLR147C	YMR213W	YDR416W	
YLL036C	YLR117C	YMR213W	YPL151C	YPR101W	
YBR198C	YDR145W	YDR167W	YGL112C	YGR274C	YMR227C	YPL011C	
YBR198C	YDR145W	YGL112C	YGR274C	YMR227C	YMR236W	YPL011C	
YBR198C	YDR167W	YGL112C	YGR274C	YMR227C	YML098W	
YBR198C	YGL112C	YGR274C	YMR227C	YMR236W	YML098W	
YDR145W	YMR227C	YPL011C	YER148W	
YMR227C	YER148W	YML098W	
YOR362C	YLL021W	YDL074C	
YKL155C	YIL070C	YBR251W	YDR041W	YDR337W	YGR165W	YER050C	
YIL070C	YBR251W	YDR041W	YDR337W	YGR165W	YNL137C	YER050C	
YIL070C	YBR251W	YDR337W	YDR347W	YGL129C	YGR165W	YNL137C	YER050C	
YIL070C	YBR251W	YDR337W	YGL129C	YGR165W	YJR113C	YER050C	
YIL070C	YBR251W	YDR347W	YGL129C	YGR165W	YHL004W	YNL137C	YER050C	
YDR381W	YKR048C	YBR267W	
YOL012C	YKR048C	YBR267W	
YML025C	YNL005C	YDR405W	
YDR381W	YBR279W	YML112W	
YIL035C	YBR279W	YML112W	
YBR081C	YDR176W	YMR223W	YOL148C	YPL254W	YDR145W	YGL112C	YCL010C	YDR392W	YDR448W	
YIL103W	YJL138C	YCL024W	
YJL138C	YCL024W	YJL033W	
YLR150W	YLL034C	YJL033W	
YGR198W	YLR222C	YDR449C	
YPL127C	YNL004W	YPR161C	
YDR175C	YDR337W	YGR165W	YIL093C	YJR113C	YJL063C	
YIL148W	YJL138C	YDL160C	
YCR077C	YDL160C	YJL124C	YNL147W	
YEL015W	YDL160C	YJL124C	YNL147W	
YEL015W	YDL160C	YER035W	
YDR388W	YLL022C	YCR079W	
YDR388W	YGL070C	YCR079W	
YGL070C	YIL021W	YOL005C	YCR079W	
YDR381W	YLR175W	YDL003W	
YLR347C	YER022W	YDL003W	
YLR347C	YKR081C	YDL003W	
YBL003C	YBR009C	YDR174W	YER116C	
YBL003C	YBR009C	YLR150W	YER116C	
YBL003C	YBR009C	YMR072W	YER116C	
YBL003C	YLR150W	YOR058C	YER116C	
YBL003C	YNL088W	YER116C	
YBR009C	YDR388W	YER116C	
YLR150W	YCR009C	YER116C	
YCR009C	YDR388W	YER116C	
YLL036C	YLR117C	YDR482C	YPL151C	
YLR117C	YDL043C	YDR482C	YPL151C	
YDL043C	YDL030W	YDR482C	
YDL043C	YDR482C	YMR240C	
YHR099W	YEL018W	YNL136W	YJR082C	
YDR087C	YCR009C	YER105C	
YCR009C	YPL004C	YER105C	
YBR009C	YNL312W	YJL115W	YJR140C	
YBR009C	YLR175W	YJR140C	
YLR175W	YJR140C	YMR031C	
YBR109C	YGL106W	YLR429W	YGR130C	
YBR109C	YDR145W	YGR130C	
YGL106W	YGR130C	YOL068C	
YLR429W	YOR001W	YGR130C	
YLR429W	YLL022C	YGR130C	
YGR130C	YMR031C	YOL068C	
YDL014W	YHL034C	YNL255C	YGR272C	
YDL014W	YNL255C	YIL076W	
YLR150W	YGL173C	YNL255C	
YLR150W	YNL255C	YIL076W	
YOL077C	YHL034C	YNL255C	YLR196W	
YHL034C	YGL173C	YNL255C	
YGL137W	YNL255C	YIL076W	
YOR261C	YDR363W-A	YDL147W	YFR010W	YGL048C	YHR027C	YIL075C	YDR427W	YBR080C	
YPL240C	YNL233W	YOR027W	
YDR087C	YCR009C	YGL087C	
YCR009C	YDR388W	YGL087C	
YIL148W	YIL103W	YMR186W	YBR196C	
YIL148W	YMR186W	YBR196C	YER086W	
YIL148W	YNL250W	YBR196C	
YIL148W	YNL262W	YBR196C	
YMR186W	YDR172W	YBR196C	
YDR195W	YGR156W	YLR115W	YKL018W	YNL222W	YNL317W	YPR107C	
YDR301W	YGR156W	YLR115W	YKL018W	YNL222W	YNL317W	YPR107C	
YPL240C	YMR186W	YLR216C	
YMR186W	YLL026W	YLR216C	
YNL209W	YKR048C	YBR169C	YPR090W	
YNL209W	YDR099W	YPR090W	
YMR186W	YBR169C	YPR090W	
YMR186W	YDR099W	YPR090W	
YDR155C	YDR234W	YMR297W	
YBR079C	YMR146C	YPL178W	
YDL014W	YBL003C	YHL034C	YJL033W	YGR272C	YMR014W	
YDL014W	YLR175W	YHL034C	YGR272C	YMR014W	
YDL014W	YLR175W	YDR365C	YGR272C	
YDL014W	YJL033W	YDR365C	YGR272C	
YBL003C	YBR010W	YGR272C	
YBL003C	YJL138C	YJL033W	YGR272C	
YDR385W	YMR186W	YGL195W	
YKR081C	YGR090W	YGL195W	
YKR081C	YLR002C	YGL195W	
YDR388W	YEL037C	YER125W	
YDR388W	YOR124C	YOR138C	YER125W	
YDR388W	YPR161C	YER125W	
YDR388W	YER125W	YJL084C	
YDR381W	YLR175W	YMR049C	YLR410W	
YDR381W	YKR048C	YLR410W	
YML069W	YKR048C	YLR410W	
YLR429W	YLR277C	YNL208W	
YLR429W	YGL252C	YNL208W	
YLR429W	YNL208W	YKL126W	
YLR429W	YNL208W	YNL073W	
YLR429W	YNL208W	YOR144C	
YDR190C	YJL081C	YPL235W	YFL013C	YPL129W	YER092W	YGL150C	YOR189W	
YDR190C	YJL081C	YPL235W	YFL013C	YOR141C	YER092W	YGL150C	YLR052W	YOR189W	
YGL106W	YOR326W	YML071C	
YLR150W	YIL043C	YNL067W	
YGR086C	YPL004C	YKL142W	YNL067W	
YGR086C	YIL043C	YNL067W	
YLR432W	YIL043C	YNL067W	
YOR294W	YMR229C	YKR081C	YHR066W	YNL175C	
YIL021W	YOR210W	YHR143W-A	
YNL248C	YOR210W	YOR340C	YOR341W	YPR110C	YPR010C	YHR143W-A	
YOR210W	YPR110C	YOR207C	YHR143W-A	
YDR174W	YLR347C	YNL189W	YPL153C	
YLR175W	YLR197W	YPL153C	YNL186W	
YLR197W	YLR347C	YNL189W	YPL153C	
YLR175W	YGR090W	YLR371W	
YBL003C	YBR010W	YLR362W	
YBL003C	YIL035C	YLR362W	
YCL032W	YNL262W	YLR362W	
YBL003C	YDR174W	YKL113C	
YDR174W	YMR229C	YKL113C	
YLR175W	YMR229C	YKL113C	
YMR229C	YKR081C	YKL113C	
YDR388W	YMR186W	YLR132C	
YPL240C	YHR064C	YMR186W	YLR132C	
YLR249W	YMR186W	YLR132C	
YML041C	YDR388W	YLR144C	
YML041C	YJR009C	YLR144C	
YDR388W	YGL106W	YGR086C	YLR429W	YLR144C	
YGL106W	YJL052W	YLR144C	
YGR086C	YLR175W	YLR144C	
YJL052W	YJR009C	YLR144C	
YDL014W	YMR229C	YOL076W	
YOR294W	YMR229C	YOL076W	
YDR087C	YCR009C	YGL106W	YLR429W	YNL073W	
YCR009C	YDR388W	YGL106W	YLR429W	YNL073W	
YLR429W	YKR081C	YNL073W	
YPL240C	YHR064C	YNR014W	
YDR099W	YER177W	YNR014W	
YBL003C	YLR150W	YOL059W	
YBL003C	YIL148W	YOL059W	
YIL148W	YEL034W	YOL059W	
YAL007C	YBL003C	YBR009C	YDR174W	YML012W	
YAL007C	YML012W	YOL012C	
YNL055C	YEL037C	YIL103W	
YAL007C	YBL003C	YLR150W	YOR058C	
YAL007C	YLR150W	YOR058C	YPL146C	
YBL003C	YLR150W	YOR058C	YPL001W	
YBL003C	YLR150W	YOR058C	YIL076W	
YBL003C	YLR150W	YOR058C	YIL043C	
YBL003C	YLR150W	YAL017W	
YAL017W	YCR020W-B	YPR034W	
YAL021C	YCR093W	YNL288W	
YCR093W	YDR363W-A	YIL075C	YDR427W	
YCR093W	YDR363W-A	YDR427W	YOR209C	
YAL027W	YBR109C	YER049W	YLR429W	
YAL027W	YDR388W	YER049W	YLR429W	
YAL043C	YDR195W	YGR156W	YJR093C	YKL059C	YLR115W	YLR277C	YKL018W	YNL317W	YPR107C	
YDR155C	YBR079C	YAR071W	
YNL209W	YBR079C	YAR071W	
YBR079C	YOR361C	YAR071W	
YBL003C	YHR193C	YPL127C	
YBL003C	YPL127C	YHR118C	YPR162C	
YBL003C	YPL127C	YIL076W	
YBL003C	YPL127C	YPR161C	
YDL014W	YLR175W	YBL024W	YNL308C	
YDL014W	YBL024W	YOR243C	
YDR381W	YLR175W	YBL024W	YNL308C	
YDR381W	YBL024W	YDR283C	
YDR381W	YBL024W	YIL070C	
YLR150W	YBL024W	YDR283C	
YGL245W	YBL032W	YGL105W	
YBR109C	YGL106W	YLR429W	YPR171W	YBR001C	
YBR109C	YGL106W	YOR326W	YBR001C	
YDR388W	YGL106W	YLR429W	YPR171W	YBR001C	
YGL106W	YDR171W	YBR001C	
YLR429W	YNL106C	YBR001C	
YBL003C	YBR009C	YBR010W	YMR284W	
YBL003C	YBR009C	YMR284W	YDR224C	
YBR009C	YDL215C	YMR284W	
YMR284W	YGL058W	YGR180C	
YNL209W	YMR108W	YHR013C	
YNL209W	YMR108W	YNL186W	
YDL215C	YBR058C	YMR108W	
YPL004C	YMR186W	YBR065C	
YPL004C	YBR065C	YMR309C	
YPL240C	YMR186W	YBR065C	
YMR186W	YBR065C	YKL081W	
YMR186W	YBR065C	YLL026W	
YBR065C	YDR429C	YMR146C	YMR309C	
YOR046C	YNL330C	YPL139C	
YNL330C	YOL004W	YPL139C	YPR023C	YMR075W	
YBR107C	YBR211C	YDR254W	YGR179C	YJR135C	YLR315W	
YBR107C	YBR211C	YGR179C	YJR135C	YLR315W	YLR381W	
YDR385W	YOR133W	YFL023W	
YBR154C	YFL023W	YLR200W	
YBR154C	YFL023W	YPR110C	
YFL023W	YPR110C	YPR190C	
YDL140C	YML010W	YGR063C	YGL070C	YIL021W	YJL140W	
YDL140C	YML010W	YDL115C	YGL070C	YIL021W	YJL140W	YOL005C	YOR210W	
YDL140C	YGR063C	YBR154C	YGL070C	YIL021W	YJL140W	
YDL140C	YBR154C	YDL115C	YGL070C	YIL021W	YJL140W	YOL005C	YOR210W	YOR224C	
YDL140C	YBR154C	YGL070C	YIL021W	YJL140W	YPL129W	
YPL004C	YMR186W	YLR199C	
YBR079C	YMR186W	YLR199C	
YBR079C	YJR007W	YLR199C	
YML092C	YBR173C	YLR199C	
YLR249W	YMR186W	YLR199C	
YDR381W	YPL217C	YMR049C	
YDR381W	YPL217C	YDR101C	
YBR198C	YDR145W	YDR167W	YGL112C	YGR274C	YMR005W	YPL011C	
YBR198C	YDR145W	YDR167W	YGL112C	YGR274C	YPL011C	YML114C	
YDR145W	YMR005W	YPL011C	YER148W	
YBR109C	YGL106W	YLR429W	YBR218C	
YBR109C	YGL106W	YOR326W	YBR218C	
