YAL040C	YCL030C	YDL029W	YDL047W	YDR018C	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR042W	YKR072C	YLL024C	YOR188W	
YAL040C	YBR234C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YPL234C	
YGR082W	YGR193C	YLR157C	YLR199C	YMR060C	YMR203W	YMR263W	YNL018C	YNL070W	YNL121C	YNL131W	YNL330C	YPR133W-A	
YBL084C	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YNL172W	
YBL084C	YDL008W	YDR118W	YDR260C	YER179W	YFR036W	YGL240W	YHR166C	YIR025W	YLR102C	YLR127C	YLR451W	YOR249C	
YBR130C	YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YNL293W	YOL112W	YOR084W	YPL066W	
YBR254C	YCL058C	YDL058W	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YJR116W	YML077W	YOR115C	
YDL008W	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YAL040C	YBR234C	YDL047W	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YMR028W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YGL229C	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YOL145C	
YCR002C	YDL225W	YDR507C	YER040W	YER118C	YHR107C	YJR076C	YLR096W	YLR314C	YNL139C	YOR084W	YOR156C	
YBL025W	YBR093C	YCL058C	YDR246W	YFL005W	YGL219C	YGR166W	YKR068C	YML077W	YNL287W	YOR115C	
YBL084C	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR127C	YLR451W	YNL172W	YOR249C	
YBL025W	YBR254C	YDR108W	YDR407C	YGL219C	YGR166W	YGR234W	YJR116W	YMR218C	YOR115C	YOR312C	
YBL084C	YDR118W	YER161C	YFR036W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YNL172W	YOR249C	
YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YAL005C	YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YLL024C	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	
YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YOR084W	YOR156C	YPL066W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR451W	
YBL025W	YBR254C	YCL058C	YDR472W	YEL036C	YGR166W	YKL139W	YML077W	YMR218C	YOR115C	YOR197W	
YBL084C	YDR118W	YDR260C	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YMR092C	YOR249C	
YBL084C	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR127C	YNL172W	YOR249C	
YCR087C-A	YCR087W	YHL003C	YHR184W	YJR131W	YKL008C	YLR070C	YML064C	YMR298W	YNL107W	
YDL008W	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR102C	YLR451W	YMR092C	YNL172W	
YAL021C	YAR007C	YBR173C	YDL042C	YDR227W	YJL076W	YJL173C	YLR442C	YML032C	YNL312W	
YDL008W	YDR118W	YFR036W	YGL240W	YIR025W	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YDL008W	YFR036W	YGL240W	YHR118C	YKL022C	YLL051C	YLR102C	YMR092C	YNL172W	YOR249C	
YBL025W	YCL058C	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YML077W	YOR115C	
YBR172C	YCR067C	YIL004C	YIL109C	YKL074C	YLR026C	YLR268W	YOR075W	YPL085W	YPR181C	
YAL040C	YFL009W	YGR092W	YKL092C	YLL024C	YLR079W	YLR127C	YMR199W	YPL256C	YPR120C	
YBR270C	YGR058W	YHR077C	YIL105C	YJL162C	YLR433C	YML057W	YMR068W	YNL047C	YPL059W	
YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	
YDR293C	YDR497C	YER067W	YGL158W	YHR186C	YJR066W	YKL194C	YLR113W	YNL006W	YPL180W	
YBL084C	YDL008W	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	
YDL235C	YDR497C	YGL158W	YIL147C	YJL128C	YLR006C	YLR113W	YNR031C	YOR208W	YPL180W	
YBL025W	YCL058C	YDR108W	YDR189W	YDR246W	YGL219C	YGR166W	YGR234W	YKR068C	YOR115C	
YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	YOL145C	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKL092C	YKR072C	YLL024C	YMR028W	
YAL043C	YBR205W	YDR390C	YJR093C	YKR002W	YLR115W	YMR061W	YMR182C	YNL317W	YPR107C	
YAL023C	YDL095W	YER014C-A	YGR036C	YJR143C	YKL190W	YKL212W	YOR321W	YOR332W	
YBL084C	YDR118W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR451W	YNL172W	
YBR172C	YDL188C	YDR075W	YDR498C	YIL109C	YLR268W	YOR075W	YOR380W	YPR040W	
YCR002C	YDL225W	YDR085C	YDR507C	YHR107C	YLL021W	YLR314C	YNL233W	YPL066W	
YAL001C	YBR172C	YDR498C	YER148W	YGL241W	YGR246C	YKL074C	YLR268W	YOR075W	
YDL029W	YDR018C	YDR063W	YIL062C	YJR065C	YKL013C	YKR042W	YLR370C	YNR035C	
YBL016W	YDL159W	YDR480W	YEL048C	YGL178W	YGR040W	YHR084W	YIL136W	YPL049C	
YDL088C	YFR002W	YJL039C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YNL234W	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YIR040C	
YBR050C	YCL046W	YDR028C	YDR477W	YER027C	YER040W	YGL115W	YGL208W	YML110C	
YBL025W	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YMR218C	YOR115C	
YBR172C	YGL200C	YHR098C	YLR057W	YLR268W	YML012W	YNL049C	YPL218W	YPR181C	
YDL088C	YFR002W	YGL172W	YGR120C	YJL039C	YJL057C	YMR153W	YNL234W	YOR353C	
YAL023C	YDL095W	YER014C-A	YJR143C	YKL080W	YKL190W	YMR211W	YOR002W	YOR321W	
YBR193C	YDL005C	YDL154W	YGL025C	YIL021W	YNR010W	YOL005C	YOL135C	YOR174W	
YBR047W	YDL235C	YER118C	YGL158W	YJL128C	YLR096W	YLR113W	YNL139C	YNR031C	
YAL014C	YAL030W	YBL050W	YBR080C	YDR468C	YGR009C	YJR063W	YLR093C	YPL232W	
YBR103W	YDR390C	YGL023C	YJR093C	YKR002W	YLR115W	YMR061W	YOL123W	YPR107C	
YGL019W	YGR068C	YIL035C	YIL118W	YLR114C	YNL088W	YOR010C	YOR039W	YOR061W	
YAL043C	YDR301W	YDR392W	YJR093C	YKR002W	YMR182C	YNL317W	YOR194C	YPR107C	
YDL088C	YER026C	YJL057C	YML031W	YMR129W	YMR153W	YMR298W	YNL234W	YOR028C	
YBL068W	YDR285W	YER099C	YGR135W	YHL011C	YKL181W	YNL036W	YOL061W	YOL069W	
YDL008W	YDR260C	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR451W	YOR249C	
YDR006C	YER014C-A	YGR036C	YKL093W	YKL190W	YKL212W	YMR081C	YOR239W	YOR332W	
YDR100W	YDR425W	YDR468C	YGL161C	YGL198W	YGR172C	YGR177C	YMR215W	YPL095C	
YBR108W	YDL203C	YGR058W	YGR136W	YIL108W	YPL111W	
YDL207W	YDR192C	YKL068W	YMR255W	YOR046C	YOR134W	
YBR203W	YHL031C	YKL006C-A	YKL179C	YKL196C	YMR197C	
YBL100W-A	YFL010C	YJL162C	YNL047C	YOL106W	YPL059W	
YAR014C	YBR090C	YER054C	YER158C	YKL120W	YOL154W	
YEL002C	YGR180C	YIL097W	YJL026W	YMR149W	YPL227C	
YDL059C	YFL059W	YFL060C	YMR095C	YMR096W	YMR322C	
YDL132W	YER044C	YGR060W	YJL202C	YLR100W	YLR128W	
YER031C	YGL210W	YKR030W	YNL146W	YPL192C	YPR017C	
YBR283C	YGL014W	YHR007C	YHR045W	YMR264W	YNL231C	
YBR119W	YHR015W	YJR042W	YKL028W	YNL277W	YPL169C	
YBR034C	YDR120C	YDR432W	YGR165W	YLR035C	YPL265W	
YDL137W	YDL192W	YDR182W	YGL137W	YGR130C	YNL287W	
YAL016W	YBR230C	YDR506C	YGL100W	YNL042W	YOR014W	
YAL040C	YER167W	YJL098W	YKR028W	YKR072C	YLL024C	
YBR077C	YFL030W	YGR163W	YIL077C	YKR007W	YML121W	
YBR077C	YLR157C	YMR203W	YNL070W	YOR045W	YPR133W-A	
YBL039C	YDR502C	YHR144C	YJR103W	YPL060C-A	YPL070W	
YDR383C	YJR102C	YLR417W	YOL104C	YOR159C	YPL002C	
YDL108W	YDR527W	YGL043W	YIL021W	YOR151C	YOR210W	
YAR007C	YGR016W	YGR063C	YLR135W	YML095C	YPL022W	
YDL214C	YEL005C	YEL013W	YHR195W	YNL086W	YPR185W	
YAR018C	YBL081W	YBR212W	YDL167C	YKL017C	YOR167C	
YDR045C	YIR017C	YLR115W	YLR277C	YLR437C	YNL317W	
YDL042C	YDR006C	YDR227W	YER151C	YLR442C	YNL216W	
YDR390C	YKR002W	YLR115W	YMR061W	YNL317W	YPR107C	
YHL006C	YIL132C	YKR034W	YLR046C	YLR376C	YNL021W	
YGL019W	YGR068C	YIL035C	YJR131W	YOR039W	YOR061W	
YBR103W	YDL042C	YDR227W	YGL023C	YMR106C	YMR284W	
YBL092W	YDR026C	YDR110W	YKR092C	YLR095C	YOR060C	
YBL089W	YDR191W	YLR325C	YLR403W	YOR025W	YOR082C	
YBR017C	YDR505C	YGL122C	YMR061W	YNL317W	YOL123W	
YDR320C	YGR167W	YGR241C	YHR161C	YMR183C	YNL183C	
YER172C	YGL244W	YGR056W	YLR090W	YMR240C	YOR319W	
YDR395W	YGL105W	YGL245W	YJL041W	YKL205W	YPL212C	
YEL002C	YGL022W	YGL226C-A	YIL097W	YJL002C	YPL227C	
YDR122W	YHR113W	YNL037C	YOL082W	YOR136W	YOR353C	
YBL095W	YBR162C	YGR249W	YOL028C	YOL063C	YPR155C	
YER067W	YHR186C	YJR066W	YNL006W	YOL078W	YPL180W	
YFL026W	YHR005C	YIL047C	YJL080C	YLR286C	YOR212W	
YHR016C	YIL072W	YLR064W	YLR243W	YLR263W	YOR351C	
YBL014C	YHL004W	YJL025W	YKL137W	YML043C	YOR158W	
YMR146C	YMR309C	YNL047C	YOR284W	YOR361C	YPR041W	
YJR102C	YKL052C	YLR417W	YML015C	YML101C	YMR077C	
YDR498C	YGL145W	YLR026C	YLR268W	YMR020W	YOR075W	
YDL006W	YDL230W	YIL053W	YIL147C	YOR208W	YPL201C	
YDR207C	YJR094C	YMR139W	YNL078W	YOL070C	YPL158C	
YFR036W	YGL240W	YLL051C	YLR102C	YNL172W	YNL176C	
YDR351W	YHR103W	YLR157C	YNL070W	YOR284W	YPR133W-A	
YCR087C-A	YGL090W	YHR174W	YLR265C	YNL044W	YOR005C	
YDR492W	YER149C	YJR067C	YKL034W	YOL035C	YOR315W	
YBR270C	YGR072W	YHR077C	YKL149C	YLR363C	YMR080C	
YDR432W	YHR015W	YJR042W	YNL277W	YOR160W	YPL169C	
YBR045C	YDR006C	YER054C	YIL045W	YLR263W	YOR178C	
YDL164C	YHR121W	YHR178W	YIR027C	YJR007W	YNL252C	
YBR036C	YBR265W	YDR208W	YDR270W	YNL259C	YPL231W	
YGL233W	YIL068C	YLR166C	YMR002W	YPL179W	YPR055W	
YBR229C	YDR389W	YHR101C	YHR185C	YIL007C	YMR200W	
YDL232W	YFL036W	YGR064W	YGR227W	YOL009C	YOR085W	
YGL090W	YHR174W	YLR265C	YLR385C	YLR424W	YOR005C	
YCR092C	YDR097C	YMR167W	YNL082W	YOL090W	YPL164C	
YBR250W	YFL020C	YGR072W	YKL149C	YLR054C	YML038C	
YBR057C	YCL055W	YGL036W	YGL192W	YMR147W	YNL196C	
YAR018C	YBL106C	YDL161W	YIL033C	YLR206W	YOR111W	
YDR267C	YHR073W	YHR152W	YLR016C	YLR132C	YOR173W	
YGL022W	YGL226C-A	YGR227W	YMR149W	YOR067C	YPL227C	
YDL101C	YDR433W	YDR499W	YHR135C	YML058W	YNL116W	
YDL130W	YDR142C	YDR382W	YDR399W	YJL210W	YLR340W	
YDR006C	YKL093W	YLR442C	YMR081C	YNL216W	YOR178C	
YDR169C	YKR091W	YMR019W	YMR053C	YNL309W	YOL004W	
YEL013W	YGR174C	YHR195W	YIL079C	YNL039W	YOL115W	
YGR010W	YHL025W	YLR236C	YLR328W	YLR438W	YML031W	
YBL016W	YDR480W	YGR040W	YHR039C	YIL169C	YPL049C	
YGL075C	YGL093W	YGR089W	YHL010C	YJR112W	YLR086W	
YBL068W	YER099C	YER163C	YGR135W	YNL036W	YOL061W	
YBR038W	YDL081C	YGR209C	YOR229W	YPL005W	YPL020C	
YGL097W	YGR162W	YJL138C	YKR059W	YOR204W	YOR364W	
YBR109C	YDR350C	YDR356W	YFR014C	YKL042W	YNL126W	
YCR028C	YHR121W	YHR178W	YMR020W	YNL252C	YPL244C	
YBL046W	YDR285W	YFL056C	YNL201C	YPR101W	YPR115W	
YBR038W	YCL022C	YGR209C	YHR123W	YPL020C	YPR106W	
YFL030W	YGR163W	YKR007W	YML121W	YNL113W	YOL144W	
YER093C	YJR066W	YKL203C	YNL006W	YOL078W	YPL180W	
YDL001W	YDL133W	YDR207C	YJR094C	YLR457C	YMR079W	
YER179W	YFL052W	YJL125C	YLR134W	YNL062C	YOR366W	
YEL037C	YER012W	YGR283C	YLR441C	YMR276W	YNL281W	
YBR141C	YDL224C	YER059W	YER156C	YIL050W	YJL084C	
YBR009C	YBR010W	YGR116W	YIL126W	YNL030W	YNL031C	
YAL036C	YCR038C	YDL065C	YDR152W	YGR173W	YNR022C	
YDR326C	YFL010C	YIL105C	YJL162C	YNL047C	YPL059W	
YGL200C	YKL197C	YLR057W	YML012W	YNL329C	YPL218W	
YDR100W	YDR425W	YGL161C	YGL198W	YHR105W	YPL095C	
YBR045C	YER054C	YIL072W	YLR064W	YLR263W	YOR178C	
YCR073W-A	YER064C	YJL041W	YKL205W	YNL157W	YPL212C	
YBR019C	YER045C	YHL019C	YKL135C	YMR308C	YPL133C	
YHL036W	YIR022W	YJR010C-A	YML055W	YPR106W	YPR163C	
YDR108W	YDR246W	YDR407C	YGR234W	YMR218C	YOR115C	
YBL082C	YEL002C	YGL022W	YMR149W	YOR279C	YPL227C	
YDL070W	YGL063W	YGL075C	YLR080W	YLR399C	YOL131W	
YBR193C	YDL005C	YIL021W	YOL005C	YOR151C	YOR174W	
YDR469W	YEL005C	YEL013W	YGL079W	YNL086W	YPR185W	
YBL078C	YHR171W	YNL212W	YNL223W	YNR007C	YOL083W	
YDL014W	YIL008W	YLR197W	YMR134W	YOR303W	YOR310C	
YCL054W	YDL014W	YLR197W	YOR310C	YPL043W	YPR072W	
YAL030W	YDR164C	YER008C	YKR014C	YLR166C	YNR049C	
YER045C	YGL053W	YGR213C	YHR134W	YMR195W	YOR059C	
YBR141C	YDR372C	YER059W	YER156C	YGL091C	YJL084C	
YBR082C	YDR059C	YDR177W	YEL012W	YER100W	YMR022W	
YBR097W	YBR288C	YDR495C	YGL095C	YGR261C	YPR173C	
YDL207W	YEL024W	YER107C	YGL143C	YHL008C	YIL115C	
YDR068W	YER103W	YGL065C	YLR237W	YLR310C	YPR001W	
YBR017C	YFL018C	YGL063W	YJR051W	YMR061W	YOL123W	
YDL164C	YFL009W	YGL207W	YJL194W	YLR079W	YML069W	
YCR087C-A	YDR026C	YDR174W	YIL013C	YKR092C	YOR060C	
YDL088C	YFR002W	YGL170C	YMR129W	YMR153W	YNL234W	
YDR218C	YGL126W	YGR059W	YIL163C	YLR049C	YPL161C	
YDR006C	YDR227W	YDR464W	YLR442C	YMR284W	YNL216W	
YBL016W	YBR083W	YGL057C	YHR084W	YIL169C	YPL049C	
YDR201W	YHL031C	YHR083W	YKL006C-A	YKL179C	YKR083C	
YDL074C	YFR031C	YIL079C	YNL039W	YNL299W	YOL115W	
YDL180W	YDL186W	YER188W	YGR018C	YLR452C	
YDL135C	YDL240W	YKR055W	YNL176C	YPR165W	
YBL079W	YER105C	YGL016W	YJR132W	YLR335W	
YBR119W	YDL224C	YIL050W	YLR449W	YNL277W	
YDL130W	YDR367W	YDR382W	YHR065C	YLR340W	
YBR270C	YER093C	YFL047W	YNL018C	YOL075C	
YBL046W	YBR186W	YDR285W	YFL056C	YNL201C	
YER077C	YFR015C	YJL137C	YLR258W	YMR212C	
YGR016W	YGR033C	YLR135W	YML095C	YPL022W	
YGL016W	YGR274C	YKL058W	YLR335W	YOR020C	
YFL055W	YIL153W	YJL139C	YOL044W	YOR076C	
YBR052C	YCL032W	YCR004C	YDR032C	YLR253W	
YDR080W	YGR223C	YIL119C	YOR089C	YPR174C	
YBR058C	YGL185C	YOL059W	YOL113W	YOL156W	
YAL014C	YAL030W	YGR009C	YGR247W	YOR327C	
YCR038C	YDR532C	YHR079C	YKL073W	YKL194C	
YHR179W	YJL090C	YJR068W	YKL108W	YNL262W	
YDR200C	YFR008W	YLR395C	YMR029C	YMR052W	
YJL011C	YNL151C	YNR003C	YOR116C	YPR190C	
YAL030W	YGR009C	YLR166C	YMR183C	YPL232W	
YBR154C	YCL007C	YDR366C	YDR445C	YER071C	
YGR135W	YHL011C	YJR099W	YKL181W	YOL061W	
YHR005C	YJL080C	YKL197C	YLR286C	YNL329C	
YGR061C	YIL054W	YLR326W	YLR386W	YPL151C	
YBR043C	YDR088C	YGR074W	YKL188C	YPL147W	
YBR250W	YFL020C	YLR054C	YML038C	YNL012W	
YBR088C	YER173W	YJR068W	YNL262W	YOR217W	
YDR122W	YGL156W	YNL037C	YOL082W	YOR136W	
YAR008W	YBL051C	YIL151C	YKR096W	YPL083C	
YFL018C	YGL063W	YJR051W	YOL123W	YOR180C	
YAL016W	YDR200C	YKR055W	YLR238W	YNL127W	
YBL100C	YDR250C	YDR429C	YGL259W	YJL070C	
YDR100W	YGL161C	YGR172C	YGR177C	YPL095C	
YCL007C	YDR366C	YER071C	YOR171C	YPL032C	
YDR115W	YGR086C	YKL142W	YMR210W	YMR243C	
YAL011W	YDR098C	YGL071W	YGR168C	YIR018W	
YBR170C	YDL020C	YJL034W	YKL073W	YOR254C	
YER014C-A	YHR060W	YKL119C	YKL190W	YOR270C	
YGL023C	YGL178W	YGL236C	YMR023C	YPL179W	
YAR031W	YBR217W	YLL042C	YLR390W-A	YPL149W	
YCR092C	YDR097C	YNL082W	YOL090W	YOR033C	
YCR045C	YLR358C	YMR228W	YNL145W	YOR348C	
YDL062W	YDR301W	YIR017C	YLR277C	YLR437C	
YER086W	YGR161C-C	YHL004W	YKL057C	YOR383C	
YAL038W	YLR175W	YNL307C	YOR226C	YOR347C	
YBR102C	YDR164C	YDR166C	YIL068C	YLR166C	
YCL046W	YER027C	YGL115W	YJL114W	YPL208W	
YDR252W	YGR134W	YHR193C	YJR055W	YML062C	
YBR006W	YDR382W	YHR053C	YKL023W	YKR092C	
YER105C	YFR002W	YJL061W	YML103C	YMR129W	
YBL001C	YER067W	YGR284C	YMR060C	YPL068C	
YDR026C	YDR277C	YGL252C	YKR092C	YOR060C	
YJL058C	YKL203C	YNL006W	YOL078W	YPL268W	
YER029C	YIL023C	YLR161W	YNL187W	YNR028W	
YGL180W	YGR253C	YJL006C	YML112W	YPR185W	
YCL063W	YDL081C	YER150W	YGR209C	YPL005W	
YBL106C	YDL161W	YHR161C	YLR206W	YOR111W	
YFL040W	YFL068W	YLR349W	YMR159C	YPL149W	
YER122C	YER176W	YHR148W	YJR002W	YNL075W	
YBL039C	YDR133C	YJR103W	YPL060C-A	YPL070W	
YCL059C	YGL201C	YIL150C	YKL020C	YLR233C	
YDL001W	YDL133W	YDR200C	YMR052W	YMR079W	
YDL214C	YEL013W	YHR195W	YLL059C	YML011C	
YDR444W	YDR484W	YGR083C	YLR291C	YOR380W	
YGL238W	YGR195W	YJR074W	YLR293C	YOL021C	
YLR049C	YLR191W	YLR465C	YML035C	YPR071W	
YDL210W	YGL230C	YKL109W	YKL110C	YOR358W	
YDR383C	YJL019W	YOL104C	YOR159C	YPL002C	
YEL064C	YFL026W	YGR141W	YIR034C	YOR242C	
YBR079C	YMR146C	YNL243W	YOR361C	YPR041W	
YBL079W	YER105C	YJL061W	YKL061W	YNL122C	
YDL101C	YDR264C	YER079W	YHR135C	YNL116W	
YDR357C	YEL005C	YGL079W	YGR107W	YPR182W	
YDR070C	YDR459C	YER102W	YFL017C	YOL059W	
YFR016C	YGL139W	YMR246W	YNL088W	YOR010C	
YBL104C	YCL025C	YGL147C	YJL062W	YNL054W	
YDR293C	YER067W	YJR066W	YNL006W	YPL180W	
YBL095W	YBR162C	YGR249W	YNL217W	YPR155C	
YDL071C	YGR269W	YLR172C	YNL155W	YOR159C	
YCR045C	YJL084C	YLR294C	YMR228W	YOR348C	
YDR218C	YGL106W	YGR059W	YHR023W	YMR065W	
YBR141C	YCR045C	YER059W	YJL084C	YOR348C	
YIL026C	YJL074C	YJL113W	YJL114W	YMR065W	
YDL229W	YKR084C	YLR456W	YNL209W	YPR172W	
YDR084C	YDR441C	YDR442W	YEL054C	YML022W	
YBR246W	YDR520C	YJL110C	YKR034W	YLR376C	
YHL027W	YHR154W	YIL131C	YJL056C	YMR035W	
YAR007C	YDL042C	YJL173C	YML032C	YNL312W	
YGL166W	YKR011C	YLL028W	YLR457C	YML006C	
YER179W	YFL052W	YJL125C	YLR044C	YOR366W	
YCL046W	YER027C	YGL115W	YGL208W	YML110C	
YDR224C	YMR309C	YNL244C	YOR361C	YPR041W	
YHR075C	YHR106W	YLR368W	YPR078C	YPR093C	
YBL106C	YGL206C	YGR167W	YHR161C	YLR170C	
YGL094C	YIL002C	YIR006C	YOR105W	YOR109W	
YBR170C	YDL126C	YDL190C	YKL213C	YOR254C	
YAL036C	YDR152W	YGR173W	YGR250C	YNR022C	
YER064C	YER082C	YJL041W	YJL135W	YPL212C	
YDR026C	YGR280C	YKR092C	YMR102C	YOR060C	
YBR302C	YDR429C	YJL070C	YMR146C	YPL105C	
YFL009W	YIL001W	YJL141C	YLR213C	YOL133W	
YDR383C	YEL049W	YLR172C	YOL104C	YOR159C	
YDL024C	YEL017W	YGR121C	YKL063C	YPL244C	
YBR162W-A	YER172C	YIL027C	YLR090W	YMR240C	
YIL033C	YJL164C	YKL166C	YLR177W	YPL203W	
YDR279W	YHL027W	YIL131C	YLR154C	YNL042W	
YDL081C	YDR422C	YLR368W	YPR078C	YPR093C	
YDR244W	YLR049C	YLR191W	YML035C	YNL214W	
YAL030W	YBL050W	YLR093C	YLR396C	YOR106W	
YBR217W	YHR171W	YLR031W	YMR124W	YPL149W	
YBR027C	YDL011C	YEL023C	YMR255W	YOR046C	
YDL101C	YGR180C	YHR135C	YJL026W	YNL116W	
YBR175W	YDR142C	YHR160C	YHR177W	YIL160C	
YFL021W	YHR056C	YLR440C	YNL066W	YNL258C	
YBR202W	YEL032W	YHR118C	YIL150C	YLR274W	
YFR004W	YHR102W	YJL019W	YOL104C	YOR257W	
YIL092W	YJL045W	YLR161W	YNL187W	YNR028W	
YDL220C	YDR227W	YLR442C	YMR106C	YMR284W	
YAL038W	YDR030C	YLR175W	YNL124W	YNL307C	
YCL019W	YCL020W	YDR261W-A	YDR261W-B	YFL002W-B	
YBR205W	YDR390C	YGR048W	YKR002W	YPR107C	
YDL208W	YGL122C	YHR072W-A	YHR089C	YIL092W	
YEL037C	YER012W	YKL145W	YLR441C	YMR276W	
YBR170C	YBR171W	YCL057W	YDL126C	YOR254C	
YDR172W	YDR300C	YLL026W	YLR363C	YMR080C	
YDR469W	YEL005C	YGL079W	YGR107W	YJL061W	
YDR383C	YLR417W	YMR077C	YOR159C	YPL002C	
YCL007C	YDL094C	YDL196W	YDR366C	YER071C	
YFL016C	YHR102W	YKL189W	YLR365W	YOR257W	
YHR014W	YHR185C	YIL007C	YMR200W	YPL204W	
YCR094W	YGL090W	YHR174W	YLR265C	YLR424W	
YCR031C	YDR229W	YGL223C	YJL191W	YNL041C	
YDL195W	YGR057C	YGR191W	YIL109C	YLR283W	
YDR425W	YJR110W	YLR159W	YOR342C	YPL280W	
YBR042C	YEL041W	YHR115C	YKL009W	YLR215C	
YBL022C	YDR086C	YLR378C	YMR051C	YPL253C	
YDL006W	YDL235C	YIL053W	YIL147C	YOR208W	
YDR172W	YGL177W	YJL054W	YLL006W	YOR297C	
YBR133C	YDL036C	YER087W	YJL187C	YKL101W	
YDL195W	YHR098C	YNL049C	YPL085W	YPR181C	
YBR038W	YML008C	YOR097C	YPL020C	YPR113W	
YDR390C	YER136W	YHR063C	YIL098C	YPR180W	
YCL026C-A	YCR048W	YLR177W	YLR242C	YNR019W	
YAL016W	YCR066W	YGL058W	YGR184C	YOL080C	
YDR174W	YIL013C	YJL058C	YML015C	YML098W	
YDL070W	YNL191W	YNL266W	YOL131W	YPL249C	
YBR112C	YCL067C	YCR039C	YCR084C	YMR240C	
YBR274W	YFR015C	YLR258W	YLR273C	YNR013C	
YBL093C	YBR112C	YCR084C	YDR443C	YOR140W	
YBR058C	YJR116W	YOL059W	YOL156W	YOR299W	
YDL071C	YEL068C	YGR142W	YLR225C	YNL141W	
YDR104C	YFR046C	YLR419W	YMR117C	YPR145W	
YBR047W	YDL235C	YIL147C	YJL128C	YNR031C	
YBR059C	YGR199W	YML014W	YML099C	YMR042W	
YBR058C	YLR390W-A	YOL059W	YOL113W	YOL132W	
YDL088C	YER026C	YML103C	YMR129W	YMR153W	
YDL188C	YMR028W	YOR075W	YOR380W	YPR040W	
YCR023C	YDL102W	YHR118C	YJR068W	YMR075C-A	
YCR007C	YDL081C	YGR209C	YPL005W	YPL020C	
YBL046W	YFL056C	YLL036C	YNL201C	YPR101W	
YEL037C	YKL145W	YLR441C	YOR119C	YOR157C	
YBR061C	YDR461W	YGR219W	YHR059W	YLR384C	
YBR195C	YGR167W	YGR241C	YNL020C	YNL183C	
YBR036C	YDR062W	YDR270W	YNL259C	YPL231W	
YGL049C	YGR162W	YJL138C	YKR059W	YOR276W	
YDR200C	YLR238W	YMR029C	YMR052W	YNL127W	
YDR078C	YHL006C	YIL152W	YLR376C	YNL021W	
YGL180W	YJL006C	YKL139W	YML112W	YOR323C	
YCR014C	YER047C	YJL110C	YKR034W	YNL021W	
YAL004W	YHR149C	YLR448W	YML109W	YMR273C	
YDL188C	YDR075W	YJL179W	YOR380W	YPR040W	
YMR146C	YMR309C	YOR361C	YPL105C	YPR041W	
YLR157C	YMR203W	YNL070W	YNL131W	YPR133W-A	
YBR141C	YDL224C	YDR372C	YER059W	YGL091C	
YAL009W	YFR002W	YGL100W	YML103C	YMR129W	
YBR036C	YBR265W	YCR107W	YDR270W	YLR255C	
YDL143W	YDR212W	YJL014W	YLR030W	YNL326C	
YDR108W	YDR246W	YIR040C	YKR068C	YMR218C	
YBR143C	YDR172W	YDR300C	YLL026W	YOR297C	
