YBL019W	YBR115C	YBR161W	YBR289W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YGR275W	YHL025W	YJL176C	YLR321C	YLR357W	YMR091C	YNL307C	YNR023W	YOL070C	YOR290C	
YBL052C	YGR124W	YJR082C	YKL172W	YLR196W	YLR455W	YMR229C	YNL299W	YOL077C	YOR064C	YOR140W	YOR206W	YOR310C	YPR031W	YPR131C	YPR137W	
YBL019W	YBR115C	YCR020W-B	YCR052W	YDL179W	YDR303C	YDR520C	YEL047C	YER062C	YGR056W	YHR008C	YLR357W	YML127W	YMR091C	YOL070C	YOR115C	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL011C	YPL254W	
YBR173C	YEL061C	YER132C	YGL011C	YGL096W	YGR067C	YGR135W	YIL099W	YIR030C	YJL088W	YJR143C	YKL206C	YKR054C	YKR070W	YKR095W	YLR211C	
YDL160C	YDR111C	YDR239C	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YLR023C	YLR380W	YML017W	YMR083W	YNL250W	YOL109W	
YBL055C	YCR035C	YDL111C	YDR280W	YGR095C	YGR158C	YGR195W	YHR069C	YHR081W	YMR193W	YNL232W	YNR024W	YOL021C	YOL142W	YOR001W	YOR076C	
YBL055C	YCR035C	YDL111C	YDR280W	YER143W	YGR095C	YGR158C	YGR195W	YHR069C	YHR081W	YKL129C	YNL232W	YNR024W	YOL021C	YOL142W	YOR001W	
YBL046W	YBR267W	YCL024W	YDR075W	YDR173C	YDR225W	YDR293C	YDR507C	YGL241W	YIL153W	YKR048C	YMR110C	YMR139W	YNL078W	YNL201C	YOR230W	
YBL054W	YCR014C	YDL036C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGL157W	YGR232W	YHR200W	YKL007W	YNL047C	YNL087W	YOR209C	YPR045C	YPR078C	
YBL046W	YBL059W	YBL082C	YDL140C	YDR075W	YDR143C	YDR173C	YDR289C	YDR293C	YGL043W	YGL070C	YGR063C	YIL021W	YIL153W	YML010W	YNL201C	
YBR081C	YCR082W	YDL059C	YDR145W	YDR176W	YDR392W	YGL066W	YGR130C	YGR252W	YMR223W	YOL148C	YOR023C	YPL011C	YPL047W	YPL254W	YPR008W	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YGL096W	YGR067C	YGR087C	YGR135W	YJL132W	YKL206C	YKR054C	YKR070W	YKR095W	YLR199C	YLR290C	
YDR378C	YDR473C	YER112W	YER172C	YGL173C	YGR054W	YJR022W	YKL173W	YLR275W	YNL024C	YNL147W	YOR305W	YOR308C	YPR057W	YPR178W	YPR182W	
YBL059W	YBR154C	YDL115C	YFL023W	YGL043W	YGL070C	YGR063C	YIL021W	YJL140W	YML114C	YOR151C	YOR210W	YOR224C	YPL129W	YPL225W	YPR133C	
YBL059W	YBR259W	YCR079W	YDL115C	YDL140C	YDR404C	YDR463W	YGL043W	YGL070C	YGR186W	YJL140W	YJL168C	YJR017C	YOL005C	YOR151C	YPR133C	
YBL041W	YBR173C	YBR225W	YCR076C	YDR011W	YDR179W-A	YEL061C	YER094C	YGL096W	YJL001W	YKR054C	YMR314W	YOL038W	YOR157C	YOR362C	YPR103W	
YBL055C	YBR025C	YCR035C	YDL111C	YDR280W	YGR095C	YGR158C	YGR195W	YHR069C	YHR081W	YJR051W	YNL232W	YNR024W	YOL021C	YOL142W	YOR001W	
YBR119W	YER029C	YFL017W-A	YGR013W	YGR074W	YJL164C	YJR022W	YKL012W	YKL173W	YLR014C	YLR275W	YLR298C	YOR159C	YOR305W	YPR057W	YPR182W	
YBL076C	YDL019C	YDL145C	YDR047W	YDR238C	YER059W	YER120W	YER122C	YGL137W	YGR233C	YIL076W	YLR190W	YLR260W	YNL255C	YOL001W	YPL031C	
YBL054W	YCR014C	YDL175C	YDR108W	YDR363W-A	YFR001W	YFR010W	YGL094C	YGR232W	YJR084W	YLR421C	YNL047C	YNL087W	YOR209C	YPR045C	YPR078C	
YBL074C	YBR055C	YDL051W	YDL181W	YDR378C	YDR473C	YGR091W	YHR156C	YHR165C	YNL092W	YOR078W	YOR097C	YOR159C	YOR305W	YOR308C	YPR178W	
YDL160C	YDR021W	YDR239C	YEL030W	YER001W	YER036C	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YLR023C	YLR380W	YMR083W	YNL250W	
YBR119W	YDL087C	YDL181W	YDR235W	YER029C	YER172C	YFL017W-A	YGR013W	YGR091W	YIL061C	YLR014C	YNL092W	YOR159C	YOR305W	YOR308C	YPL213W	
YBL054W	YCR014C	YDL036C	YDL175C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGR232W	YHR200W	YKL007W	YLR421C	YNL047C	YNL087W	YOR209C	YPR045C	
YBR146W	YBR251W	YDR041W	YER050C	YGR084C	YHR216W	YIL093C	YJR031C	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YOR158W	YPL013C	
YDL144C	YDL150W	YDR005C	YDR045C	YDR495C	YJL011C	YKL144C	YKL179C	YKR025W	YNL039W	YNL151C	YOL021C	YOR116C	YOR207C	YPR110C	YPR190C	
YBL054W	YCR014C	YDL175C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGR061C	YGR232W	YLR421C	YNL047C	YNL087W	YOR124C	YOR209C	YPR045C	YPR078C	
YBL054W	YBR080C	YDL036C	YDL175C	YDR108W	YDR363W-A	YFR010W	YGL094C	YGR232W	YHR200W	YKL007W	YLR421C	YNL047C	YNL087W	YOR209C	YPR045C	
YDL179W	YDR520C	YFL049W	YGR056W	YGR275W	YHL025W	YIL177C	YLR035C	YMR159C	YNL085W	YNR023W	YOR156C	YOR290C	YPL208W	YPR034W	YPR081C	
YBL059W	YBL082C	YBR259W	YCR079W	YDL115C	YDL140C	YDR289C	YGL043W	YGL070C	YGR063C	YGR186W	YJL140W	YJL168C	YJR017C	YOL005C	YPL129W	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YLR071C	YNL236W	YOL051W	YPL210C	YPR070W	
YBL059W	YBL082C	YBR154C	YDR143C	YDR404C	YFL023W	YGL043W	YGL070C	YGR005C	YIL021W	YJL140W	YML114C	YOR151C	YOR210W	YPL129W	YPR133C	
YBL074C	YBR119W	YDL087C	YFL017W-A	YGR013W	YGR074W	YHR165C	YIL061C	YLR014C	YLR275W	YLR298C	YML046W	YNL024C	YNL092W	YOR305W	YPR057W	
YBR081C	YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YDR043C	YER164W	YGL019W	YIL035C	YKL088W	YKL160W	YLR387C	YLR407W	YMR154C	YMR172W	YNL031C	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YBR081C	YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR406W	YDR448W	YGL066W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR081C	YCL010C	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YGL112C	YGR252W	YLR055C	YML098W	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBL055C	YBL105C	YCR035C	YDL111C	YDR280W	YGR095C	YGR158C	YGR195W	YHR069C	YHR081W	YMR193W	YNL232W	YNR024W	YOL021C	YOL142W	YOR001W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR406W	YDR448W	YDR523C	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL254W	
YBR169C	YCL014W	YDR006C	YDR234W	YFL007W	YGL066W	YGR285C	YHR064C	YKL047W	YLR058C	YLR336C	YMR108W	YNL209W	YOR069W	YOR081C	YOR133W	
YBR175W	YDR103W	YDR251W	YEL023C	YER086W	YHL002W	YJL052W	YJL203W	YJR009C	YKL216W	YKR042W	YOR269W	YOR299W	YOR305W	YOR368W	YPL003W	
YAR002W	YGL232W	YGR180C	YJL026W	YJR041C	YKL114C	YKL214C	YLR298C	YLR335W	YLR347C	YML060W	YNL189W	YOR098C	YPL020C	YPL178W	YPL212C	
YBR081C	YCR082W	YDL059C	YDR145W	YDR176W	YDR392W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL011C	YPL047W	YPR008W	
YBL090W	YDR175C	YDR337W	YGR215W	YHR059W	YIL070C	YIL093C	YJL063C	YJR096W	YJR101W	YKL151C	YKL155C	YNL168C	YNR037C	YOL143C	YPL032C	
YBR081C	YCL010C	YCR082W	YDR145W	YDR176W	YDR208W	YDR392W	YDR448W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YBR231C	YCR060W	YDR190C	YDR334W	YDR485C	YGR086C	YGR173W	YJR156C	YLR079W	YML041C	YNL229C	YNL251C	YNR052C	YOL045W	YPL235W	YPR115W	
YDL043C	YER172C	YGR074W	YJR022W	YKL012W	YLR147C	YLR275W	YMR213W	YMR268C	YNL024C	YNL092W	YOR097C	YOR305W	YOR308C	YPR057W	YPR178W	
YCR003W	YCR071C	YDR116C	YDR237W	YDR322W	YDR405W	YDR462W	YGR076C	YLR312W-A	YLR439W	YMR024W	YNL005C	YNL252C	YNL284C	YOR249C	YPL173W	
YAL019W	YDR043C	YER164W	YGL019W	YIL035C	YKL160W	YLR362W	YLR387C	YLR407W	YMR154C	YMR172W	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YBR231C	YDR334W	YDR359C	YDR485C	YEL018W	YGR002C	YHR090C	YJR082C	YLR385C	YLR399C	YML041C	YNL107W	YNL136W	YOL052C	YPR023C	YPR031W	
YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR263C	YIL084C	YJL168C	YKL185W	YMR075W	YMR263W	YNL097C	YOL004W	YPL139C	YPL181W	YPR184W	
YBR066C	YBR081C	YBR198C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YMR223W	YOL148C	YPL047W	YPL254W	
YAL013W	YBR095C	YDL076C	YDR207C	YGR255C	YIL084C	YJL168C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPR023C	
YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YJL168C	YMR075W	YMR263W	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	
YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR184W	
YBR251W	YDL045W-A	YDR124W	YDR175C	YGR165W	YGR215W	YHL004W	YIL093C	YJL063C	YJR096W	YJR113C	YMR188C	YNL022C	YNL242W	YNR036C	YOR158W	
YAL019W	YDR043C	YER164W	YGL019W	YGR063C	YIL035C	YKL160W	YLR387C	YLR407W	YMR154C	YMR172W	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR167W	YDR176W	YDR392W	YDR448W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL047W	YPL254W	
YBR055C	YBR152W	YDL030W	YDR473C	YER029C	YER069W	YER172C	YGR091W	YHR165C	YKL095W	YKL173W	YLR147C	YLR325C	YNR011C	YOR308C	YPR101W	
YAL019W	YBR143C	YDR043C	YER164W	YGL019W	YIL035C	YKL088W	YKL160W	YKR072C	YLR362W	YLR387C	YMR154C	YMR172W	YNL149C	YOR039W	YOR061W	
YBR251W	YDL045W-A	YDR124W	YDR175C	YGR165W	YGR215W	YHL004W	YIL093C	YJL063C	YJR096W	YJR113C	YKL155C	YMR188C	YNL022C	YNL242W	YNR036C	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YDR523C	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL254W	
YCL014W	YDR165W	YDR251W	YEL023C	YFR053C	YGL253W	YJL052W	YJR009C	YKL216W	YLR131C	YNL273W	YOR269W	YOR299W	YOR368W	YPL003W	YPR164W	
YAL013W	YAL034C	YDL076C	YGR263C	YIL084C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YAL019W	YBR088C	YDR043C	YGL019W	YHR131C	YIL035C	YKL160W	YKR072C	YLR387C	YLR407W	YMR154C	YMR172W	YMR230W	YOR039W	YOR054C	YOR061W	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL011C	YPL254W	
YBL093C	YBR253W	YDL005C	YDR308C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YMR112C	YMR230W	YNR010W	YOL051W	YPL042C	YPR070W	YPR168W	
YCR057C	YDR365C	YGL120C	YGL128C	YGR145W	YHR065C	YIL142W	YJL069C	YJL147C	YLR129W	YLR222C	YLR409C	YNL224C	YNR054C	YOR310C	YPR137W	
YBR253W	YDL005C	YDR166C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YKR067W	YLR071C	YMR112C	YMR287C	YOL135C	YOR174W	YOR349W	YPL210C	
YAL011W	YBR231C	YCR060W	YDR190C	YDR334W	YDR485C	YER168C	YGL252C	YGR002C	YHR034C	YLR085C	YLR385C	YML041C	YNL076W	YNL107W	YOL052C	
YAL013W	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YBR251W	YDR124W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YHR155W	YIL093C	YJR060W	YJR101W	YKL155C	YNL022C	YNR037C	YOR158W	YPL118W	
YCL014W	YDR165W	YDR251W	YEL023C	YFR053C	YGL253W	YJL052W	YJR009C	YKL216W	YLR027C	YLR131C	YNL102W	YNL273W	YOR269W	YOR299W	YOR368W	
YAL019W	YAR007C	YBL008W	YBR088C	YIL035C	YIL121W	YJL115W	YKL088W	YLR387C	YLR407W	YNL030W	YNL031C	YNL206C	YOR038C	YOR054C	YOR061W	
YBL093C	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YPL042C	YPR070W	
YBR044C	YCR020W-B	YDR303C	YEL047C	YER062C	YGR056W	YGR275W	YIL126W	YJL176C	YKR008W	YLR033W	YLR357W	YMR033W	YMR091C	YMR125W	YPL016W	
YDL005C	YGL025C	YGL127C	YGL151W	YHR041C	YHR058C	YKR067W	YLR071C	YMR287C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	
YAL031C	YAL043C	YAL046C	YBL010C	YBL101C	YBR166C	YDR195W	YDR301W	YGR156W	YHR029C	YJR093C	YKL018W	YLR303W	YNL317W	YOR179C	YPR107C	
YBL106C	YDL002C	YDR006C	YEL044W	YFL013C	YGR285C	YHR155W	YJL081C	YKL056C	YKL081W	YLR052W	YLR072W	YNL215W	YOR141C	YOR189W	YPL048W	
YBL106C	YDL002C	YDR006C	YEL044W	YER092W	YFL013C	YGR285C	YJL081C	YKL081W	YLR052W	YLR072W	YNL215W	YOL059W	YOR141C	YOR189W	YPL048W	
YBR026C	YBR058C	YDL160C	YDR165W	YDR457W	YFR053C	YGL253W	YIL038C	YIL148W	YKL080W	YKR001C	YKR049C	YNL084C	YNL111C	YOL025W	YOR081C	
YCR057C	YDR071C	YDR365C	YGL120C	YGR145W	YHR065C	YIL142W	YJL069C	YLR129W	YLR222C	YLR409C	YMR259C	YNL224C	YNR054C	YOR310C	YPR137W	
YCL030C	YCR053W	YDL077C	YDR127W	YFR044C	YGR240C	YHR179W	YJL080C	YJR009C	YOL013C	YOR027W	YOR299W	YOR375C	YPL003W	YPL240C	YPR069C	
YCL030C	YCR053W	YDL077C	YDR127W	YDR129C	YGR240C	YHR179W	YJR009C	YNL273W	YOL013C	YOR027W	YOR368W	YPL003W	YPL240C	YPR069C	YPR164W	
YBR279W	YCL031C	YDR043C	YGR071C	YIL035C	YKL007W	YKL160W	YLL063C	YLR362W	YML069W	YMR154C	YOL108C	YOL145C	YOR040W	YOR054C	YPL084W	
YAL031C	YAL043C	YAL046C	YBL010C	YBL101C	YDR195W	YGR043C	YGR156W	YHR029C	YKL059C	YKR002W	YLR115W	YNL222W	YNL317W	YOR179C	YPR107C	
YAL008W	YCL054W	YDR060W	YDR117C	YDR299W	YDR365C	YER127W	YGR012W	YGR145W	YIL142W	YIL154C	YJL033W	YKR028W	YLR226W	YNL132W	YPR161C	
YAL031C	YAL043C	YAL046C	YBL010C	YBL101C	YER133W	YFR003C	YGR156W	YHR029C	YLL013C	YMR311C	YNL222W	YNL233W	YNL317W	YOR179C	YOR227W	
YCL030C	YCR053W	YDL077C	YDR127W	YGR240C	YHR062C	YHR179W	YJR009C	YLR027C	YLR153C	YNL102W	YNL273W	YOL013C	YOR027W	YOR299W	YPL240C	
YAL019W	YBR088C	YDR043C	YER164W	YGL019W	YGR063C	YIL035C	YKL088W	YKL160W	YLR407W	YMR154C	YMR230W	YNL031C	YOL088C	YOR039W	YOR061W	
YCL030C	YCR053W	YDL077C	YDR127W	YDR129C	YFR044C	YHL014C	YJR009C	YOL013C	YOR027W	YOR299W	YOR375C	YPL003W	YPL240C	YPR069C	YPR164W	
YBL093C	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YPR070W	
YBL093C	YCR081W	YDL005C	YEL056W	YGL127C	YGR104C	YHR041C	YHR058C	YMR230W	YNL236W	YNR010W	YOL051W	YOR174W	YOR386W	YPL042C	YPR070W	
YBR251W	YDL045W-A	YDR124W	YDR175C	YDR337W	YGR165W	YGR215W	YIL093C	YJL063C	YJR096W	YJR113C	YMR188C	YNL022C	YNL242W	YNR036C	YOR158W	
YBR251W	YDL045W-A	YDR124W	YDR175C	YGL129C	YGR165W	YHL004W	YIL093C	YJL063C	YJR096W	YJR113C	YKL155C	YNL022C	YNL242W	YNR036C	YOR158W	
YBR235W	YDR001C	YDR099W	YDR348C	YER177W	YFR017C	YGR097W	YHR161C	YIR003W	YKR098C	YLR176C	YNL267W	YNR014W	YNR047W	YOR140W	YOR220W	
YBR289W	YDL179W	YDR520C	YFL049W	YGR275W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YMR159C	YNR023W	YOR156C	YOR290C	YPR034W	YPR081C	
YBR235W	YDR001C	YDR099W	YDR348C	YER177W	YFR017C	YGL181W	YGR097W	YHR161C	YIR003W	YKR098C	YLR176C	YNR014W	YNR047W	YOR140W	YOR220W	
YBR289W	YDL179W	YFL049W	YGR275W	YHL025W	YIL177C	YJL176C	YLR035C	YMR159C	YNL085W	YNR023W	YOR156C	YPL016W	YPL208W	YPR034W	YPR081C	
YAL011W	YCR008W	YDL143W	YDR188W	YDR190C	YDR485C	YGR086C	YJL110C	YLR079W	YLR179C	YMR031C	YMR086W	YNL067W	YOL045W	YPL004C	YPL155C	
YBR251W	YDL045W-A	YDR124W	YDR175C	YGR165W	YGR215W	YHL004W	YIL093C	YJL063C	YJL130C	YJR113C	YKL155C	YMR188C	YNL022C	YNL242W	YNR036C	
YAL019W	YER164W	YGL019W	YHR131C	YIL035C	YKL088W	YKL160W	YLR387C	YLR407W	YMR154C	YMR172W	YMR230W	YOL088C	YOR039W	YOR054C	YOR061W	
YAL013W	YAL034C	YBR095C	YDL076C	YGR255C	YIL084C	YKL185W	YMR075W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YBL093C	YBR253W	YCR081W	YDL005C	YDR308C	YDR443C	YER022W	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YNL236W	YNR010W	YOL051W	YPR070W	
YAL007C	YAL023C	YAR002C-A	YBR060C	YCR043C	YDR174W	YEL036C	YGL200C	YGR231C	YHR118C	YIL036W	YIL150C	YLR442C	YML012W	YNL094W	YOR172W	
YAL047C	YBR169C	YDR006C	YDR165W	YDR484W	YER071C	YFR053C	YGL253W	YGR285C	YHR064C	YKL047W	YLR135W	YLR231C	YNL209W	YOL087C	YOR081C	
YBR026C	YBR059C	YCR009C	YDL036C	YDL190C	YEL037C	YHR200W	YIL038C	YIL148W	YKL080W	YKR001C	YML011C	YNL084C	YNL111C	YNR031C	YPR062W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR184W	
YAL013W	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	
YBL093C	YBR253W	YCR081W	YDL005C	YDR308C	YER022W	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YNL236W	YNR010W	YOL051W	YPL042C	YPR070W	
YAL011W	YBR231C	YDL070W	YDR334W	YDR485C	YGR086C	YGR267C	YJR156C	YLR079W	YLR385C	YLR399C	YML041C	YNL107W	YOL045W	YOL052C	YPR115W	
YBL093C	YBR253W	YCR081W	YDL005C	YDR308C	YDR443C	YGL025C	YGL127C	YGL151W	YGR104C	YMR112C	YMR230W	YNR010W	YOL051W	YPL042C	YPR070W	
YAL011W	YBR231C	YDL070W	YDR334W	YDR485C	YGR002C	YGR086C	YLR079W	YLR085C	YLR385C	YLR399C	YML041C	YNL107W	YOL045W	YOL052C	YPR115W	
YBR062C	YDL160C	YDR111C	YDR129C	YDR239C	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YLR380W	YML017W	YMR083W	YNL250W	
YAL047C	YBR069C	YBR139W	YBR169C	YDR006C	YDR165W	YDR234W	YDR484W	YFR053C	YGR285C	YHR064C	YIL071C	YKL047W	YNL209W	YOL087C	YOR081C	
YBR198C	YCL010C	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YML015C	YMR223W	YOL148C	YPL011C	YPL047W	YPL222W	YPL254W	
YAL043C	YAL046C	YBL101C	YDR195W	YER133W	YFR003C	YJR093C	YKL018W	YKL193C	YKR002W	YLL013C	YLR115W	YMR311C	YNL222W	YNL233W	YOR227W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	YPR184W	
YCL014W	YDR103W	YDR165W	YDR251W	YEL023C	YFR053C	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YNL273W	YOR269W	YOR368W	YPL003W	YPR164W	
YBR062C	YBR283C	YDL160C	YDR111C	YDR129C	YDR239C	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YLR023C	YMR083W	YNL250W	
YBR198C	YDL065C	YDR145W	YDR167W	YER148W	YGL066W	YGL112C	YGR274C	YHR036W	YML015C	YML031W	YML098W	YMR005W	YMR227C	YPL011C	YPL167C	
YBR198C	YDL065C	YDR145W	YDR167W	YER148W	YGL066W	YGL112C	YGR274C	YHR036W	YIL016W	YML015C	YML098W	YMR005W	YMR227C	YPL011C	YPL167C	
YBR198C	YDL059C	YDR392W	YGL112C	YGR252W	YGR274C	YIL016W	YLR055C	YML015C	YML031W	YML098W	YMR005W	YMR227C	YMR236W	YOL148C	YPL011C	
YAL013W	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YBL093C	YCR081W	YDL005C	YGL127C	YGR104C	YHR041C	YHR058C	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOR174W	YOR349W	YPL042C	YPR070W	
YAL047C	YAR062W	YBR169C	YCL014W	YDR006C	YDR484W	YER071C	YGR285C	YHR013C	YHR064C	YKL047W	YMR108W	YNL209W	YOL087C	YOR081C	YPL247C	
YBR058C	YCR009C	YDL160C	YDL190C	YDR081C	YDR165W	YDR457W	YEL037C	YFL038C	YFR053C	YGL253W	YIL148W	YNL084C	YOL025W	YPL096W	YPR062W	
YDL076C	YEL018W	YGR255C	YHR090C	YJL168C	YMR075W	YMR263W	YNL107W	YNL136W	YNL330C	YOL004W	YPL059W	YPL066W	YPL139C	YPR023C	YPR184W	
YBR251W	YDR124W	YDR175C	YDR347W	YGR165W	YHR155W	YIL093C	YJR060W	YJR096W	YJR101W	YNL022C	YNL242W	YNR036C	YNR037C	YOR158W	YPL118W	
YAL019W	YAL042W	YBL054W	YDL147W	YDL216C	YDR055W	YDR179C	YDR320C	YDR328C	YIL071C	YLL040C	YMR025W	YMR258C	YOL117W	YPL242C	YPR003C	
YBR034C	YBR107C	YBR211C	YDR254W	YDR318W	YDR383C	YER069W	YGR006W	YGR179C	YJR135C	YLR315W	YLR381W	YMR198W	YOR342C	YPL018W	YPR046W	
YBR289W	YFL049W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YMR159C	YNL085W	YNL307C	YOR156C	YOR290C	YPL016W	YPL208W	YPR034W	YPR081C	
YDL076C	YDR359C	YEL018W	YGR255C	YHR090C	YJR082C	YMR263W	YNL136W	YNL330C	YOL004W	YPL059W	YPL066W	YPL139C	YPL181W	YPR023C	YPR031W	
YBR044C	YBR161W	YCR020W-B	YDR303C	YER062C	YGR056W	YGR275W	YIL126W	YJL176C	YKR008W	YLR033W	YLR357W	YML127W	YMR033W	YMR091C	YMR125W	
YBR198C	YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YBR251W	YDR124W	YDR175C	YDR347W	YGR165W	YIL093C	YJR060W	YJR096W	YJR101W	YJR113C	YNL022C	YNL081C	YNL242W	YNR036C	YOR158W	YPL118W	
YBR198C	YCL010C	YCR082W	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YAL011W	YBR231C	YDL155W	YDR334W	YDR485C	YGR086C	YJR156C	YLR079W	YLR085C	YLR385C	YLR399C	YML041C	YNL107W	YOL045W	YOL052C	YPR115W	
YAL011W	YBR231C	YDL070W	YDR334W	YDR485C	YGR086C	YJR156C	YLR079W	YLR085C	YLR385C	YLR399C	YML041C	YNL107W	YOL045W	YOL052C	YPR115W	
YCR060W	YDL002C	YDR006C	YDR190C	YER092W	YFL013C	YGL150C	YGR285C	YHR034C	YHR155W	YKL056C	YKL081W	YLR052W	YNL215W	YOR189W	YPL048W	
YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YHR041C	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPR070W	
YBL093C	YBR253W	YCR081W	YDR308C	YER022W	YGL127C	YGL151W	YGR198W	YHR041C	YMR287C	YNL236W	YNR010W	YOR174W	YOR349W	YPL042C	YPL210C	
