YCR057C	YDR071C	YDR299W	YDR365C	YDR449C	YGL120C	YGR145W	YHR065C	YIL142W	YJL069C	YKL015W	YLR129W	YLR222C	YLR409C	YMR259C	YNL224C	YNR054C	YOR310C	YPR137W	
YAL019W	YDR043C	YGL019W	YGR063C	YHR131C	YIL035C	YKL088W	YLR362W	YLR387C	YMR154C	YMR172W	YNL149C	YOL088C	YOR039W	YOR052C	YOR054C	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YGL066W	YGL112C	YGR130C	YGR252W	YLR055C	YML098W	YMR223W	YMR227C	YOL148C	YPL047W	YPL254W	
YBR081C	YCL010C	YDR167W	YDR176W	YDR392W	YDR448W	YDR523C	YGL066W	YGR252W	YGR274C	YLR055C	YMR223W	YOR023C	YPL047W	YPL222W	YPL254W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR185C	YBR278W	YCL032W	YDL020C	YDL069C	YDR121W	YGL009C	YGL049C	YHR046C	YKL213C	YLR362W	YML065W	YNL262W	YOR091W	YPR162C	YPR175W	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YFL017C	YGL096W	YGR067C	YGR135W	YGR253C	YJL132W	YJR143C	YKL206C	YKR070W	YKR095W	YLR290C	
YBR081C	YCL010C	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBL059W	YBL082C	YBR154C	YDL115C	YFL023W	YGL043W	YGL070C	YGR063C	YIL021W	YJL140W	YML010W	YOR151C	YOR210W	YOR224C	YPL129W	YPR133C	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YGL096W	YGR067C	YGR087C	YGR135W	YJL132W	YKL206C	YKR054C	YKR070W	YKR095W	YLR199C	YLR290C	
YBR173C	YDL203C	YEL061C	YER012W	YER132C	YGL096W	YGR067C	YGR135W	YJL132W	YJR143C	YKL206C	YKR054C	YKR070W	YKR095W	YLR199C	YLR290C	
YBL093C	YBR253W	YCR081W	YDR308C	YER022W	YGL127C	YGL151W	YGR198W	YHR041C	YMR287C	YNL236W	YNR010W	YOR174W	YOR349W	YPL042C	YPL210C	
YBR047W	YDL145C	YDR047W	YDR238C	YER120W	YER122C	YFR051C	YGL137W	YGR233C	YIL076W	YLR260W	YNL088W	YNL255C	YOR363C	YPL031C	YPL219W	
YBL059W	YBL082C	YBR259W	YCR079W	YDL115C	YDR143C	YDR404C	YGL043W	YGL070C	YGL116W	YGR063C	YGR186W	YIL021W	YJL140W	YML010W	YOL005C	
YBR081C	YCL010C	YDL059C	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR081C	YCL010C	YDL059C	YDR167W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YML015C	YMR223W	YMR236W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR081C	YCL010C	YDL059C	YDR167W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR081C	YCL010C	YDL059C	YDR167W	YDR176W	YDR392W	YDR448W	YDR523C	YGR252W	YLR055C	YML098W	YMR005W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR081C	YCL010C	YDL059C	YDR167W	YDR176W	YDR392W	YDR406W	YDR448W	YGR252W	YLR055C	YML098W	YMR005W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR081C	YCL010C	YCR082W	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YML015C	YML098W	YMR223W	YMR227C	YOL148C	YPL047W	YPL222W	YPL254W	
YBR081C	YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR406W	YDR448W	YGL066W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBL093C	YBR253W	YCR081W	YDL005C	YDR308C	YDR443C	YGL025C	YGL127C	YGL151W	YGR104C	YMR112C	YMR230W	YNR010W	YOL051W	YPL042C	YPR070W	
YBR081C	YCL010C	YCR082W	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL011C	YPL254W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR406W	YDR448W	YDR523C	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL254W	
YAL023C	YBR171W	YBR283C	YCR002C	YCR009C	YCR043C	YDL022W	YDL095W	YEL002C	YEL036C	YGR266W	YJL117W	YOR093C	YOR153W	YPL226W	YPR062W	
YBR175W	YDR103W	YDR251W	YEL023C	YER086W	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YLR144C	YNL273W	YOR269W	YOR368W	YPL003W	YPR164W	
YBR065C	YBR267W	YCL024W	YDR452W	YER063W	YGL241W	YKR011C	YKR048C	YKR092C	YLR410W	YMR110C	YMR139W	YNL078W	YOL012C	YPL090C	YPL220W	
YBR148W	YDL078C	YDR419W	YER069W	YGL067W	YHR121W	YIL045W	YIR001C	YJL051W	YLL032C	YLR032W	YLR325C	YLR408C	YML032C	YNL293W	YPR007C	
YBR062C	YDR239C	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YKR083C	YLR023C	YLR380W	YML017W	YMR083W	YNL250W	
YBL002W	YBR060C	YBR125C	YEL056W	YER091C	YIR035C	YJL187C	YJR154W	YLR133W	YLR185W	YML065W	YMR230W	YNL261W	YOR386W	YPL001W	YPR162C	
YBR062C	YDR166C	YDR239C	YDR272W	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YKL191W	YLR043C	YLR380W	YMR083W	
YAL013W	YBR095C	YDL076C	YDR207C	YGR255C	YIL084C	YJL168C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPR023C	
YAL011W	YBR231C	YDR334W	YDR485C	YGL252C	YGR002C	YKR072C	YLR085C	YLR187W	YLR385C	YLR399C	YML041C	YNL076W	YNL107W	YNL208W	YOL052C	
YAL011W	YBL038W	YBR231C	YDR334W	YDR485C	YEL018W	YGR002C	YGR086C	YJR082C	YKR072C	YLR085C	YLR385C	YLR399C	YML041C	YNL107W	YOL052C	
YAL011W	YBL106C	YDL002C	YDR006C	YDR234W	YER092W	YFL013C	YGR285C	YJL081C	YKL056C	YKL081W	YLR052W	YLR262C	YNL059C	YOR189W	YPL048W	
YDL002C	YDR006C	YDR190C	YER092W	YFL013C	YGL150C	YGR285C	YHR034C	YKL056C	YKL081W	YLR052W	YLR336C	YNL059C	YNL215W	YOR189W	YPL048W	
YAL013W	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	
YDL002C	YDR190C	YEL018W	YEL044W	YER092W	YFL013C	YGL150C	YGR173W	YJL081C	YLR052W	YNL215W	YNL229C	YOR141C	YOR189W	YPL048W	YPL235W	
YBR062C	YBR283C	YDL160C	YDR021W	YDR111C	YEL030W	YER036C	YGL049C	YGR162W	YJL138C	YLR023C	YLR231C	YLR380W	YML017W	YMR083W	YNL250W	
YAL011W	YBR231C	YCR060W	YDR190C	YDR227W	YDR334W	YDR485C	YEL018W	YGR002C	YHR034C	YKR072C	YLR085C	YLR385C	YML041C	YNL107W	YOL052C	
YAL011W	YBR231C	YCR060W	YDR190C	YDR227W	YDR334W	YDR485C	YER168C	YGR002C	YHR034C	YKR072C	YLR085C	YLR385C	YML041C	YNL107W	YOL052C	
YAL013W	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YAL011W	YBR231C	YCR060W	YDR190C	YDR227W	YDR334W	YDR485C	YER168C	YGR002C	YKR072C	YLR085C	YLR385C	YLR399C	YML041C	YNL215W	YOL052C	
YCL014W	YDR103W	YDR251W	YDR454C	YEL023C	YJL052W	YJL203W	YJR009C	YKL216W	YKR042W	YLR027C	YLR144C	YNL273W	YOR299W	YOR368W	YPL003W	
YBL002W	YBR060C	YBR125C	YCR087C-A	YDL156W	YEL056W	YER091C	YJL187C	YJR154W	YLL004W	YLR133W	YLR185W	YML065W	YMR072W	YNL261W	YPL001W	
YAL013W	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YCL014W	YDR103W	YDR165W	YDR251W	YEL023C	YFR053C	YGL253W	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YNL273W	YOR299W	YOR368W	YPL003W	
YBR060C	YCR087C-A	YEL056W	YGL229C	YGR104C	YHR118C	YJR154W	YLL004W	YLL022C	YMR230W	YNL030W	YNL206C	YNL261W	YOR386W	YPL127C	YPR162C	
YBR107C	YBR211C	YDR254W	YDR318W	YDR383C	YER069W	YGR006W	YGR179C	YJL105W	YJR135C	YLR315W	YLR381W	YNR062C	YOR342C	YPL018W	YPR046W	
YBL055C	YCR035C	YDL111C	YDR280W	YGR095C	YGR158C	YGR195W	YHR069C	YHR081W	YMR193W	YNL232W	YNR024W	YOL021C	YOL142W	YOR001W	YOR076C	
YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR263C	YIL084C	YJL168C	YKL185W	YMR075W	YMR263W	YNL097C	YOL004W	YPL139C	YPL181W	YPR184W	
YDR239C	YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YKL204W	YLR023C	YLR380W	YML017W	YMR083W	YNL250W	YOL109W	
YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YJL168C	YMR075W	YMR263W	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	
YBL103C	YBR010W	YBR245C	YCR087C-A	YFR034C	YGL133W	YGR081C	YLR095C	YMR044W	YMR284W	YMR288W	YNL167C	YOL017W	YOR304W	YPL055C	YPR052C	
YAL013W	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YPL059W	YPL139C	YPL181W	YPR023C	
YDR239C	YDR272W	YER001W	YGR041W	YGR162W	YGR209C	YIL103W	YJL138C	YKL048C	YKL191W	YLR023C	YLR043C	YLR231C	YLR380W	YMR083W	YOL109W	
YBL020W	YBR173C	YDR400W	YDR489W	YER132C	YGL011C	YGR067C	YGR135W	YIL099W	YIR030C	YJL088W	YJR143C	YKL206C	YKR095W	YLR211C	YOL146W	
YDR103W	YDR251W	YEL023C	YER086W	YER095W	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YLR144C	YNL273W	YOR269W	YOR368W	YPL003W	YPR164W	
YDR043C	YER164W	YGL019W	YGR063C	YHR131C	YIL035C	YKL088W	YKL160W	YLR362W	YLR387C	YMR154C	YMR172W	YOL088C	YOR039W	YOR052C	YOR054C	
YBR251W	YDR124W	YDR175C	YDR347W	YGR165W	YHL004W	YIL093C	YJR101W	YJR113C	YNL022C	YNL137C	YNL242W	YNR036C	YNR037C	YOR158W	YPL118W	
YBL093C	YCR081W	YDL005C	YEL056W	YGL127C	YGR104C	YHR041C	YHR058C	YMR230W	YNL236W	YNR010W	YOL051W	YOR174W	YOR386W	YPL042C	YPR070W	
YDR103W	YDR251W	YEL023C	YER086W	YHL002W	YJL052W	YJR009C	YKL216W	YKR042W	YLR144C	YNL273W	YOR269W	YOR299W	YOR305W	YOR368W	YPL003W	
YCL010C	YCR082W	YDR145W	YDR176W	YDR392W	YDR448W	YGL112C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YAL029C	YAL043C	YAL046C	YBL101C	YDL199C	YDR195W	YDR301W	YGR156W	YJR093C	YKL018W	YLR115W	YLR277C	YLR303W	YNL208W	YOR093C	YOR179C	
YBL074C	YBR055C	YBR119W	YER069W	YER172C	YFL017W-A	YHR156C	YHR165C	YLR014C	YLR147C	YLR325C	YML049C	YNR011C	YOR097C	YOR159C	YOR308C	
YBL074C	YBR055C	YDL051W	YDL181W	YDR378C	YDR473C	YGR091W	YHR156C	YHR165C	YNL092W	YOR078W	YOR097C	YOR159C	YOR305W	YOR308C	YPR178W	
YBL052C	YDR359C	YEL018W	YFL024C	YHR090C	YJL081C	YJR082C	YLR455W	YNL107W	YNL136W	YNL246W	YOR064C	YOR244W	YPL066W	YPR023C	YPR031W	
YBR066C	YBR198C	YCL010C	YCR082W	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YCR003W	YCR071C	YDR116C	YDR237W	YDR322W	YDR405W	YDR462W	YGR076C	YLR312W-A	YLR439W	YMR024W	YNL005C	YNL252C	YNL284C	YOR249C	YPL173W	
YAL017W	YAL062W	YAR071W	YBL019W	YBR115C	YCR020W-B	YDL179W	YDR520C	YFL033C	YGR056W	YGR275W	YIL033C	YIL126W	YLR033W	YOL070C	YOR115C	
YBL041W	YBR173C	YBR225W	YCR076C	YDR011W	YDR179W-A	YEL061C	YER094C	YJL001W	YKL206C	YLR256W	YMR314W	YOL038W	YOR157C	YOR362C	YPR103W	
YCR016W	YCR077C	YDL160C	YDR153C	YEL015W	YGL173C	YGL213C	YGR054W	YHL034C	YJL124C	YJR022W	YKL015W	YKL023W	YLR398C	YNL147W	YPR189W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR184W	
YBL004W	YBL026W	YCR077C	YDL160C	YDR153C	YEL015W	YER112W	YER146W	YGL173C	YGL213C	YGR054W	YJL124C	YKL023W	YLR398C	YLR438C-A	YPR189W	
YAL011W	YBL038W	YBR231C	YCR060W	YDR190C	YDR227W	YDR334W	YDR485C	YGR002C	YKR072C	YLR085C	YLR385C	YLR399C	YML041C	YNL215W	YOL052C	
YBL093C	YBR193C	YCR081W	YDR308C	YGL025C	YGL127C	YGR104C	YHR041C	YHR058C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YPR070W	YPR168W	
YBL041W	YBR173C	YBR225W	YCR076C	YDR011W	YDR179W-A	YEL061C	YER094C	YGL096W	YJL001W	YKR054C	YMR314W	YOL038W	YOR157C	YOR362C	YPR103W	
YBL074C	YBR119W	YDL087C	YFL017W-A	YGR013W	YGR074W	YHR165C	YIL061C	YLR014C	YLR275W	YLR298C	YML046W	YNL024C	YNL092W	YOR305W	YPR057W	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL011C	YPL254W	
YBL093C	YDL005C	YDL215C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YPL042C	YPR070W	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YDR448W	YDR523C	YGL066W	YGR252W	YLR055C	YMR223W	YMR236W	YOR023C	YPL254W	
YBL074C	YBR119W	YDR240C	YFL017W-A	YGR074W	YHR127W	YKL012W	YKL173W	YLR014C	YLR275W	YLR298C	YMR125W	YNL024C	YNL092W	YOR305W	YPR057W	
YBL002W	YBR267W	YCL024W	YDL156W	YDR224C	YER023W	YER091C	YGL241W	YJL128C	YKR048C	YLR133W	YLR410W	YMR139W	YNL078W	YOL012C	YPL220W	
YBL074C	YBR119W	YFL017W-A	YGR013W	YGR074W	YGR091W	YHR165C	YLR014C	YLR275W	YNL024C	YNL092W	YNR011C	YOR305W	YOR308C	YPR057W	YPR178W	
YAL031C	YAL043C	YAL046C	YBL010C	YBL101C	YBR166C	YDL199C	YDR195W	YDR301W	YKL059C	YLR115W	YLR277C	YLR303W	YNL208W	YNL317W	YOR179C	
YBR185C	YBR278W	YCL032W	YDL020C	YDL069C	YDR121W	YGL009C	YGL049C	YGL157W	YHR046C	YML065W	YNL262W	YOR091W	YPR162C	YPR175W	
YEL030W	YER001W	YGL049C	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YLR023C	YLR380W	YML017W	YMR083W	YNL250W	YOL109W	YPL207W	
YBL093C	YBR193C	YCR081W	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YHR058C	YMR230W	YNR010W	YOL051W	YPL042C	YPR070W	
YBL093C	YBR253W	YCR081W	YDL005C	YDR308C	YDR443C	YGL025C	YGL127C	YGL151W	YGR104C	YMR112C	YMR230W	YNR010W	YOL051W	YPR070W	
YBL026W	YBR055C	YCR077C	YDL051W	YDR378C	YDR473C	YEL015W	YGL173C	YGR054W	YGR091W	YJL124C	YLR438C-A	YOR078W	YOR308C	YPR178W	
YBL093C	YBR253W	YCR081W	YDL005C	YDR308C	YDR443C	YGL025C	YGL127C	YGL151W	YGR104C	YHR067W	YNR010W	YOL051W	YPL042C	YPR070W	
YAL013W	YAL034C	YBR095C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPR184W	
YBL093C	YBR193C	YCR081W	YDL005C	YEL056W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YHR058C	YMR230W	YNR010W	YOL051W	YPR070W	
YBL019W	YBR115C	YBR161W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YER062C	YGR056W	YGR275W	YKR008W	YLR357W	YMR091C	YOL070C	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YOL004W	YPL139C	YPL181W	YPR184W	
YDL150W	YDR045C	YDR495C	YJL011C	YKL144C	YKR025W	YNL113W	YNL151C	YNR003C	YOL021C	YOR116C	YOR207C	YPR110C	YPR187W	YPR190C	
YBL074C	YBR119W	YDL087C	YDR473C	YFL017W-A	YGR074W	YGR091W	YHR127W	YIL061C	YJR022W	YKL012W	YLR014C	YNL092W	YNR011C	YOR308C	
YBL074C	YBR119W	YBR152W	YDL181W	YER029C	YGR074W	YLR298C	YMR213W	YNL092W	YOR097C	YOR159C	YOR305W	YOR308C	YPR057W	YPR182W	
YDL145C	YER120W	YFR051C	YGL137W	YGR233C	YHR066W	YIL076W	YJR045C	YLR260W	YMR224C	YNL088W	YNL255C	YPL010W	YPL031C	YPL219W	
YBR142W	YDL122W	YDL208W	YDL213C	YGR103W	YHL007C	YJL192C	YLL008W	YML059C	YMR023C	YMR049C	YNR067C	YOL008W	YOR272W	YPL093W	
YDR304C	YDR494W	YER050C	YGR084C	YGR215W	YHR216W	YJR031C	YKL054C	YKL155C	YMR158W	YMR188C	YNL081C	YNR037C	YOR158W	YPL013C	
YBR146W	YBR251W	YDL045W-A	YDR337W	YGL129C	YJL063C	YJR096W	YJR101W	YJR113C	YKL155C	YNL022C	YNL242W	YNL306W	YNR037C	YOR158W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YIL084C	YKL185W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR184W	
YBL019W	YBR115C	YBR161W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YER062C	YGR275W	YJR002W	YLR321C	YLR357W	YMR091C	YOL070C	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YJL168C	YMR075W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	YPR184W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YMR075W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YBL002W	YBR125C	YEL056W	YER091C	YHR118C	YIR035C	YJL187C	YJR154W	YLR133W	YLR185W	YML065W	YMR230W	YNL261W	YOR386W	YPL001W	
YBL059W	YBL082C	YCR079W	YDL115C	YDL140C	YDR289C	YDR463W	YGL043W	YGL070C	YGR063C	YML010W	YOL005C	YOR151C	YPL129W	YPR133C	
YBL059W	YBL082C	YCR079W	YDL115C	YDL140C	YDR289C	YDR463W	YFL049W	YGL043W	YGL070C	YGR063C	YJL176C	YOL005C	YOR151C	YPL129W	
YBL019W	YBR115C	YBR161W	YCL044C	YCR020W-B	YCR052W	YDL179W	YDR520C	YEL047C	YER062C	YGR056W	YGR275W	YMR091C	YOL070C	YOR290C	
YBR185C	YBR278W	YCL032W	YDL020C	YDL053C	YDL069C	YDR121W	YGL049C	YGL157W	YGL203C	YHL024W	YHR046C	YNL262W	YOR091W	YPR175W	
YBL059W	YBL082C	YBR259W	YDR143C	YGL043W	YGL070C	YGR005C	YGR063C	YGR072W	YGR186W	YIL021W	YJL140W	YML114C	YOL005C	YPL129W	
YBR185C	YBR278W	YCL032W	YDL020C	YDL069C	YDR121W	YGL009C	YGL157W	YGR126W	YHR046C	YKL213C	YLR362W	YNL262W	YOR091W	YPR175W	
YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR448W	YDR523C	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBL059W	YBL082C	YBR259W	YCR079W	YDL115C	YDR143C	YDR404C	YGL043W	YGL070C	YGL116W	YGR186W	YIL021W	YJL140W	YML010W	YOL005C	
YCL059C	YCR016W	YDL040C	YDR113C	YDR143C	YGL078C	YGR283C	YHR089C	YIL159W	YJL162C	YLR175W	YLR197W	YMR310C	YNL227C	YPL009C	
YBL059W	YBL082C	YBR259W	YCR079W	YDL115C	YDL140C	YDR289C	YDR463W	YGL043W	YGL070C	YJL140W	YJL168C	YML010W	YOL005C	YPR133C	
YAL013W	YAL034C	YBR095C	YDL076C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPR184W	
YCR052W	YDL179W	YER155C	YHR008C	YIL177C	YJL137C	YLR035C	YLR357W	YML127W	YMR159C	YNL085W	YOR156C	YPL208W	YPR034W	YPR081C	
YBL058W	YBR193C	YBR253W	YEL056W	YER022W	YGL151W	YGR104C	YHR041C	YMR112C	YMR230W	YNL236W	YOL051W	YOR192C	YPL042C	YPR168W	
YBL087C	YBR291C	YDL081C	YDR033W	YER145C	YFR022W	YJR010C-A	YLR066W	YLR185W	YLR342W	YML055W	YML072C	YNR021W	YOR193W	YPL249C-A	
YBL087C	YBR291C	YDL015C	YDL081C	YDR033W	YER145C	YGL008C	YJR010C-A	YLR185W	YLR342W	YML055W	YML072C	YNR021W	YOR086C	YPL249C-A	
YBL087C	YBR291C	YDL015C	YDL081C	YDR033W	YER145C	YER157W	YFR022W	YJR010C-A	YLR066W	YLR185W	YLR342W	YML055W	YNR021W	YPL249C-A	
YAL013W	YAL034C	YBR095C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YLR223C	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	
YBR198C	YDR392W	YDR406W	YGL066W	YGL112C	YGR252W	YLR055C	YML015C	YML098W	YMR223W	YMR227C	YOL148C	YPL011C	YPL047W	YPL254W	
YAL011W	YDR334W	YEL018W	YGR002C	YHR099W	YJR082C	YKR072C	YLR385C	YML041C	YNL107W	YNL136W	YNL246W	YOL052C	YPR023C	YPR031W	
YBL023C	YBR185C	YBR278W	YCL032W	YDL020C	YDL069C	YDR121W	YGL009C	YGL049C	YHR046C	YKL213C	YNL262W	YOL041C	YOR091W	YPR175W	
YDL168W	YFR001W	YKL113C	YKR024C	YLR002C	YLR276C	YMR229C	YNL061W	YNL299W	YOL077C	YOR140W	YOR206W	YOR243C	YPL211W	YPR131C	
YBR198C	YDR145W	YDR167W	YGL112C	YGR274C	YIL016W	YLR055C	YML015C	YML031W	YML098W	YMR005W	YMR227C	YPL011C	YPL167C	YPL254W	
YBR128C	YBR296C	YDR270W	YGL105W	YHR131C	YIR033W	YKL050C	YLR138W	YLR247C	YMR280C	YNL021W	YNL119W	YNR013C	YOR017W	YOR197W	
YBR198C	YCL010C	YDR176W	YDR208W	YDR392W	YDR448W	YDR523C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YCR035C	YDR060W	YER166W	YGL120C	YGL128C	YIL079C	YJL050W	YMR137C	YMR290C	YNL224C	YOL115W	YOL120C	YOR212W	YPL009C	YPL220W	
YBL090W	YBR251W	YDL045W-A	YDR124W	YDR175C	YDR337W	YGR165W	YHR155W	YIL093C	YJR096W	YJR101W	YNL022C	YNL242W	YNR036C	YOR158W	
YCL011C	YCR059C	YDL084W	YDR138W	YHR167W	YIL038C	YIL041W	YJR032W	YML062C	YNL004W	YNL253W	YNR047W	YOR191W	YPL127C	YPL161C	
YAL013W	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR184W	
YDL078C	YDL144C	YDL150W	YDR045C	YJL011C	YKL144C	YKL179C	YKR025W	YNL039W	YNL151C	YNR003C	YOL021C	YOR116C	YOR207C	YPR110C	
YDR239C	YDR272W	YER001W	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YKL191W	YLR023C	YLR043C	YLR231C	YLR380W	YMR083W	YOL109W	
YDR239C	YEL030W	YER001W	YGR041W	YGR162W	YIL103W	YJL138C	YKL048C	YKL191W	YLR023C	YLR043C	YLR231C	YLR380W	YMR083W	YOL109W	
YBR148W	YDL053C	YDL078C	YGL067W	YGL203C	YGR130C	YHR121W	YIR001C	YJL051W	YLL032C	YLR032W	YLR325C	YML032C	YMR031C	YNL293W	
YCL010C	YCR082W	YDR176W	YDR208W	YDR392W	YDR448W	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBL002W	YBL103C	YBR010W	YDL156W	YER091C	YFR034C	YGL035C	YGL241W	YGR081C	YLR320W	YMR044W	YMR187C	YNL054W	YNL206C	YOL054W	
YBL002W	YBR060C	YBR125C	YDL156W	YEL056W	YER091C	YHR118C	YIR035C	YJL187C	YJR154W	YLR133W	YLR185W	YOR386W	YPL001W	YPR162C	
YBL002W	YBR060C	YBR125C	YDL156W	YER091C	YGL241W	YHR118C	YIR035C	YJL187C	YJR154W	YLL004W	YMR072W	YNL261W	YPL001W	YPR162C	
YDR251W	YEL023C	YER086W	YHL002W	YJL052W	YJL128C	YJR009C	YKL216W	YLR027C	YLR144C	YNL102W	YNL273W	YOR269W	YOR299W	YOR368W	
YBL074C	YDL051W	YDR240C	YER172C	YFL017W-A	YGR013W	YGR074W	YIL061C	YJR022W	YLR298C	YNL092W	YOR078W	YPL213W	YPR178W	YPR182W	
