YAL032C	YBL104C	YBR065C	YBR152W	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YDR473C	YGL128C	YGR091W	YGR278W	YHR156C	YJR050W	YKR022C	YLR117C	YMR213W	YOR308C	
YBL036C	YBL039C	YCL050C	YDL112W	YDR335W	YDR457W	YFR009W	YGR204W	YHL011C	YJL052W	YKL029C	YKL067W	YKL181W	YLL040C	YMR078C	
YBL074C	YBR065C	YBR152W	YCR063W	YDR473C	YER013W	YER172C	YGR075C	YHR156C	YJR050W	YKR022C	YLR117C	YLR424W	YPL151C	YPR101W	
YCR043C	YDR245W	YDR525W-A	YEL022W	YEL036C	YER017C	YGR132C	YGR231C	YJL183W	YJR075W	YKR031C	YLR342W	YLR450W	YMR089C	YPL050C	
YBL036C	YBL039C	YCL050C	YDL112W	YDR035W	YDR335W	YDR341C	YDR457W	YGR204W	YHL011C	YJL200C	YKL067W	YLL018C	YLR355C	YPL220W	
YBL036C	YBL039C	YBL076C	YBR058C	YCL050C	YDL100C	YDL112W	YDR335W	YDR457W	YGR204W	YHL011C	YJL052W	YKL029C	YKL067W	YKL181W	
YBL090W	YDR175C	YDR337W	YDR347W	YER091C	YGL129C	YGR061C	YGR084C	YGR165W	YKL003C	YKL155C	YMR158W	YNL186W	YNL271C	YPL013C	
YBL103C	YBR245C	YBR289W	YDL002C	YDL167C	YDR224C	YFL013C	YFR013W	YGL013C	YGL133W	YHL025W	YKR001C	YLR052W	YMR072W	YPL016W	
YBR127C	YDL213C	YDR202C	YDR516C	YEL013W	YEL051W	YGR020C	YJR033C	YKL080W	YKL119C	YLR447C	YMR054W	YNR050C	YOR270C	YOR332W	
YBL039C	YBL041W	YBR017C	YDL007W	YDR394W	YFR010W	YGL048C	YGR135W	YGR232W	YHL030W	YHR200W	YLR421C	YOL087C	YOR117W	YPR103W	
YBL039C	YBL041W	YBR017C	YER012W	YGL011C	YGR135W	YGR232W	YHL030W	YHR200W	YJL001W	YKL210W	YML092C	YMR314W	YOL038W	YOR362C	
YAL043C	YDR195W	YDR228C	YER133W	YGR156W	YHR216W	YKL059C	YKR002W	YLR115W	YMR061W	YMR311C	YNL222W	YNL317W	YOR179C	YPR107C	
YBL039C	YBL041W	YDL147W	YER012W	YER094C	YFR050C	YFR052W	YGR135W	YGR232W	YHR200W	YML092C	YMR314W	YOL038W	YOR261C	YPR108W	
YAL043C	YDR195W	YDR228C	YDR301W	YGL044C	YGR156W	YHL033C	YJR093C	YKL018W	YLR115W	YLR277C	YLR448W	YMR061W	YOR179C	YPR074C	
YBR130C	YBR177C	YBR202W	YDL019C	YER071C	YGL001C	YIL034C	YIR003W	YJR140C	YKL007W	YKL130C	YLR429W	YMR109W	YOR284W	YPL153C	
YBL039C	YBL041W	YER094C	YFR050C	YGL011C	YGR135W	YGR232W	YHR200W	YKL210W	YLR035C	YML092C	YMR314W	YOL038W	YOR261C	YOR362C	
YBL039C	YBR017C	YDL007W	YDL147W	YER012W	YER021W	YFR010W	YFR052W	YGR135W	YGR232W	YHL030W	YHR200W	YLR421C	YOL087C	YOR259C	
YBR214W	YBR225W	YDL047W	YDL219W	YER072W	YER155C	YFR019W	YGL197W	YGR161C	YJL098W	YKL117W	YKR028W	YLR310C	YOR267C	YPL049C	
YBL099W	YBR039W	YDL075W	YDL134C	YDR382W	YEL013W	YGR161C	YGR281W	YLR075W	YLR221C	YMR273C	YOR014W	YOR234C	YOR270C	YPR043W	
YBR119W	YDL087C	YDR235W	YDR240C	YER029C	YER172C	YGR013W	YGR074W	YIL061C	YKL012W	YLR147C	YLR298C	YML046W	YMR125W	YPL178W	
YBR214W	YBR225W	YDL047W	YDL219W	YER072W	YFR019W	YFR040W	YGL056C	YGL197W	YGR161C	YJL098W	YKL117W	YKR028W	YOR267C	YPL049C	
YBL103C	YBR245C	YDR303C	YDR397C	YFR013W	YGR017W	YGR056W	YKR001C	YMR072W	YMR091C	YOL006C	YOL067C	YOL072W	YPL082C	YPR034W	
YBR272C	YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YMR176W	YNL001W	YOL054W	YPL001W	YPL058C	
YBL090W	YBR251W	YDR175C	YDR347W	YGL129C	YGR061C	YGR084C	YGR165W	YKL003C	YMR158W	YMR188C	YNL271C	YNR036C	YOR158W	YPL013C	
YBL090W	YBR251W	YDR175C	YDR347W	YGL129C	YGR061C	YGR084C	YGR165W	YKL003C	YKL155C	YMR158W	YMR188C	YNR036C	YOR158W	YPL013C	
YBR272C	YDL058W	YDL070W	YDR300C	YFR006W	YGR170W	YJR109C	YJR132W	YLL022C	YLR325C	YMR176W	YNL030W	YOL054W	YOR303W	YPL001W	
YBL027W	YBR208C	YBR221C	YDR069C	YER178W	YFL018C	YFL034W	YGL147C	YGR193C	YHL019C	YKL135C	YLR170C	YPL259C	YPR029C	YPR152C	
YAR014C	YBR125C	YCR073W-A	YDR028C	YDR186C	YDR422C	YDR477W	YER027C	YER129W	YGL115W	YGL208W	YGR152C	YLR028C	YLR258W	YLR389C	
YBR272C	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGR170W	YJR132W	YLL022C	YLR325C	YMR176W	YNL001W	YOL054W	YOR303W	YPL058C	
YAR014C	YBR125C	YCR073W-A	YDR028C	YDR422C	YDR477W	YER027C	YER070W	YER129W	YGL115W	YGL208W	YGR152C	YMR261C	YNL076W	YPR035W	
YBR272C	YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YMR176W	YNL001W	YOL054W	YOR303W	YPL058C	
YBL090W	YBR251W	YDR175C	YER091C	YGL129C	YGL180W	YGR061C	YGR084C	YGR165W	YKL155C	YMR158W	YMR188C	YNL271C	YNR036C	YOR158W	
YBR272C	YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YJR132W	YJR138W	YLR325C	YMR176W	YNL001W	YNL030W	YOL054W	YOR303W	YPL001W	
YBR205W	YCL050C	YDL112W	YDR335W	YDR457W	YGL238W	YGR026W	YGR204W	YHL011C	YJL052W	YKL067W	YLL040C	YML072C	YPL218W	YPL220W	
YBL026W	YCR077C	YDL098C	YDL160C	YDR037W	YER112W	YER146W	YER172C	YGL173C	YGR091W	YJL124C	YLR438C-A	YOR308C	YPR082C	YPR178W	
YBR127C	YDL185W	YDR202C	YDR516C	YEL013W	YEL051W	YGR020C	YIL128W	YJL012C	YJR033C	YKL080W	YLR447C	YOR270C	YOR332W	YPR036W	
YBL026W	YBR055C	YBR065C	YCR063W	YDL098C	YDR378C	YER172C	YHR156C	YHR165C	YLR147C	YLR424W	YML049C	YMR288W	YOR308C	YPR082C	
YBL076C	YBR058C	YBR121C	YCL050C	YDL112W	YDR035W	YDR335W	YDR341C	YFL026W	YGL238W	YGR204W	YHR128W	YJL200C	YLL018C	YLR355C	
YBR048W	YBR247C	YDL060W	YGR054W	YGR081C	YKL143W	YKR057W	YLR264W	YML026C	YNL096C	YNL207W	YOR056C	YOR145C	YPL204W	YPL266W	
YBL039C	YBR236C	YDL140C	YDR404C	YFR009W	YGL070C	YGR005C	YGR186W	YIL021W	YJL140W	YML010W	YOL005C	YOR151C	YPR093C	YPR187W	
YAR007C	YBR114W	YCR092C	YDL156W	YDL225W	YDR097C	YHR164C	YIR002C	YJL173C	YML032C	YMR234W	YNL312W	YOL090W	YPL154C	YPR065W	
YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YJR132W	YLL022C	YLR325C	YMR176W	YNL030W	YOL054W	YOR303W	YPL001W	
YBR152W	YCR077C	YDL030W	YDL160C	YER029C	YER112W	YGL173C	YGR074W	YJL124C	YKL173W	YLR275W	YML049C	YNL286W	YOR308C	YPR178W	
YAR007C	YBR114W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YHR164C	YIR002C	YJL173C	YML032C	YNL312W	YOL090W	YPL154C	YPR065W	
YAR007C	YBR114W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YHR164C	YIR002C	YJL173C	YML032C	YMR234W	YNL312W	YOL090W	YPR065W	
YBL030C	YDR141C	YDR434W	YGL238W	YGR192C	YHL003C	YHR188C	YKL008C	YKL039W	YKL092C	YKR066C	YLR044C	YLR088W	YNL297C	YOR153W	
YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGR170W	YJR132W	YLL022C	YLR325C	YMR176W	YNL030W	YOL054W	YPL001W	
YBL032W	YBR208C	YBR221C	YDR069C	YDR430C	YER178W	YFL034W	YGR178C	YGR193C	YHL019C	YKL135C	YLR170C	YPL259C	YPR029C	YPR152C	
YBR127C	YDL185W	YDR267C	YEL013W	YEL051W	YER171W	YGR020C	YIL128W	YJL012C	YKL080W	YLR447C	YNL240C	YOR270C	YOR332W	YPR036W	
YBR127C	YDL185W	YDR267C	YEL051W	YER171W	YGR020C	YHR122W	YIL128W	YJL012C	YKL080W	YNL240C	YOL097C	YOR270C	YOR332W	YPR036W	
YBR263W	YDL082W	YDR471W	YFR031C-A	YGL031C	YGR085C	YGR204W	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YOR048C	YPL009C	YPL249C-A	
YBR263W	YDL082W	YDR471W	YFR031C-A	YGL031C	YGR085C	YGR204W	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YNL301C	YPL009C	YPL249C-A	
YBL090W	YBR251W	YDR337W	YER091C	YGR165W	YGR215W	YKL003C	YMR158W	YMR188C	YNR036C	YNR037C	YOL115W	YOR158W	YOR243C	YPL013C	
YBL103C	YBR245C	YCR052W	YDR225W	YDR303C	YFR037C	YGL133W	YGR275W	YKR008W	YLR357W	YMR072W	YMR091C	YOL067C	YPL082C	YPR034W	
YBR152W	YCR077C	YDL030W	YDL160C	YDR473C	YER029C	YER112W	YER146W	YGL173C	YGR074W	YJL124C	YML049C	YNL286W	YOR308C	YPR178W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YDR448W	YGL013C	YGL066W	YLR055C	YMR080C	YMR223W	YNL272C	YOL148C	YPL011C	YPL254W	
YDL058W	YDL070W	YDL167C	YDR300C	YFR006W	YGL131C	YGR170W	YIR001C	YJR132W	YJR138W	YLR325C	YMR176W	YNL016W	YOL054W	YPL001W	
YER103W	YGL019W	YGL244W	YIL035C	YIL084C	YKL072W	YLR407W	YLR418C	YML069W	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	
YBR114W	YBR136W	YDL156W	YDL225W	YDR097C	YDR295C	YDR499W	YIR002C	YLR386W	YML032C	YNL021W	YOL090W	YOR323C	YPR065W	YPR179C	
YAL026C	YAL053W	YBR205W	YDR406W	YGL234W	YHL003C	YKL008C	YKL039W	YKL092C	YLR044C	YML029W	YML072C	YOL013C	YOR153W	YPL220W	
YBR114W	YBR136W	YCR092C	YDL156W	YDR097C	YDR295C	YDR499W	YHR164C	YIR002C	YLR386W	YML032C	YNL021W	YOL090W	YOR323C	YPR065W	
YBR079C	YDR091C	YDR429C	YJL168C	YLR192C	YLR264W	YLR359W	YMR146C	YMR309C	YNL096C	YNL244C	YOR293W	YOR361C	YPL001W	YPR041W	
YBR119W	YCL037C	YDL087C	YDL175C	YDR235W	YDR240C	YGL049C	YHR086W	YIL061C	YJL190C	YLR226W	YLR345W	YMR125W	YPL178W	YPR057W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YDR448W	YGL013C	YGL066W	YGR252W	YLR055C	YMR223W	YNL272C	YOL148C	YOR038C	YPL254W	
YAL032C	YBR065C	YCR063W	YDL209C	YDR364C	YDR416W	YER013W	YGR278W	YHR156C	YJR050W	YKL095W	YLL036C	YMR213W	YPL151C	YPR101W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YIL101C	YKL072W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YBR095C	YDL076C	YDR359C	YEL018W	YIL101C	YKL072W	YMR075W	YMR263W	YNL097C	YNL107W	YNL330C	YOL004W	YOR244W	YPL139C	YPR023C	
YAL024C	YBR086C	YDL075W	YDL083C	YDL134C	YDR382W	YGR161C	YGR281W	YLR221C	YML026C	YMR273C	YOR014W	YOR173W	YOR234C	YPR043W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YIL084C	YIL101C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YBR114W	YBR136W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YDR499W	YIR002C	YJL173C	YLR386W	YMR315W	YNL233W	YOL090W	YPR065W	
YAL013W	YCR084C	YDL076C	YDR207C	YEL018W	YIL084C	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YAL032C	YBR065C	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YGL128C	YGR278W	YHR156C	YJR050W	YLR117C	YML049C	YMR213W	YMR288W	
YBR119W	YCL037C	YDL051W	YDL087C	YDL175C	YGL094C	YGR162W	YHL034C	YIL061C	YJL138C	YJL190C	YKL012W	YLR226W	YML049C	YMR125W	
YAL024C	YBL099W	YDL075W	YDL083C	YDL134C	YDR298C	YDR382W	YGR161C	YGR281W	YLR221C	YML026C	YMR273C	YOR014W	YOR234C	YPR043W	
YAL029C	YBR130C	YGL106W	YGL157W	YGR180C	YIL034C	YIL070C	YJL115W	YJR140C	YKL007W	YKL130C	YLR429W	YMR109W	YOR035C	YPL153C	
YDL087C	YDL175C	YER172C	YGL049C	YGL094C	YGR013W	YGR074W	YHR086W	YIL061C	YKL012W	YML046W	YMR125W	YMR288W	YPL178W	YPR057W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YML007W	YMR223W	YNL272C	YOL148C	YPL254W	YPR070W	
YDL058W	YDL070W	YDR300C	YFR006W	YGL131C	YGR170W	YJR132W	YJR138W	YLR325C	YLR386W	YMR176W	YNL001W	YOL054W	YPL001W	YPL058C	
YBR114W	YBR136W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YDR434W	YDR499W	YHR164C	YIR002C	YML032C	YMR315W	YOL090W	YPR065W	
YBR114W	YBR136W	YCR028C-A	YCR092C	YDL156W	YDL225W	YDR097C	YDR434W	YDR499W	YHR164C	YIR002C	YML032C	YMR234W	YMR315W	YOL090W	
YAL029C	YBR130C	YBR177C	YDL019C	YER071C	YGL157W	YIL034C	YIR003W	YKL007W	YKL057C	YKL130C	YLR429W	YMR109W	YMR262W	YNL108C	
YBR119W	YCL011C	YCL037C	YDL051W	YDL087C	YDR240C	YGL049C	YGR162W	YIL061C	YJL190C	YLR147C	YLR275W	YLR345W	YML046W	YMR125W	
YDL115C	YDL140C	YDR171W	YDR390C	YDR404C	YER139C	YGL070C	YGR063C	YGR186W	YHL021C	YJL140W	YOL005C	YOR151C	YPR093C	YPR180W	
YAL024C	YDL075W	YDL083C	YDL134C	YDR382W	YGR161C	YGR281W	YLR221C	YML026C	YML109W	YMR273C	YOR014W	YOR234C	YPR025C	YPR043W	
YDL115C	YDL140C	YDR171W	YDR404C	YER139C	YGL070C	YGR063C	YGR186W	YHL021C	YJL140W	YML010W	YOL005C	YOR151C	YPR093C	YPR180W	
YAL036C	YBL022C	YBR084W	YDR418W	YGR162W	YGR285C	YHR010W	YHR064C	YJL080C	YJR145C	YKR057W	YLR406C	YLR448W	YOR096W	YPR189W	
YAL036C	YBL022C	YBR084W	YDL051W	YDR418W	YGR162W	YGR285C	YHR010W	YHR064C	YJL080C	YJR145C	YKR057W	YLR406C	YOR096W	YPR189W	
YAL036C	YBL022C	YBR084W	YDL051W	YDR418W	YGR162W	YGR285C	YHR010W	YHR064C	YJL080C	YJR145C	YKR057W	YLR406C	YMR230W	YPR189W	
YBR114W	YBR136W	YCR092C	YDL156W	YDL225W	YDR097C	YDR295C	YIR002C	YML032C	YNL021W	YOL090W	YOR323C	YPL083C	YPR065W	YPR179C	
YAL013W	YBR095C	YDR207C	YDR359C	YEL018W	YIL101C	YKL072W	YMR075W	YMR263W	YNL097C	YNL107W	YNL330C	YOL004W	YPL139C	YPR023C	
YAL029C	YBR130C	YBR177C	YBR202W	YER071C	YGL001C	YIL034C	YIR003W	YJR140C	YKL007W	YKL130C	YLR429W	YMR109W	YOR284W	YPL153C	
YBR119W	YCL037C	YDR235W	YDR240C	YFL017W-A	YGL049C	YHR086W	YLR147C	YLR226W	YLR345W	YML046W	YMR125W	YPL178W	YPR057W	YPR161C	
YBR079C	YBR086C	YDR091C	YDR429C	YJL168C	YLR192C	YLR264W	YLR359W	YMR146C	YMR309C	YNL096C	YNL244C	YOR293W	YOR361C	YPR041W	
YBR119W	YCL037C	YDR235W	YDR240C	YDR473C	YGL049C	YHR086W	YLR147C	YLR345W	YML046W	YMR125W	YMR240C	YMR288W	YPL178W	YPL213W	
YAL029C	YBR130C	YBR202W	YER071C	YGL001C	YGL157W	YHL003C	YIL034C	YIR003W	YKL007W	YLR429W	YMR109W	YOR153W	YOR284W	YPL153C	
YDL075W	YDL083C	YDL195W	YDR382W	YDR460W	YGR281W	YLR221C	YML026C	YMR230W	YNL104C	YNL224C	YOR108W	YOR234C	YPR025C	YPR043W	
YAL024C	YCR033W	YDL134C	YDL188C	YDR155C	YGL194C	YGR178C	YGR281W	YIL112W	YKR029C	YLR075W	YMR273C	YOR014W	YOR349W	YPR040W	
YBR114W	YBR136W	YCR092C	YDL156W	YDL225W	YDR097C	YDR295C	YHR164C	YIR002C	YLR386W	YML032C	YNL021W	YOL090W	YPR065W	YPR179C	
YDL098C	YDR378C	YER172C	YGL128C	YGR075C	YGR091W	YGR278W	YHR156C	YHR165C	YJL124C	YLR424W	YNL147W	YOR308C	YPR082C	YPR178W	
YBR084W	YDL082W	YDR418W	YFR031C-A	YGL031C	YGR085C	YHR010W	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YNL301C	YPL009C	YPL249C-A	
YBR114W	YCR092C	YDL156W	YDR097C	YDR295C	YHR164C	YIR002C	YML032C	YMR315W	YNL021W	YNL312W	YOL090W	YOR323C	YPR065W	YPR179C	
YAL029C	YBR130C	YER071C	YGL106W	YGL157W	YIL034C	YIR003W	YKL007W	YKL130C	YLR429W	YML056C	YMR109W	YOR035C	YOR284W	YPL153C	
YAL035W	YBR079C	YDR091C	YDR429C	YHL033C	YLR192C	YLR359W	YMR146C	YMR309C	YNL096C	YNL244C	YOR293W	YOR361C	YPL001W	YPR041W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YIL084C	YIL101C	YKL072W	YMR075W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YDL150W	YDR005C	YDR045C	YJL011C	YKL144C	YKR025W	YNL113W	YNL151C	YNR003C	YOR116C	YOR207C	YOR224C	YPR110C	YPR187W	YPR190C	
YAL029C	YDL002C	YDR129C	YFL013C	YFL024C	YFL039C	YHR023W	YLR454W	YMR299C	YNL059C	YNL107W	YNL218W	YOR141C	YOR244W	YPL053C	
YBR095C	YCR084C	YDL076C	YEL018W	YFR013W	YHL020C	YIL084C	YKL072W	YLR103C	YMR263W	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YAL026C	YAL053W	YDR141C	YDR406W	YGL234W	YHL003C	YKL008C	YKL039W	YKL092C	YLR044C	YML029W	YML072C	YOL013C	YOR153W	YPL220W	
YAL032C	YBL104C	YBR065C	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YGL128C	YGR278W	YHR156C	YJR050W	YKR022C	YLR117C	YMR213W	
YBR095C	YCR084C	YDL076C	YDR207C	YEL018W	YIL084C	YKL072W	YLR103C	YMR075W	YMR263W	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YAL026C	YAL053W	YDR406W	YGL234W	YHL003C	YKL008C	YKL039W	YKL092C	YKR066C	YLR044C	YML029W	YML072C	YOL013C	YOR153W	YPL220W	
YBR119W	YCL037C	YDL087C	YDR240C	YDR473C	YGL049C	YGL128C	YGR074W	YIL061C	YKL173W	YKR022C	YLR147C	YLR275W	YLR345W	YMR125W	
YBR114W	YBR136W	YCR092C	YDL156W	YDR097C	YDR295C	YHR164C	YIR002C	YLR386W	YML032C	YNL021W	YOL090W	YOR323C	YPR065W	YPR179C	
YAL013W	YBR095C	YDL076C	YDR207C	YFR013W	YIL084C	YIL101C	YKL072W	YMR075W	YMR263W	YNL097C	YOL004W	YPL139C	YPL181W	YPR023C	
YER164W	YGL019W	YGL244W	YHL020C	YIL035C	YKL072W	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YPL181W	
YAL032C	YBL104C	YBR065C	YBR152W	YCR063W	YDR416W	YER013W	YGL128C	YHR156C	YHR165C	YJL203W	YJR050W	YML049C	YNL286W	YPR178W	
YDL058W	YDR300C	YEL056W	YFR006W	YGR170W	YJR132W	YLL022C	YLR325C	YLR386W	YMR176W	YNL001W	YOL054W	YPL001W	YPL058C	YPL083C	
YAL013W	YCR084C	YDL076C	YEL018W	YIL084C	YKL072W	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YDL075W	YDR204W	YDR382W	YDR460W	YKL101W	YKR060W	YLR270W	YLR333C	YML026C	YMR143W	YNR043W	YOR078W	YOR173W	YOR234C	YPR043W	
YAL013W	YCR084C	YDL076C	YDR207C	YIL084C	YKL072W	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YBR095C	YCR084C	YDL076C	YDR207C	YFR013W	YIL031W	YIL084C	YKL072W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	
YBR081C	YCL010C	YDR167W	YDR392W	YDR448W	YGL066W	YGR252W	YHR099W	YLR055C	YML007W	YML015C	YMR223W	YMR236W	YOL148C	YPL254W	
YAL032C	YBL074C	YBL104C	YBR065C	YCR063W	YDL209C	YER013W	YGL100W	YGL128C	YGR278W	YHR165C	YJR050W	YMR213W	YPL151C	YPR101W	
YAL032C	YBL074C	YBL104C	YBR065C	YCR063W	YDL209C	YER013W	YGL100W	YGL128C	YGR278W	YIR009W	YJR050W	YMR213W	YPL151C	YPR101W	
YAL032C	YBL074C	YBL104C	YBR065C	YCR063W	YER013W	YGL100W	YGL128C	YIR009W	YJR050W	YJR084W	YMR213W	YOR319W	YOR349W	YPR101W	
YAL032C	YBL074C	YBR065C	YBR152W	YCR063W	YER013W	YER172C	YGL128C	YHR156C	YJR050W	YLR117C	YLR424W	YMR213W	YMR288W	YPR082C	
YAL013W	YBR095C	YDL076C	YDR207C	YEL018W	YIL084C	YIL101C	YKL072W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YAL013W	YBR095C	YDL076C	YDR207C	YEL018W	YIL084C	YKL072W	YLR103C	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YBR114W	YBR136W	YCR002C	YCR092C	YDL156W	YDL225W	YDR097C	YDR499W	YIR002C	YJL060W	YJR092W	YKL085W	YLR314C	YML032C	YNL233W	
YAL013W	YBR095C	YCR084C	YDL076C	YEL018W	YIL084C	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YAL013W	YBR095C	YCR084C	YDL076C	YEL018W	YKL072W	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	YPR023C	
YAL013W	YBR095C	YCR084C	YDL076C	YFR013W	YIL031W	YKL072W	YMR072W	YMR075W	YNL097C	YNL330C	YOL004W	YOL067C	YPL139C	YPL181W	
YBR114W	YCR002C	YCR092C	YDL156W	YDL225W	YDR097C	YDR499W	YIR002C	YJL060W	YJR076C	YJR092W	YKL085W	YLR314C	YML032C	YNL233W	
YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YMR176W	YNL001W	YOL054W	YOR303W	YPL001W	YPL058C	
YAL034W-A	YBR069C	YBR107C	YDR254W	YDR318W	YDR383C	YGR179C	YIR010W	YJR112W	YJR135C	YLR381W	YNL064C	YPL018W	YPL233W	YPR046W	
YBR114W	YBR136W	YCR092C	YDL156W	YDL225W	YDR097C	YDR295C	YDR499W	YLR386W	YML032C	YNL021W	YOL090W	YOR323C	YPR065W	YPR179C	
YDL185W	YDL213C	YDR202C	YDR516C	YEL051W	YGR020C	YIL128W	YJR033C	YKL080W	YKL119C	YLR447C	YMR054W	YMR315W	YOR332W	YPR036W	
YAL013W	YBR095C	YCR084C	YDR207C	YEL018W	YHL020C	YIL084C	YKL072W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	
YDL070W	YDR300C	YEL056W	YFR006W	YGR170W	YGR194C	YJR132W	YLL022C	YMR176W	YNL001W	YNL030W	YNL265C	YOL054W	YOR303W	YPL001W	
YBR114W	YBR136W	YCR092C	YDL156W	YDR097C	YDR499W	YHR146W	YIR002C	YLR142W	YLR386W	YMR196W	YMR315W	YOL090W	YPL154C	YPR065W	
YAL029C	YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGR252W	YLR055C	YML007W	YMR223W	YNL272C	YOL148C	YPL254W	
YAL013W	YBR095C	YCR084C	YDR207C	YEL018W	YIL084C	YIL101C	YKL072W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPR023C	
YDL070W	YDR300C	YEL056W	YFR006W	YGL190C	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YMR176W	YNL001W	YOL054W	YPL001W	YPL058C	
YAL013W	YBR095C	YCR084C	YDR207C	YEL018W	YIL084C	YIL101C	YLR103C	YMR075W	YMR263W	YNL097C	YNL330C	YPL139C	YPL181W	YPR023C	
YBR081C	YCL010C	YDR448W	YFR019W	YGL066W	YGL112C	YGR252W	YLR055C	YML007W	YML015C	YMR223W	YOL135C	YOL148C	YPL254W	YPR070W	
YBR114W	YBR136W	YCR092C	YDL156W	YDL225W	YDR097C	YDR295C	YDR499W	YIR002C	YLR386W	YML032C	YNL021W	YOL090W	YPR065W	YPR179C	
YBR119W	YCL037C	YDL087C	YDR235W	YGR013W	YGR162W	YIL061C	YJL190C	YKL204W	YML046W	YMR125W	YNL262W	YOL139C	YOR276W	YPL178W	
YBR114W	YBR136W	YCR092C	YDL156W	YDR097C	YDR295C	YDR499W	YIR002C	YLR386W	YMR315W	YNL021W	YOL090W	YOR323C	YPR065W	YPR179C	
YAL026C	YAL053W	YDL215C	YDR406W	YGL234W	YHL003C	YKL008C	YKL039W	YKL092C	YKL142W	YLR044C	YML029W	YML072C	YOL013C	YOR153W	
YDL082W	YDR471W	YER086W	YFR031C-A	YGL031C	YGR085C	YGR204W	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YNL301C	YPL009C	YPL249C-A	
YAL032C	YBL104C	YBR065C	YCR063W	YDL209C	YDR364C	YDR416W	YGL128C	YGR278W	YHR156C	YJR050W	YLR117C	YML049C	YMR213W	YMR288W	
YAL013W	YCR084C	YDR207C	YEL018W	YHL020C	YIL035C	YIL084C	YKL072W	YLR103C	YMR075W	YMR263W	YNL330C	YOL004W	YPL139C	YPL181W	
YDL075W	YDL083C	YDL195W	YDR382W	YDR460W	YGR281W	YLR221C	YML026C	YMR143W	YMR194W	YNL104C	YOR108W	YOR234C	YPR025C	YPR043W	
YDL175C	YDR235W	YFL017W-A	YGL094C	YHR086W	YJL080C	YJR145C	YKL012W	YLR226W	YLR430W	YMR125W	YPL178W	YPL190C	YPR057W	YPR161C	
