YAL040C	YCL030C	YDL029W	YDL047W	YDR018C	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR042W	YKR072C	YLL024C	YOR188W	
YAL040C	YBR234C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YPL234C	
YBL084C	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YNL172W	
YBL084C	YDL008W	YDR118W	YDR260C	YER179W	YFR036W	YGL240W	YHR166C	YIR025W	YLR102C	YLR127C	YLR451W	YOR249C	
YGR082W	YGR193C	YLR157C	YLR199C	YMR060C	YMR203W	YMR263W	YNL018C	YNL070W	YNL121C	YNL131W	YNL330C	YPR133W-A	
YBR130C	YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YNL293W	YOL112W	YOR084W	YPL066W	
YAL040C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YMR028W	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	
YBR130C	YCR002C	YDL225W	YDR507C	YER040W	YER118C	YHR107C	YJR076C	YLR096W	YLR314C	YNL139C	YOR084W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YGL229C	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YOL145C	
YBR254C	YCL058C	YDL058W	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YJR116W	YML077W	YOR115C	
YBL084C	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR127C	YLR451W	YNL172W	YOR249C	
YBL025W	YBR254C	YDR108W	YDR407C	YGL219C	YGR166W	YGR234W	YJR116W	YMR218C	YOR115C	YOR312C	
YBL025W	YBR093C	YCL058C	YDR246W	YFL005W	YGL219C	YGR166W	YKR068C	YML077W	YNL287W	YOR115C	
YBL025W	YBR254C	YCL058C	YDR472W	YEL036C	YGR166W	YKL139W	YML077W	YMR218C	YOR115C	YOR197W	
YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YOR084W	YOR156C	YPL066W	
YBL084C	YDR118W	YER161C	YFR036W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YNL172W	YOR249C	
YDL008W	YDR118W	YDR260C	YFR036W	YGL240W	YIR025W	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YAL005C	YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YLL024C	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR451W	
YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YBL084C	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR127C	YNL172W	YOR249C	
YBR270C	YGR058W	YHR077C	YIL105C	YJL162C	YLR433C	YML057W	YMR068W	YNL047C	YPL059W	
YBL084C	YDL008W	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	
YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	
YDL008W	YFR036W	YGL240W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YBL084C	YDR118W	YFR036W	YGL240W	YHR118C	YKL022C	YLL051C	YLR102C	YLR127C	YNL172W	
YBR172C	YCR067C	YIL004C	YIL109C	YKL074C	YLR026C	YLR268W	YOR075W	YPL085W	YPR181C	
YDL235C	YDR497C	YGL158W	YIL147C	YJL128C	YLR006C	YLR113W	YNR031C	YOR208W	YPL180W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKL092C	YKR072C	YLL024C	YMR028W	
YDR293C	YDR497C	YER067W	YGL158W	YHR186C	YJR066W	YLR113W	YNL006W	YOL078W	YPL180W	
YBL025W	YCL058C	YDR108W	YDR189W	YDR246W	YGL219C	YGR166W	YGR234W	YKR068C	YOR115C	
YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	YOL145C	
YCR087C-A	YCR087W	YHL003C	YHR184W	YJR131W	YKL008C	YLR070C	YML064C	YMR298W	YNL107W	
YAL040C	YFL009W	YGR092W	YKL092C	YLL024C	YLR079W	YLR127C	YMR199W	YPL256C	YPR120C	
YBL084C	YDR118W	YDR260C	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YMR092C	YOR249C	
YAL021C	YAR007C	YBR173C	YDL042C	YDR227W	YJL076W	YJL173C	YLR442C	YML032C	YNL312W	
YBL025W	YCL058C	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YML077W	YOR115C	
YAL043C	YBR205W	YDR390C	YJR093C	YKR002W	YLR115W	YMR061W	YMR182C	YNL317W	YPR107C	
YDL008W	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR102C	YLR451W	YMR092C	YNL172W	
YBL016W	YDL159W	YDR480W	YEL048C	YGL178W	YGR040W	YHR084W	YIL136W	YPL049C	
YDL008W	YDR260C	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR451W	YOR249C	
YAL014C	YAL030W	YBL050W	YBR080C	YDR468C	YGR009C	YJR063W	YLR093C	YPL232W	
YDL088C	YER026C	YJL057C	YML031W	YMR129W	YMR153W	YMR298W	YNL234W	YOR028C	
YBR047W	YDL235C	YER118C	YGL158W	YJL128C	YLR096W	YLR113W	YNL139C	YNR031C	
YDR100W	YDR425W	YGL161C	YGL198W	YGR172C	YGR177C	YHR105W	YMR215W	YPL095C	
YBR172C	YGL200C	YHR098C	YLR057W	YLR268W	YML012W	YNL049C	YPL218W	YPR181C	
YBR103W	YDR390C	YGL023C	YJR093C	YKR002W	YLR115W	YMR061W	YOL123W	YPR107C	
YDR006C	YER014C-A	YGR036C	YKL093W	YKL190W	YKL212W	YMR081C	YOR239W	YOR332W	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YIR040C	
YBR172C	YDL188C	YDR075W	YDR498C	YIL109C	YLR268W	YOR075W	YOR380W	YPR040W	
YDL088C	YFR002W	YGL172W	YGR120C	YJL039C	YJL057C	YMR153W	YNL234W	YOR353C	
YGL019W	YGR068C	YIL035C	YIL118W	YLR114C	YNL088W	YOR010C	YOR039W	YOR061W	
YCR002C	YDL225W	YDR085C	YDR507C	YHR107C	YLL021W	YLR314C	YNL233W	YPL066W	
YBR193C	YDL005C	YDL154W	YGL025C	YIL021W	YNR010W	YOL005C	YOL135C	YOR174W	
YDL029W	YDR018C	YDR063W	YIL062C	YJR065C	YKL013C	YKR042W	YLR370C	YNR035C	
YAL023C	YDL095W	YER014C-A	YJR143C	YKL080W	YKL190W	YMR211W	YOR002W	YOR321W	
YAL023C	YDL095W	YER014C-A	YGR036C	YJR143C	YKL190W	YKL212W	YOR321W	YOR332W	
YDL088C	YFR002W	YJL039C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YNL234W	
YBR050C	YCL046W	YDR028C	YDR477W	YER027C	YER040W	YGL115W	YGL208W	YML110C	
YBL068W	YDR285W	YER099C	YGR135W	YHL011C	YKL181W	YNL036W	YOL061W	YOL069W	
YAL043C	YDR301W	YDR392W	YJR093C	YKR002W	YMR182C	YNL317W	YOR194C	YPR107C	
YBL025W	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YMR218C	YOR115C	
YBL084C	YDR118W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR451W	YNL172W	
YAL001C	YBR172C	YDR498C	YER148W	YGL241W	YGR246C	YKL074C	YLR268W	YOR075W	
YER045C	YGR213C	YGR247W	YMR195W	YMR308C	YOR059C	
YBR250W	YFL020C	YGR072W	YKL149C	YLR054C	YML038C	
YDR390C	YKR002W	YLR115W	YMR061W	YNL317W	YPR107C	
YBR079C	YMR146C	YMR309C	YNL243W	YOR361C	YPR041W	
YBR082C	YDR059C	YDR177W	YEL012W	YER100W	YMR022W	
YDL042C	YDR006C	YDR227W	YER151C	YLR442C	YNL216W	
YBR059C	YDL044C	YER144C	YGR056W	YGR199W	YML014W	
YMR146C	YMR309C	YNL047C	YOR284W	YOR361C	YPR041W	
YBR057C	YCL055W	YGL036W	YGL192W	YMR147W	YNL196C	
YBR038W	YDL081C	YGR209C	YOR229W	YPL005W	YPL020C	
YGL226C-A	YGR227W	YOR002W	YOR067C	YOR085W	YPL227C	
YHL036W	YIR022W	YJR010C-A	YML055W	YPR106W	YPR163C	
YBR108W	YGR058W	YGR136W	YIL108W	YOR032C	YPL111W	
YBR083W	YBR223C	YDR510W	YKL043W	YMR211W	YPR104C	
YGR191W	YHR098C	YNL049C	YPL085W	YPL218W	YPR181C	
YBR038W	YCL022C	YGR209C	YHR123W	YPL020C	YPR106W	
YBR103W	YDL042C	YDR227W	YGL023C	YMR106C	YMR284W	
YDL180W	YDL186W	YER188W	YJL167W	YLR417W	YLR452C	
YDR527W	YIL092W	YLR080W	YNL266W	YNR040W	YOL131W	
YAR018C	YBL081W	YDR123C	YKL017C	YOL108C	YOR167C	
YBR034C	YDR432W	YGR165W	YJR042W	YNL004W	YOR160W	
YAL047C	YDL087C	YJL074C	YJL113W	YJL114W	YLR086W	
YDL226C	YER123W	YKR088C	YML008C	YPR113W	YPR183W	
YEL013W	YGR174C	YHR195W	YKL061W	YNL299W	YOL115W	
YBR141C	YDL224C	YER059W	YER156C	YOR035C	YPL200W	
YDL164C	YFL009W	YGL207W	YJL194W	YLR079W	YML069W	
YDL074C	YFR031C	YIL079C	YNL039W	YNL299W	YOL115W	
YBR017C	YDR505C	YGL122C	YMR061W	YNL317W	YOL123W	
YFL021W	YGL011C	YJR001W	YJR082C	YLR068W	YOR354C	
YAL058W	YKL197C	YLR057W	YNL329C	YNR036C	YOR236W	
YBR135W	YBR252W	YDR459C	YER102W	YFL017C	YOL059W	
YDL005C	YDR308C	YGL025C	YIL021W	YOL135C	YOR174W	
YAL009W	YBL079W	YER105C	YML103C	YML107C	YMR129W	
YBL089W	YDR191W	YLR325C	YLR403W	YOR025W	YOR082C	
YGL097W	YGR162W	YJL138C	YKR059W	YOR204W	YOR364W	
YHL006C	YIL132C	YKR034W	YLR046C	YLR376C	YNL021W	
YER031C	YGL210W	YKR030W	YNL146W	YPL192C	YPR017C	
YBL021C	YGL230C	YGL237C	YGR236C	YKL109W	YOR358W	
YGL096W	YGL244W	YGR056W	YLR090W	YMR240C	YOR319W	
YAL036C	YDL065C	YDR292C	YDR329C	YGR242W	YMR163C	
YDR364C	YDR416W	YGR129W	YJR050W	YKL095W	YMR213W	
YFR036W	YGL240W	YLL051C	YLR102C	YNL172W	YNL176C	
YGR010W	YHL025W	YLR236C	YLR328W	YLR438W	YML031W	
YGR016W	YGR033C	YGR063C	YLR135W	YML095C	YPL022W	
YGL075C	YGL093W	YGR089W	YHL010C	YJR112W	YLR086W	
YAL047C	YJL113W	YJL114W	YLR429W	YNL094W	YPL032C	
YAR008W	YBL051C	YDR140W	YIL151C	YKR096W	YLR121C	
YDR351W	YHR103W	YLR157C	YNL070W	YOR284W	YPR133W-A	
YBR203W	YHL031C	YKL006C-A	YKL179C	YKL196C	YMR197C	
YBR119W	YHR015W	YJR042W	YKL028W	YNL277W	YPL169C	
YBL095W	YBR162C	YGR249W	YOL028C	YOL063C	YPR155C	
YBR091C	YDL217C	YHR005C-A	YJL054W	YMR056C	YOR297C	
YDR394W	YGR232W	YIL007C	YIL097W	YOR117W	YOR259C	
YBR205W	YDR301W	YKR002W	YMR061W	YNL317W	YPR107C	
YDR100W	YDR425W	YGL161C	YGL198W	YHR105W	YPL095C	
YGL022W	YGL226C-A	YGR227W	YMR149W	YOR067C	YPL227C	
YDL001W	YDL133W	YDR207C	YJR094C	YLR457C	YMR079W	
YBR019C	YER045C	YHL019C	YKL135C	YMR308C	YPL133C	
YBL100W-A	YFL010C	YJL162C	YNL047C	YOL106W	YPL059W	
YDR293C	YER067W	YJR066W	YKL203C	YPL180W	YPL268W	
YBR194W	YHR152W	YJR148W	YOR173W	YOR252W	YPR152C	
YAL021C	YAR007C	YDL042C	YJL173C	YML032C	YNL312W	
YBR047W	YDL235C	YJL128C	YLR006C	YNR031C	YOR208W	
YDR326C	YFL010C	YIL105C	YJL162C	YNL047C	YPL059W	
YGL019W	YGR068C	YIL035C	YJR131W	YOR039W	YOR061W	
YBL081W	YBR212W	YDL167C	YKL017C	YLR135W	YOR167C	
YDR001C	YER186C	YKR026C	YLR081W	YLR270W	YMR269W	
YDR469W	YEL005C	YEL013W	YGL079W	YNL086W	YPR185W	
YBR203W	YDR468C	YKL006C-A	YKL196C	YMR018W	YMR197C	
YER074W-A	YGR004W	YGR026W	YLR324W	YNL263C	YPR028W	
YGL107C	YJR070C	YKL086W	YMR269W	YNL141W	YOR309C	
YDR320C	YGR167W	YGR241C	YHR161C	YMR183C	YNL183C	
YDL137W	YDL192W	YDR182W	YGL137W	YGR130C	YNL287W	
YCR092C	YDR097C	YMR167W	YNL082W	YOL090W	YPL164C	
YBR036C	YBR265W	YDR062W	YDR270W	YNL259C	YPL231W	
YBR205W	YDR301W	YDR390C	YKR002W	YLR115W	YPR107C	
YCR028C	YHR121W	YHR178W	YMR020W	YNL252C	YPL244C	
YBR172C	YDR498C	YGL145W	YLR268W	YMR020W	YOR075W	
YBR034C	YBR185C	YDR432W	YER017C	YGR165W	YMR089C	
YBR097W	YBR288C	YDR495C	YGL095C	YGR261C	YPR173C	
YDL232W	YFL036W	YGR064W	YGR227W	YOL009C	YOR085W	
YDR070C	YHR178W	YIL072W	YLR263W	YNL252C	YOR351C	
YBL078C	YHR171W	YNL212W	YNL223W	YNR007C	YOL083W	
YER067W	YHR186C	YJR066W	YNL006W	YOL078W	YPL180W	
YBR141C	YDR372C	YER059W	YER156C	YGL091C	YJL084C	
YBR017C	YFL018C	YGL063W	YJR051W	YMR061W	YOL123W	
YDL070W	YGL063W	YGL075C	YLR080W	YLR399C	YOL131W	
YBR193C	YDL005C	YGL025C	YIL021W	YOL130W	YOR151C	
YDL051W	YDR132C	YDR395W	YIL133C	YNL078W	YOL070C	
YBL082C	YEL002C	YGL022W	YMR149W	YOR279C	YPL227C	
YDR395W	YGL105W	YGL245W	YJL041W	YKL205W	YPL212C	
YDR435C	YFL040W	YFL068W	YGR097W	YLR349W	YMR159C	
YCR052W	YFR037C	YIL126W	YJR031C	YLR321C	YMR091C	
YDR468C	YER157W	YHL031C	YKL196C	YLR026C	YMR018W	
YBL039C	YDR133C	YDR502C	YJR103W	YPL060C-A	YPL070W	
YDL215C	YER186C	YKR026C	YLR081W	YLR432W	YMR269W	
YAR014C	YBR045C	YER054C	YOL154W	YOR178C	YOR329C	
YDL180W	YER188W	YLR417W	YLR452C	YMR077C	YPL002C	
YDL217C	YDR172W	YGL177W	YHR102W	YJL054W	YOR297C	
YAL043C	YDR301W	YJR093C	YLR115W	YMR182C	YNL317W	
YEL013W	YGR174C	YHR195W	YIL079C	YNL039W	YOL115W	
YGL200C	YKL197C	YLR057W	YML012W	YNL329C	YPL218W	
YDL133W	YDR200C	YEL069C	YLR238W	YMR052W	YPR110C	
YER067W	YJR066W	YKL203C	YMR068W	YNL006W	YPL180W	
YDR293C	YJR066W	YKL203C	YNL006W	YOL078W	YPL268W	
YLR093C	YLR148W	YLR396C	YMR231W	YOR106W	YPL045W	
YDL130W	YDR367W	YDR382W	YHR065C	YLR287C	YLR340W	
YBL081W	YKL017C	YMR317W	YNL279W	YOL108C	YOR167C	
YBR109C	YDR350C	YDR356W	YFR014C	YKL042W	YNL126W	
YFL040W	YFL068W	YGR097W	YKL116C	YLR389C	YMR159C	
YBL080C	YCR106W	YJL096W	YKL191W	YNL171C	YOL075C	
YAL040C	YER167W	YJL098W	YKR028W	YKR072C	YLL024C	
YBL046W	YBR186W	YDR285W	YGL054C	YNL201C	YPR101W	
YDL054C	YDL160C	YER140W	YJR122W	YKL056C	YLR285W	
YER179W	YFL052W	YJL125C	YNL062C	YNR016C	YOR366W	
YAL043C	YDR301W	YJR093C	YKR002W	YNL317W	YPR107C	
YDR122W	YGL156W	YNL037C	YOL082W	YOR136W	YOR353C	
YDL164C	YHR121W	YHR178W	YIR027C	YJR007W	YNL252C	
YDL210W	YGL230C	YGR236C	YKL110C	YOR161C	YOR358W	
YBL075C	YLL016W	YLR310C	YNR037C	YOR101W	
YDL001W	YDL133W	YDR200C	YMR052W	YMR079W	
YGR162W	YJL138C	YKR059W	YOL139C	YOR276W	
YBR006W	YDR382W	YHR053C	YKL023W	YKR092C	
YCL004W	YDL002C	YER092W	YGL150C	YLR052W	
YAL036C	YCR038C	YDR152W	YGR250C	YNR022C	
YBR133C	YDL036C	YER087W	YJL187C	YKL101W	
YDR072C	YDR107C	YHR167W	YOL015W	YPR171W	
YDL012C	YFR047C	YHR032W	YIL172C	YOR355W	
YGR135W	YHL011C	YJR099W	YKL181W	YOL061W	
YDL195W	YHR098C	YNL049C	YPL085W	YPR181C	
YDL077C	YLR148W	YLR396C	YMR231W	YPL045W	
YDR191W	YGR017W	YLR403W	YOR025W	YOR082C	
YER179W	YFL052W	YJL125C	YLR044C	YOR366W	
YDL208W	YGL122C	YHR072W-A	YHR089C	YIL092W	
YDR088C	YGL202W	YGR074W	YKL183W	YLR440C	
YAL038W	YDR030C	YLR175W	YNL124W	YNL307C	
YAR018C	YBL081W	YDL167C	YKL017C	YOR167C	
YCL007C	YDL094C	YDL196W	YDR366C	YER071C	
YCR045C	YLR358C	YMR228W	YNL145W	YOR348C	
YBR275C	YDR464W	YMR087W	YNL135C	YNL216W	
YBL046W	YDR285W	YLR221C	YNL201C	YPR115W	
YDR433W	YDR499W	YGR144W	YML058W	YNL116W	
YDR224C	YMR309C	YOR284W	YOR361C	YPR041W	
YGR120C	YNR025C	YOR158W	YOR353C	YPR185W	
YHR136C	YLR195C	YMR246W	YNL208W	YOR285W	
YBR043C	YDR088C	YGR074W	YKL188C	YPL147W	
YCL023C	YDL089W	YML008C	YOR097C	YPR113W	
YDR394W	YGL074C	YIL097W	YOR117W	YOR259C	
YDR174W	YIL013C	YJL058C	YML015C	YML098W	
YHL027W	YHR154W	YIL131C	YJL056C	YMR035W	
YDL101C	YDR264C	YER079W	YHR135C	YNL116W	
YAR008W	YBL051C	YIL151C	YKR096W	YPL083C	
YFL040W	YFL068W	YLR390W-A	YMR159C	YPL149W	
YBR196C	YGL229C	YJL178C	YJL211C	YOR062C	
YBR055C	YDL064W	YDR028C	YHR165C	YPR082C	
YDL024C	YEL017W	YGR121C	YKL063C	YPL244C	
YBR141C	YER059W	YER156C	YJL084C	YOR035C	
YBL046W	YBR186W	YDR285W	YFL056C	YNL201C	
YCR095C	YHL029C	YNL056W	YNL099C	YNL180C	
YBR088C	YER173W	YJR068W	YNL262W	YOR217W	
YCR092C	YGR165W	YLR035C	YMR167W	YOL090W	
YBL001C	YER067W	YHR186C	YPL068C	YPL180W	
YBL106C	YGL206C	YGR167W	YHR161C	YLR170C	
YAL058W	YGR254W	YKL197C	YNR036C	YOR236W	
YDR045C	YJR093C	YLR277C	YLR437C	YNL317W	
YGL024W	YGR013W	YGR214W	YIL009W	YOL130W	
YCL059C	YGL201C	YIL150C	YKL020C	YLR233C	
YBL033C	YKR010C	YKR084C	YLR456W	YPR172W	
YBR036C	YBR265W	YCR107W	YDR270W	YLR255C	
YCR031C	YDR229W	YGL223C	YJL191W	YNL041C	
YDR100W	YGL161C	YGR172C	YGR177C	YPL095C	
YBR102C	YDR164C	YDR166C	YIL068C	YLR166C	
YER122C	YER176W	YHR148W	YJR002W	YNL075W	
YDR252W	YGR134W	YHR193C	YJR055W	YML062C	
YBL045C	YDR534C	YPR054W	YPR105C	YPR191W	
YCL007C	YDR366C	YER071C	YLR429W	YPL032C	
YBR097W	YBR288C	YDR495C	YGL095C	YLR240W	
YBR038W	YML008C	YOR097C	YPL020C	YPR113W	
YBR141C	YDL224C	YDR372C	YER059W	YGL091C	
YAL016W	YCR066W	YGL058W	YGR184C	YOL080C	
YEL069C	YLR238W	YMR029C	YMR052W	YPR110C	
YER077C	YFR015C	YJL137C	YLR258W	YMR212C	
YCL046W	YER027C	YGL115W	YGL208W	YML110C	
YDR006C	YDR227W	YDR464W	YNL135C	YNL216W	
YDL130W	YDR382W	YJR012C	YLR287C	YLR340W	
YBR141C	YDL224C	YER059W	YER156C	YLR190W	
YCL026C-A	YCR048W	YLR242C	YNR019W	YOR381W	
YBR017C	YJR011C	YLL049W	YNR068C	YNR069C	
YGL022W	YIL097W	YMR149W	YOR103C	YPL227C	
YCR023C	YDL102W	YHR118C	YJR068W	YMR075C-A	
YGL094C	YIL002C	YIR006C	YOR105W	YOR109W	
YDR482C	YGL028C	YGR162W	YKR059W	YOR276W	
YDR084C	YDR441C	YDR442W	YEL054C	YML022W	
YEL022W	YFR037C	YJR031C	YML127W	YMR091C	
YGL201C	YJL019W	YKL020C	YLR233C	YOL104C	
YCR028C	YEL017W	YKL063C	YMR020W	YPL244C	
YCR094W	YGL090W	YHR174W	YLR265C	YLR424W	
YFR016C	YGL139W	YMR246W	YNL088W	YOR010C	
YAL004W	YHR149C	YLR448W	YML109W	YMR273C	
YGR058W	YML008C	YOR097C	YOR245C	YPR113W	
YBL022C	YDR086C	YLR378C	YMR051C	YPL253C	
YHR073W	YHR152W	YOR173W	YOR252W	YPR152C	
YBR123C	YGR047C	YGR292W	YLR054C	YLR257W	
YHL019C	YKL135C	YLR329W	YPL259C	YPR029C	
YDL044C	YGR056W	YLL051C	YOR100C	YOR319W	
YBR143C	YDR172W	YDR300C	YLL026W	YOR297C	
YDL210W	YGL230C	YKL109W	YKL110C	YOR358W	
YBR141C	YCR045C	YER059W	YJL084C	YOR348C	
YDR020C	YGR079W	YLR002C	YNL081C	YNR012W	
YBR270C	YER093C	YFL047W	YNL018C	YOL075C	
YBR042C	YEL041W	YHR115C	YKL009W	YLR215C	
YBL075C	YBR130C	YER103W	YLR310C	YPR001W	
YER029C	YJL045W	YLR161W	YNL187W	YNR028W	
YBR102C	YDR363W-A	YER008C	YLR166C	YPL029W	
YDR179C	YHR187W	YJR015W	YLR327C	YMR312W	
YBR137W	YOL016C	YOL111C	YOR007C	YOR164C	
Q0045	Q0275	YGL187C	YLR014C	YML042W	
YAL030W	YGR009C	YLR166C	YMR183C	YPL232W	
YAL001C	YER148W	YGL241W	YGR246C	YPL007C	
YIL001W	YJL141C	YJL200C	YOL133W	YOR197W	
YER064C	YER082C	YJL041W	YJL135W	YPL212C	
YLR157C	YMR203W	YNL070W	YOR045W	YPR133W-A	
YDL188C	YMR028W	YOR075W	YOR380W	YPR040W	
YBR112C	YCL067C	YCR039C	YCR084C	YOR140W	
YER064C	YGL105W	YKL144C	YKL205W	YPL212C	
YDL091C	YIL022W	YJL143W	YJR045C	YNR017W	
YIL050W	YLR190W	YLR449W	YMR102C	YNL218W	
YDL101C	YGR180C	YHR135C	YJL026W	YNL116W	
YAL011W	YDR098C	YGL071W	YGR168C	YIR018W	
YEL037C	YER012W	YKL145W	YLR441C	YMR276W	
YDR520C	YHL006C	YKR034W	YLR046C	YNL021W	
YFL018C	YGL063W	YJR051W	YOL123W	YOR180C	
YCR100C	YER077C	YFR015C	YIL110W	YJL137C	
YBL068W	YER163C	YNL036W	YOL061W	YOR303W	
YDR172W	YDR300C	YLL026W	YLR363C	YMR080C	
YDR108W	YDR246W	YIR040C	YKR068C	YMR218C	
YCR052W	YGR142W	YLR225C	YNL141W	YOR232W	
YGR059W	YJR035W	YLR454W	YMR065W	YNL084C	
YBR302C	YDR429C	YJL070C	YMR146C	YPL105C	
YJL011C	YNL151C	YNR003C	YOR116C	YPR190C	
YBR290W	YDR123C	YKL017C	YNL279W	YOL108C	
YCL026C-A	YCR048W	YJL164C	YLR177W	YPL203W	
YAL058W	YKL197C	YLR286C	YNL329C	YNR036C	
YLR049C	YLR191W	YLR465C	YML035C	YPR071W	
YBL095W	YBR162C	YGR249W	YNL217W	YPR155C	
YBR058C	YJR116W	YOL059W	YOL156W	YOR299W	
YBR058C	YLR390W-A	YOL059W	YOL132W	YOL156W	
YBR036C	YDR062W	YDR270W	YMR296C	YNL259C	
YHR075C	YHR106W	YLR368W	YMR035W	YPR093C	
YDL147W	YDR179C	YER137C	YKR060W	YMR025W	
YBL056W	YBR125C	YDR071C	YNL173C	YOR020C	
YCR014C	YER047C	YJL110C	YKR034W	YNL021W	
YGL238W	YJR074W	YLR293C	YOL021C	YOR185C	
YBR217W	YHR171W	YLR031W	YMR124W	YPL149W	
YIL023C	YLR161W	YMR104C	YNL187W	YNR028W	
YCR073C	YDL235C	YJL128C	YLR006C	YNR031C	
YBR193C	YDL005C	YDL154W	YFL003C	YGL025C	
YBR211C	YDL002C	YER092W	YGL220W	YLR052W	
YBL079W	YER105C	YGL016W	YLR335W	YML107C	
YFL010C	YIL105C	YJL162C	YOL106W	YPL059W	
YAL009W	YFR002W	YGL100W	YML103C	YMR129W	
YFL036W	YGL226C-A	YGR064W	YGR227W	YOR085W	
YCR045C	YJL084C	YLR294C	YMR228W	YOR348C	
YFL021W	YHR056C	YLR440C	YNL066W	YNL258C	
YBR170C	YDL126C	YDL190C	YKL213C	YOR254C	
YBR119W	YDL224C	YIL050W	YLR449W	YNL277W	
YER063W	YER140W	YKL056C	YKL087C	YLR285W	
YBL038W	YGR016W	YGR033C	YLR135W	YPL022W	
YGL030W	YHR019C	YHR204W	YJL053W	YOR312C	
YFL009W	YIL001W	YJL141C	YLR213C	YOL133W	
YBL093C	YGR192C	YKL129C	YKR069W	YOR247W	
YCL032W	YCR004C	YDR032C	YLR253W	YPR076W	
YDL051W	YDR132C	YDR395W	YER056C-A	YOL127W	
YBR170C	YDL020C	YJL034W	YKL073W	YOR254C	
YFR008W	YLR238W	YLR395C	YMR029C	YMR052W	
YGR167W	YGR241C	YNL020C	YNL183C	YPR178W	
YBR274W	YFR015C	YLR258W	YLR273C	YNR013C	
YDR498C	YLR268W	YMR020W	YOR075W	YPL244C	
YHR074W	YIL092W	YLR080W	YNR040W	YOL131W	
YBR019C	YHL019C	YKL135C	YLR170C	YPR029C	
YBR205W	YDR390C	YGR048W	YKR002W	YPR107C	
YBR036C	YDL052C	YDR270W	YDR365C	YMR296C	
YBR162W-A	YER172C	YIL027C	YLR090W	YMR240C	
YAL014C	YAL030W	YGR009C	YGR247W	YOR327C	
YAL043C	YBR205W	YDR301W	YMR182C	YPR107C	
YIL033C	YJL164C	YKL166C	YLR177W	YPL203W	
YGR142W	YJR070C	YKL086W	YLR225C	YNL141W	
YBR058C	YGL185C	YOL059W	YOL113W	YOL156W	
YBL079W	YER105C	YJL061W	YKL061W	YNL122C	
YDL077C	YDR080W	YGR223C	YOR089C	YPR174C	
YGR236C	YNL246W	YOL156W	YOR299W	YPR058W	
YDR357C	YEL005C	YGL079W	YGR107W	YPR182W	
YBL100C	YDR250C	YDR429C	YGL259W	YJL070C	
YCL026C-A	YGL187C	YGL213C	YHL022C	YLR177W	
YDL062W	YDR301W	YIR017C	YLR277C	YLR437C	
YDL071C	YEL068C	YGR142W	YLR225C	YNL141W	
YDR390C	YER136W	YHR063C	YIL098C	YPR180W	
YDR420W	YGR159C	YNL053W	YOL023W	YOR141C	
YDL071C	YDR183W	YEL068C	YGR269W	YLR225C	
YDL081C	YDR422C	YLR368W	YPR078C	YPR093C	
